alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
chick-fil-a-englewood-3,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.8949900596,-73.9762000367,(201) 227-2050,14987.5459328,vIfNf5_fBbRhOB2MfG8e8w,https://s3-media1.fl.yelpcdn.com/bphoto/ZJXKpPaSb4qqsVlfD8o4ZA/o.jpg,False,2 Nathaniel Pl,,,Englewood,US,"[2 Nathaniel Pl, Englewood, NJ 07631]",NJ,7631,Chick-fil-A,12012272050.0,$$$,3.5,11,[],https://www.yelp.com/biz/chick-fil-a-englewood-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
popeyes-louisiana-kitchen-brooklyn-14,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.69909,-73.917126,(718) 381-9681,8544.19769245,M0K_65YKPUzSVAkKmXMdOA,https://s3-media1.fl.yelpcdn.com/bphoto/884y7ON-FrRPknx1iY9iyw/o.jpg,False,1465 Myrtle Ave,,,Brooklyn,US,"[1465 Myrtle Ave, Brooklyn, NY 11237]",NY,11237,Popeyes Louisiana Kitchen,17183819681.0,$$$,3.0,20,[],https://www.yelp.com/biz/popeyes-louisiana-kitchen-brooklyn-14?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-branchburg,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.5682192477,-74.6832440794,(908) 595-1381,63159.5144634,7XM_kzCFb60bntPNlwuJQg,https://s3-media4.fl.yelpcdn.com/bphoto/1hYriGTWM5JNgdwuQeS7kw/o.jpg,False,944 Rt 202 S,,,Branchburg,US,"[944 Rt 202 S, Branchburg, NJ 08876]",NJ,8876,McDonald's,19085951381.0,$$$,2.0,16,[],https://www.yelp.com/biz/mcdonalds-branchburg?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
sbarro-brooklyn-3,"[{u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.60973,-73.92184,,17436.8943833,h6Ndv5mSLG_FgzKiCv3Rmg,https://s3-media3.fl.yelpcdn.com/bphoto/T23ev-0uvdlWiKrOCE5nhQ/o.jpg,False,2509 Flatbush Ave,,,Brooklyn,US,"[2509 Flatbush Ave, Brooklyn, NY 11234]",NY,11234,Sbarro,,$$$,3.0,4,[],https://www.yelp.com/biz/sbarro-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chipotle-mexican-grill-staten-island-3,"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.567917,-74.111436,(718) 980-1742,3168.76703742,LqbTY7FFAIJPMqdKpuJf7Q,https://s3-media2.fl.yelpcdn.com/bphoto/wAOS12YXfCVJBpEFZC-GJg/o.jpg,False,2602 Hylan Blvd,,,Staten Island,US,"[2602 Hylan Blvd, Staten Island, NY 10309]",NY,10309,Chipotle Mexican Grill,17189801742.0,$$,2.5,35,[],https://www.yelp.com/biz/chipotle-mexican-grill-staten-island-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
five-guys-staten-island-2,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.57647,-74.16943,(718) 983-5555,2566.69572886,4ccUybnKHFAtfq3UyZwhXw,https://s3-media1.fl.yelpcdn.com/bphoto/6tl6E7UU5Dm_kDtICF9Ltg/o.jpg,False,2865 Richmond Ave,,,Staten Island,US,"[2865 Richmond Ave, Staten Island, NY 10314]",NY,10314,Five Guys,17189835555.0,$$,3.0,58,[],https://www.yelp.com/biz/five-guys-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
kfc-staten-island,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'chickenshop', u'title': u'Chicken Shop'}]",40.5813,-74.166,(718) 761-7100,2136.54923543,TOJMSmCQVQRjSrXD0UWZ8w,https://s3-media2.fl.yelpcdn.com/bphoto/RAp4FjxXUxqZf3EMlhhX7A/o.jpg,False,2655 Richmond Ave,Staten Island Mall,,Staten Island,US,"[2655 Richmond Ave, Staten Island Mall, Staten Island, NY 10312]",NY,10312,KFC,17187617100.0,$$,1.5,8,[],https://www.yelp.com/biz/kfc-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
qdoba-mexican-eats-staten-island-2,"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.516946,-74.234232,(718) 356-1481,10926.5717817,tBLMIVOtA6LFtv7PDGj9Wg,https://s3-media2.fl.yelpcdn.com/bphoto/0YaGlscyGbCyUWQYKKI2Pg/o.jpg,False,7001 Amboy Rd,Unit 106,,Staten Island,US,"[7001 Amboy Rd, Unit 106, Staten Island, NY 10307]",NY,10307,QDOBA Mexican Eats,17183561481.0,$$,3.0,14,[],https://www.yelp.com/biz/qdoba-mexican-eats-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
shake-shack-new-york-38,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'icecream', u'title': u'Ice Cream & Frozen Yogurt'}]",40.7108625473,-74.0087379694,(646) 230-0320,17891.3281159,eaPm1uzrmy26P_T-l5iZCA,https://s3-media3.fl.yelpcdn.com/bphoto/5gPtzmDonc_kXC9I4YFQbQ/o.jpg,False,200 Broadway,,,New York,US,"[200 Broadway, New York, NY 10007]",NY,10007,Shake Shack,16462300320.0,$$,3.5,160,[],https://www.yelp.com/biz/shake-shack-new-york-38?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
kfc-staten-island-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'chickenshop', u'title': u'Chicken Shop'}]",40.6244964247,-74.1369958248,(718) 447-2822,4380.61462857,C2BAbvRjGX9eFtxi_HOJkQ,https://s3-media3.fl.yelpcdn.com/bphoto/dGF5P3h0_8z6Mhrjt91WMg/o.jpg,False,1453 Forest Ave,,,Staten Island,US,"[1453 Forest Ave, Staten Island, NY 10302]",NY,10302,KFC,17184472822.0,$$,1.0,24,[],https://www.yelp.com/biz/kfc-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
fluem-pasta-new-york-2,"[{u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.70753,-74.00538,(347) 416-2880,17784.9879003,1OQSFZYa7yqpVj6e4lf4lg,https://s3-media1.fl.yelpcdn.com/bphoto/En8EbXUlsr8uPn9kL603eg/o.jpg,False,241 Pearl St,,,New York,US,"[241 Pearl St, New York, NY 10038]",NY,10038,Fluem Pasta,13474162880.0,$$,4.5,27,"[delivery, pickup]",https://www.yelp.com/biz/fluem-pasta-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
gogi-grill-hoboken-hoboken-2,"[{u'alias': u'korean', u'title': u'Korean'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.7362061118,-74.0300041437,(201) 792-4504,19231.4670931,-n5zd4kpmJdqKzvar-5v8g,https://s3-media3.fl.yelpcdn.com/bphoto/5-bZURKB9tjq3DrzenvfZw/o.jpg,False,79 Hudson St,,,Hoboken,US,"[79 Hudson St, Hoboken, NJ 07030]",NJ,7030,Gogi Grill - Hoboken,12017924504.0,$$,4.0,138,"[delivery, pickup]",https://www.yelp.com/biz/gogi-grill-hoboken-hoboken-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
bab-marrakech-brooklyn-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'moroccan', u'title': u'Moroccan'}]",40.6305002,-74.0219169,(718) 491-6000,11260.2068006,rv1BzvAMwSQkHRh6YJj9oA,https://s3-media3.fl.yelpcdn.com/bphoto/vRb-MGxNZ9MpBlYnNkUq8A/o.jpg,False,7317 5th Ave,,,Brooklyn,US,"[7317 5th Ave, Brooklyn, NY 11209]",NY,11209,Bab Marrakech,17184916000.0,$$,4.5,18,"[delivery, pickup]",https://www.yelp.com/biz/bab-marrakech-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
