,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
0,sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,the-masalawala-new-york-2,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",POINT (-73.98666 40.72191),-73.98666,40.72191,"[179 Essex St, New York, NY 10002]",New York,NY,10002.0,2.0,4.5,1149,0,1,1,1,asian
1,x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,bengal-tiger-indian-food-new-york,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.977131 40.763167),-73.977131,40.763166999999996,"[58 W 56th St, Fl 2, New York, NY 10019]",New York,NY,10019.0,2.0,4.5,1156,0,1,1,1,asian
2,hevbe9F6sYPguKO5whPSlA,India's Curry,indias-curry-brooklyn-2,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-74.00312 40.60197),-74.00312,40.60197,"[1926 Bath Ave, Brooklyn, NY 11214]",Brooklyn,NY,11214.0,2.0,4.5,34,0,1,1,0,asian
3,lxNU-aBq0yPwBDx-i89ahA,Seva Indian Cuisine,seva-indian-cuisine-astoria-5,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.9191014 40.7653633),-73.9191014,40.7653633,"[3007 34th St, Astoria, NY 11103]",Astoria,NY,11103.0,2.0,4.5,1023,0,1,1,0,asian
4,_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,mughlai-grill-new-york,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.9840446 40.7210905),-73.9840446,40.7210905,"[6 Clinton St, New York, NY 10002]",New York,NY,10002.0,2.0,5.0,143,0,1,1,0,asian
5,_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,aahar-indian-cuisine-new-york,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-74.0081 40.71334),-74.0081,40.71334,"[10 Murray St, New York, NY 10007]",New York,NY,10007.0,2.0,4.5,200,0,1,1,1,asian
6,yLcJTiE4n_w4sZwSfMZYZA,Bombay Kabab,bombay-kabab-brooklyn,Indian,"[{u'alias': u'kebab', u'title': u'Kebab'}, {u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.97454999999999 40.67606),-73.97455,40.67606,"[54 7th Ave, Brooklyn, NY 11217]",Brooklyn,NY,11217.0,,5.0,33,0,1,1,0,asian
7,ik7LcD1fkzVbVQ6Sntd4LA,Indian Spice,indian-spice-brooklyn,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.98195600000001 40.666037),-73.98195600000001,40.666037,"[351 7th Ave, Brooklyn, NY 11215]",Brooklyn,NY,11215.0,2.0,4.0,115,0,1,1,1,asian
8,BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,indian-table-brooklyn-2,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}]",POINT (-73.9941661 40.6859591),-73.9941661,40.6859591,"[234 Court St, Brooklyn, NY 11201]",Brooklyn,NY,11201.0,2.0,4.0,55,0,1,1,0,asian
9,izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,mughlai-indian-cuisine-new-york-4,Indian,"[{u'alias': u'indpak', u'title': u'Indian'}]",POINT (-73.94978 40.78002),-73.94978,40.78002,"[1724 2nd Ave, New York, NY 10128]",New York,NY,10128.0,2.0,4.5,274,0,1,1,0,asian
