,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,new-top-china-brooklyn,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.626601,-73.941478,(718) 677-6300,4192.571942169667,KojbVBCfzMZudp89YT4e9A,https://s3-media4.fl.yelpcdn.com/bphoto/Eoed7VelmDX_o9GGIbErsA/o.jpg,False,1774 Flatbush Ave,,,Brooklyn,US,"['1774 Flatbush Ave', 'Brooklyn, NY 11210']",NY,11210.0,New Top China,17186776300.0,$$$$,3.0,4,[],https://www.yelp.com/biz/new-top-china-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,mr-chow-new-york-2,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.7200922292321,-74.0086623709058,(212) 965-9500,7645.331272222805,PGeL1b4xNJggpZsHEGoxjg,https://s3-media1.fl.yelpcdn.com/bphoto/cBzF8RI6XkbV2B_qha5vKA/o.jpg,False,121 Hudson St,,,New York,US,"['121 Hudson St', 'New York, NY 10013']",NY,10013.0,Mr Chow,12129659500.0,$$$$,3.0,324,[],https://www.yelp.com/biz/mr-chow-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,hakkasan-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.758619,-73.989961,(212) 776-1818,11268.406427192895,rEbwps11tIERRkwQrIXQog,https://s3-media4.fl.yelpcdn.com/bphoto/dQLq-Mg9HRkTyg-pl2iJnQ/o.jpg,False,311 W 43rd St,,,New York,US,"['311 W 43rd St', 'New York, NY 10036']",NY,10036.0,Hakkasan,12127761818.0,$$$$,3.5,734,[],https://www.yelp.com/biz/hakkasan-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,dadong-new-york-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.754807,-73.985184,(212) 355-9600,10787.867224523232,NZb6ILmE0p4gQ5harzrAvA,https://s3-media1.fl.yelpcdn.com/bphoto/HaSUZuOPlFau0zcQz_xDKQ/o.jpg,False,3 Bryant Park,,,New York,US,"['3 Bryant Park', 'New York, NY 10036']",NY,10036.0,DaDong New York,12123559600.0,$$$$,3.0,326,[],https://www.yelp.com/biz/dadong-new-york-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,mr-chow-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.7588502019644,-73.9643376320601,(212) 751-9030,11137.353969475847,s25mujxKWphsyFm0Ji1xYA,https://s3-media3.fl.yelpcdn.com/bphoto/7BllvqQ7BPJ5y2-S1x4ftQ/o.jpg,False,324 E 57th St,,,New York,US,"['324 E 57th St', 'New York, NY 10022']",NY,10022.0,Mr Chow,12127519030.0,$$$$,3.0,293,[],https://www.yelp.com/biz/mr-chow-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,chinese-food-cart-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",40.7217900752834,-73.9998465345092,,7524.992847737852,FOmtg0myxeFxKfxylzqSBw,,False,Broome & Broadway,,,New York,US,"['Broome & Broadway', 'New York, NY 10292']",NY,10292.0,Chinese Food Cart,,$$$$,5.0,1,[],https://www.yelp.com/biz/chinese-food-cart-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,zheung-xing-kitchen-copiague-2,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.6791808,-73.3988382,(631) 842-2051,48021.380341458185,H2ttB1F-SqTPXhS_e0ujMg,https://s3-media3.fl.yelpcdn.com/bphoto/Q-mXXa7okSphUH7RVyYF5A/o.jpg,False,1646 Great Neck Rd,,,Copiague,US,"['1646 Great Neck Rd', 'Copiague, NY 11726']",NY,11726.0,Zheung Xing Kitchen,16318422051.0,$$$$,4.0,7,[],https://www.yelp.com/biz/zheung-xing-kitchen-copiague-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,wing-wah-kitchen-brentwood,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.7989003,-73.2498578,(631) 273-1969,62523.07055878938,P30vDY-UomGeFrfyn2-qCg,https://s3-media1.fl.yelpcdn.com/bphoto/XduW6YMJadih8qwdt3xCtw/o.jpg,False,130 Clarke St,,,Brentwood,US,"['130 Clarke St', 'Brentwood, NY 11717']",NY,11717.0,Wing Wah Kitchen,16312731969.0,$$$$,3.5,15,"['delivery', 'pickup']",https://www.yelp.com/biz/wing-wah-kitchen-brentwood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,main-moon-chinese-restaurant-west-orange,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.782253265380895,-74.2358322143555,(973) 736-5999,26466.393977388707,12OWQPkjyRbkTYq-AcwJWg,https://s3-media3.fl.yelpcdn.com/bphoto/MRF0Py6LrSKXDsL-J4eG-w/o.jpg,False,145 Main St,,,West Orange,US,"['145 Main St', 'West Orange, NJ 07052']",NJ,7052.0,Main Moon Chinese Restaurant,19737365999.0,$$$$,3.5,8,"['delivery', 'pickup']",https://www.yelp.com/biz/main-moon-chinese-restaurant-west-orange?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,zhengs-river-restaurant-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.802,-73.95671999999999,(212) 666-6868,15962.193732088588,HKjazh_40Gei5rP5ir-F2w,,False,2076 Frederick Douglass B,,,New York,US,"['2076 Frederick Douglass B', 'New York, NY 10026']",NY,10026.0,Zheng's River Restaurant,12126666868.0,$$$$,4.0,1,[],https://www.yelp.com/biz/zhengs-river-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,dragon-town-new-york-2,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.7952288,-73.9421936,(212) 828-8277,15328.47136750235,cPbR1NvEQaxtoeFtTF5eOA,https://s3-media2.fl.yelpcdn.com/bphoto/MNYbwIvVbaKN6X-vx8KE9Q/o.jpg,False,2030 Third Ave,,,New York,US,"['2030 Third Ave', 'New York, NY 10029']",NY,10029.0,Dragon Town,12128288277.0,$$$$,2.5,8,"['delivery', 'pickup']",https://www.yelp.com/biz/dragon-town-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,xing-long-bronx-2,"[{'alias': 'chinese', 'title': 'Chinese'}]",40.8325,-73.90401,(718) 293-8888,20060.599207550968,2S7AZXymi4xgmcM0XW8mTw,https://s3-media2.fl.yelpcdn.com/bphoto/aoY4aX96N-X04xIseVN6og/o.jpg,False,553 E 169th St,,,Bronx,US,"['553 E 169th St', 'Bronx, NY 10456']",NY,10456.0,Xing Long,17182938888.0,$$$$,2.0,1,[],https://www.yelp.com/biz/xing-long-bronx-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,cho-sen-village-great-neck,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}]",40.800340000000006,-73.73387,(516) 504-1199,25210.99155417141,y9x-eB1hHDZDwl55iWtJnQ,https://s3-media3.fl.yelpcdn.com/bphoto/QtHhvINhhnNsTBy0oSBuiQ/o.jpg,False,505 Middle Neck Rd,,,Great Neck,US,"['505 Middle Neck Rd', 'Great Neck, NY 11023']",NY,11023.0,Cho-Sen Village,15165041199.0,$$$$,3.0,28,[],https://www.yelp.com/biz/cho-sen-village-great-neck?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,mandarin-fusion-steakhouse-monsey-2,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'steak', 'title': 'Steakhouses'}]",41.1090635,-74.044394,(845) 426-3600,50491.387191442605,9k1jihLw0V0wHG0vf-pP1A,https://s3-media3.fl.yelpcdn.com/bphoto/UgHgY7GaqI26UyrjBQLW0g/o.jpg,False,106 Rt 59,,,Monsey,US,"['106 Rt 59', 'Monsey, NY 10952']",NY,10952.0,Mandarin Fusion Steakhouse,18454263600.0,$$$$,3.5,7,[],https://www.yelp.com/biz/mandarin-fusion-steakhouse-monsey-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
