,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,maharlika-new-york,"[{u'alias': u'filipino', u'title': u'Filipino'}]",40.72695,-73.98611,(646) 392-7880,2488.08070217,1_S2RxVWOidWcgbU2tBQBQ,https://s3-media1.fl.yelpcdn.com/bphoto/0vyPyze_Gjm0XS2Huq1D8A/o.jpg,False,111 1st Ave,,,New York,US,"[111 1st Ave, New York, NY 10003]",NY,10003,Maharlika,+16463927880,$$,4.0,1308,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/maharlika-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,jeepney-new-york,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'gastropubs', u'title': u'Gastropubs'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.730294,-73.9835395,(212) 533-4121,2907.9330056,-b3J-5K_beWyGxQ1Id7KQg,https://s3-media1.fl.yelpcdn.com/bphoto/wuM390_TPIvQ3J5N0Yg8dA/o.jpg,False,201 1st Ave,,,New York,US,"[201 1st Ave, New York, NY 10003]",NY,10003,Jeepney,+12125334121,$$,4.0,871,"[pickup, restaurant_reservation]",https://www.yelp.com/biz/jeepney-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,flip-sigi-new-york-2,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'mexican', u'title': u'Mexican'}]",40.73405,-74.00642,(917) 639-3262,3348.87875883,8WnHtvMdPWE66eSkUdbLhQ,https://s3-media2.fl.yelpcdn.com/bphoto/frjRv9_pg5oDGj1HubpTzQ/o.jpg,False,525 Hudson St,,,New York,US,"[525 Hudson St, New York, NY 10014]",NY,10014,Flip Sigi,+19176393262,$$,4.5,491,"[pickup, delivery]",https://www.yelp.com/biz/flip-sigi-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,grill-21-new-york,"[{u'alias': u'filipino', u'title': u'Filipino'}]",40.7356760913,-73.9799634877,(212) 473-5950,3571.89415486,j_ZW3vvpjLDG34nBq5f-UA,https://s3-media3.fl.yelpcdn.com/bphoto/qNDRrg30lpHTqpBVtDJJOA/o.jpg,False,346 E 21st St,,,New York,US,"[346 E 21st St, New York, NY 10010]",NY,10010,Grill 21,+12124735950,$$,4.0,444,[],https://www.yelp.com/biz/grill-21-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,papas-kitchen-woodside,"[{u'alias': u'filipino', u'title': u'Filipino'}]",40.7433741242,-73.8986022737,(347) 724-9586,9100.17716148,KB9_w7vCPMvS82jiUg2ndw,https://s3-media2.fl.yelpcdn.com/bphoto/bMH9KNWV7MkpM48byc_K3Q/o.jpg,False,65-40 Woodside Ave,,,Woodside,US,"[65-40 Woodside Ave, Woodside, NY 11377]",NY,11377,Papa's Kitchen,+13477249586,$$,4.5,207,[pickup],https://www.yelp.com/biz/papas-kitchen-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,mama-finas-new-york-new-york-2,"[{u'alias': u'filipino', u'title': u'Filipino'}]",40.72829,-73.98226,(917) 262-0893,2734.03031061,YAOJAXBqQTHuY85kN8VulQ,https://s3-media1.fl.yelpcdn.com/bphoto/5qM9vU3orsGdwcI25ezSsQ/o.jpg,False,167 Avenue A,,,New York,US,"[167 Avenue A, New York, NY 10009]",NY,10009,Mama Fina's - New York,+19172620893,$$,3.5,42,"[delivery, pickup]",https://www.yelp.com/biz/mama-finas-new-york-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,fob-brooklyn-brooklyn,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'bbq', u'title': u'Barbeque'}]",40.6826583,-73.9930755,(718) 852-8994,2535.82656478,xymropCDcEvCYGKC0AKe-w,https://s3-media2.fl.yelpcdn.com/bphoto/Ivku5u9vISt7nNOLujSlRg/o.jpg,False,271 Smith St,,,Brooklyn,US,"[271 Smith St, Brooklyn, NY 11231]",NY,11231,Fob Brooklyn,+17188528994,$$,4.0,121,"[delivery, pickup]",https://www.yelp.com/biz/fob-brooklyn-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,pig-and-khao-new-york,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.719253,-73.984748,(212) 920-4485,1733.07783152,nxTEuWKzkK1tCF4LrhFSUQ,https://s3-media3.fl.yelpcdn.com/bphoto/H4RC30TrOGJcCLePkDYihA/o.jpg,False,68 Clinton St,,,New York,US,"[68 Clinton St, New York, NY 10002]",NY,10002,Pig and Khao,+12129204485,$$,4.0,1201,[],https://www.yelp.com/biz/pig-and-khao-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,tito-rads-grill-woodside,"[{u'alias': u'bbq', u'title': u'Barbeque'}, {u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.7426021292,-73.9155745324,(718) 205-7299,7815.11657616,seGYMEYsw6F_H33Md1E1dA,https://s3-media1.fl.yelpcdn.com/bphoto/0iLgdNid4TfYumMDglcYvw/o.jpg,False,49-10 Queens Blvd,,,Woodside,US,"[49-10 Queens Blvd, Woodside, NY 11377]",NY,11377,Tito Rad's Grill,+17182057299,$$,4.0,576,"[pickup, delivery]",https://www.yelp.com/biz/tito-rads-grill-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,ugly-kitchen-new-york,"[{u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'filipino', u'title': u'Filipino'}]",40.7266856651,-73.9862178981,(212) 777-6677,2457.96996869,NXZFu7KHBrG02gzYneY5Xg,https://s3-media4.fl.yelpcdn.com/bphoto/ZbLIahfbjohWLhPEQt1KfA/o.jpg,False,103 1st Ave,,,New York,US,"[103 1st Ave, New York, NY 10003]",NY,10003,Ugly Kitchen,+12127776677,$$,4.0,515,[restaurant_reservation],https://www.yelp.com/biz/ugly-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
