,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,cafe-himalaya-new-york-2,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.7232289034083,-73.9879441220901,(212) 358-0160,2048.6160128834154,noBCTbD1Ylf5QR7PXy-rkA,https://s3-media3.fl.yelpcdn.com/bphoto/lHBhInQlokZPCJXXWAyqQg/o.jpg,False,78 E 1st St,,,New York,US,"['78 E 1st St', 'New York, NY 10009']",NY,10009,Cafe Himalaya,+12123580160,$,4.0,543,"['delivery', 'pickup']",https://www.yelp.com/biz/cafe-himalaya-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,dhaulagiri-kitchen-new-york-4,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}]",40.7429351994987,-73.9825588837266,(917) 675-7679,4284.406715031382,CzcZsX0Mvm5G8LOlKRr0WA,https://s3-media2.fl.yelpcdn.com/bphoto/xACwzgoc2R3LxWzINj0pog/o.jpg,False,124 Lexington Ave,,,New York,US,"['124 Lexington Ave', 'New York, NY 10016']",NY,10016,Dhaulagiri Kitchen,+19176757679,$$,4.0,136,"['pickup', 'delivery']",https://www.yelp.com/biz/dhaulagiri-kitchen-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,himalayan-yak-jackson-heights,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.74647,-73.89275,(718) 779-1119,9709.6263656244,3C6c_zqRz_U2AyeN_7LTsg,https://s3-media3.fl.yelpcdn.com/bphoto/N7ulF-0m4VIjPbKb3jIXhA/o.jpg,False,72-20 Roosevelt Ave,,,Jackson Heights,US,"['72-20 Roosevelt Ave', 'Jackson Heights, NY 11372']",NY,11372,Himalayan Yak,+17187791119,$$,4.0,504,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/himalayan-yak-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,while-in-kathmandu-ridgewood,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.7020642,-73.9067213,(718) 386-3416,7388.86973917165,Scs2L-4imyt_lorJ6biFKA,https://s3-media1.fl.yelpcdn.com/bphoto/5vi8PYS-mvTqblHVJPsiqw/o.jpg,False,758 Seneca Ave,,,Ridgewood,US,"['758 Seneca Ave', 'Ridgewood, NY 11385']",NY,11385,While In Kathmandu,+17183863416,$,4.5,67,[],https://www.yelp.com/biz/while-in-kathmandu-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,namaste-edgewater,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",40.83162,-73.9726699,(201) 224-8777,14155.57826533148,zi4fUgOwwGB5PYR2xq0OCQ,https://s3-media4.fl.yelpcdn.com/bphoto/zR4k7oJQLxXQLEUPVv_GfA/o.jpg,False,1086 River Rd,,,Edgewater,US,"['1086 River Rd', 'Edgewater, NJ 07020']",NJ,07020,Namaste,+12012248777,$$,4.5,199,"['delivery', 'pickup']",https://www.yelp.com/biz/namaste-edgewater?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,lali-guras-jackson-heights,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.7476422051,-73.8898337637,(718) 424-0017,9974.955823312339,vTX77dgdGryT9zc6mKXEsQ,https://s3-media1.fl.yelpcdn.com/bphoto/xwUUXdrPZYuYHZY_ucrYsg/o.jpg,False,3763 76th St,,,Jackson Heights,US,"['3763 76th St', 'Jackson Heights, NY 11372']",NY,11372,Lali Guras,+17184240017,$,4.0,152,[],https://www.yelp.com/biz/lali-guras-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,maya-restaurant-and-bar-astoria,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.76581,-73.91376,(718) 255-6838,9544.97309750579,RSSe0b5ozB5T7uxPe246KQ,https://s3-media1.fl.yelpcdn.com/bphoto/f0KCMgZfdnz2y2qzzC58JQ/o.jpg,False,25-94 Steinway St,,,Astoria,US,"['25-94 Steinway St', 'Astoria, NY 11103']",NY,11103,Maya Restaurant & Bar,+17182556838,$$,5.0,53,"['delivery', 'pickup']",https://www.yelp.com/biz/maya-restaurant-and-bar-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,nepalese-indian-restaurant-ridgewood,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",40.7007228,-73.903893,(718) 417-1873,7628.928764737195,7eUoHxFCZKdYkl7ONixCKA,https://s3-media3.fl.yelpcdn.com/bphoto/BtXo7BcgSnzO19hh83bBiQ/o.jpg,False,907 Seneca Ave,,,Ridgewood,US,"['907 Seneca Ave', 'Ridgewood, NY 11385']",NY,11385,Nepalese Indian Restaurant,+17184171873,$$,4.0,175,"['delivery', 'pickup']",https://www.yelp.com/biz/nepalese-indian-restaurant-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,dawas-woodside,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'newamerican', 'title': 'American (New)'}]",40.7456869,-73.9126859,(718) 899-8629,8204.559058924619,lcI9kOcRqxxMhM4b5pHqsg,https://s3-media2.fl.yelpcdn.com/bphoto/kueahMfUxM0oRMPF3n5GhQ/o.jpg,False,51-18 Skillman Ave,,,Woodside,US,"['51-18 Skillman Ave', 'Woodside, NY 11377']",NY,11377,Dawa's,+17188998629,$,4.5,157,[],https://www.yelp.com/biz/dawas-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,lhasa-fast-food-jackson-heights,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.747566,-73.89193,(347) 952-6934,9815.384986254116,6YsCjSkCoUJ6rVDJe04Yuw,https://s3-media2.fl.yelpcdn.com/bphoto/mk-z5r2h5NFyjaeIjuqTLA/o.jpg,False,37-50 74th St,Ste 3750,,Jackson Heights,US,"['37-50 74th St', 'Ste 3750', 'Jackson Heights, NY 11372']",NY,11372,Lhasa Fast Food,+13479526934,$,4.5,164,[],https://www.yelp.com/biz/lhasa-fast-food-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,phayul-jackson-heights,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",40.74716,-73.89124,(718) 424-1869,9845.655687854647,E1NbrEDNxq_cl39sMfxX5A,https://s3-media2.fl.yelpcdn.com/bphoto/Dl216HnD6il9dM0ldKlp5w/o.jpg,False,37-65 74th St,Fl 2,,Jackson Heights,US,"['37-65 74th St', 'Fl 2', 'Jackson Heights, NY 11372']",NY,11372,Phayul,+17184241869,$,4.0,204,[],https://www.yelp.com/biz/phayul-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
