,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,the-masalawala-new-york-2,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.72191,-73.98666,(212) 358-9300,1941.69075764,sCC7-hSdCkNPExejZT9BAQ,https://s3-media4.fl.yelpcdn.com/bphoto/4fxSLoYtYtP-lDIRQZ-LJw/o.jpg,False,179 Essex St,,,New York,US,"[179 Essex St, New York, NY 10002]",NY,10002,The MasalaWala,+12123589300,$$,4.5,1149,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/the-masalawala-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,bengal-tiger-indian-food-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.763167,-73.977131,(212) 265-2703,6579.27864315,x0k5kFArHLijdY8-NEQ7Xg,https://s3-media3.fl.yelpcdn.com/bphoto/JJyMG6IYaSLYymRaedvfzw/o.jpg,False,58 W 56th St,Fl 2,,New York,US,"[58 W 56th St, Fl 2, New York, NY 10019]",NY,10019,Bengal Tiger Indian Food,+12122652703,$$,4.5,1156,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/bengal-tiger-indian-food-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,indias-curry-brooklyn-2,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.60197,-74.00312,(718) 265-3030,11526.8565546,hevbe9F6sYPguKO5whPSlA,https://s3-media1.fl.yelpcdn.com/bphoto/bZosfAfhdEx_I5NCvGmgHg/o.jpg,False,1926 Bath Ave,,,Brooklyn,US,"[1926 Bath Ave, Brooklyn, NY 11214]",NY,11214,India's Curry,+17182653030,$$,4.5,34,"[delivery, pickup]",https://www.yelp.com/biz/indias-curry-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,seva-indian-cuisine-astoria-5,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.7653633,-73.9191014,(718) 626-4440,9206.47861372,lxNU-aBq0yPwBDx-i89ahA,https://s3-media1.fl.yelpcdn.com/bphoto/0gk_qOFce-5dfgifDryndg/o.jpg,False,3007 34th St,,,Astoria,US,"[3007 34th St, Astoria, NY 11103]",NY,11103,Seva Indian Cuisine,+17186264440,$$,4.5,1023,"[delivery, pickup]",https://www.yelp.com/biz/seva-indian-cuisine-astoria-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,mughlai-grill-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.7210905,-73.9840446,(212) 533-2828,1942.35407949,_7BGw3YFNOTzP1Www3zB7g,https://s3-media1.fl.yelpcdn.com/bphoto/KMfZFFWS-LlX_yJm5eNcfQ/o.jpg,False,6 Clinton St,,,New York,US,"[6 Clinton St, New York, NY 10002]",NY,10002,Mughlai Grill,+12125332828,$$,5.0,143,"[delivery, pickup]",https://www.yelp.com/biz/mughlai-grill-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,aahar-indian-cuisine-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.71334,-74.0081,(646) 649-3374,1463.31676705,_z2_1TE_1brlvljiGtJ4mA,https://s3-media1.fl.yelpcdn.com/bphoto/7xZblDTGGIo11t9G3NZQKQ/o.jpg,False,10 Murray St,,,New York,US,"[10 Murray St, New York, NY 10007]",NY,10007,Aahar Indian Cuisine,+16466493374,$$,4.5,200,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/aahar-indian-cuisine-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,bombay-kabab-brooklyn,"[{u'alias': u'kebab', u'title': u'Kebab'}, {u'alias': u'indpak', u'title': u'Indian'}]",40.67606,-73.97455,(347) 889-7686,3661.29047206,yLcJTiE4n_w4sZwSfMZYZA,https://s3-media4.fl.yelpcdn.com/bphoto/B59A-GFwp3dMuXT0r5tQNg/o.jpg,False,54 7th Ave,,,Brooklyn,US,"[54 7th Ave, Brooklyn, NY 11217]",NY,11217,Bombay Kabab,+13478897686,,5.0,33,"[delivery, pickup]",https://www.yelp.com/biz/bombay-kabab-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,indian-spice-brooklyn,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.666037,-73.981956,(718) 768-7777,4500.73805605,ik7LcD1fkzVbVQ6Sntd4LA,https://s3-media3.fl.yelpcdn.com/bphoto/V5ZPHcL0_trCSoedAeNlrA/o.jpg,False,351 7th Ave,,,Brooklyn,US,"[351 7th Ave, Brooklyn, NY 11215]",NY,11215,Indian Spice,+17187687777,$$,4.0,115,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/indian-spice-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,indian-table-brooklyn-2,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}]",40.6859591,-73.9941661,(347) 689-3882,2166.74224608,BXoW0AUDE7WZJcY-Vhqlbg,https://s3-media1.fl.yelpcdn.com/bphoto/QstlEBQoBREpVp2IZmdtRg/o.jpg,False,234 Court St,,,Brooklyn,US,"[234 Court St, Brooklyn, NY 11201]",NY,11201,Indian Table,+13476893882,$$,4.0,55,"[delivery, pickup]",https://www.yelp.com/biz/indian-table-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,mughlai-indian-cuisine-new-york-4,"[{u'alias': u'indpak', u'title': u'Indian'}]",40.78002,-73.94978,(212) 722-6262,9101.51965945,izRJeBfDQYJmd6ibIQ6Mfg,https://s3-media4.fl.yelpcdn.com/bphoto/nSPGENDc_21V5erORUhcaQ/o.jpg,False,1724 2nd Ave,,,New York,US,"[1724 2nd Ave, New York, NY 10128]",NY,10128,Mughlai Indian Cuisine,+12127226262,$$,4.5,274,"[delivery, pickup]",https://www.yelp.com/biz/mughlai-indian-cuisine-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
