,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,yummy-machi-staten-island-3,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'bubbletea', u'title': u'Bubble Tea'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.626408,-74.164168,(718) 876-7788,4958.39457022,MAd2l4Cmgk8r8v0FxIBsVQ,https://s3-media1.fl.yelpcdn.com/bphoto/vIYpnB4_jGdIZ8lqPt6rAA/o.jpg,False,2236 Forest Ave,Ste 3,,Staten Island,US,"[2236 Forest Ave, Ste 3, Staten Island, NY 10303]",NY,10303,Yummy Machi,17188767788.0,$,4.0,51,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/yummy-machi-staten-island-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,sushi-bento-staten-island,"[{u'alias': u'japanese', u'title': u'Japanese'}]",40.5812709827,-74.1659276756,(718) 477-0176,2131.23616872,1AgPEKlEtMOeGyEbO4eV1g,https://s3-media2.fl.yelpcdn.com/bphoto/sQ7IqtE0TTGZetegwoiVVg/o.jpg,False,2655 Richmond Ave,Ste 2515,,Staten Island,US,"[2655 Richmond Ave, Ste 2515, Staten Island, NY 10314]",NY,10314,Sushi Bento,17184770176.0,$,3.5,7,[],https://www.yelp.com/biz/sushi-bento-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,east-sushi-japanese-restaurant-staten-island,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",40.5454833,-74.1605722,(718) 966-8888,4751.05506707,lR9fswh6tmd9Iioc8yazrw,https://s3-media4.fl.yelpcdn.com/bphoto/2WQpRCg7suHNN8ASog5-Vw/o.jpg,False,4371 Amboy Rd,,,Staten Island,US,"[4371 Amboy Rd, Staten Island, NY 10312]",NY,10312,East Sushi Japanese Restaurant,17189668888.0,$,3.5,15,[],https://www.yelp.com/biz/east-sushi-japanese-restaurant-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,sarku-japan-staten-island,"[{u'alias': u'japanese', u'title': u'Japanese'}]",40.58125,-74.1660799,(718) 698-3023,2107.53758559,ihfAhKbsFxUnza0qVyMV6g,https://s3-media4.fl.yelpcdn.com/bphoto/BdictxzQuxwI0XJ0blnl4w/o.jpg,False,2655 Richmond Ave,,,Staten Island,US,"[2655 Richmond Ave, Staten Island, NY 10314]",NY,10314,Sarku Japan,17186983023.0,$,3.0,17,[],https://www.yelp.com/biz/sarku-japan-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,domo-williamsburg-brooklyn-2,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.7166,-73.94657,(347) 916-1920,21972.7971057,RkVlK77T0oeilmMICMVkjg,https://s3-media1.fl.yelpcdn.com/bphoto/C3WbJPDBsLyM1h2e5-qIJA/o.jpg,False,359 Manhattan Ave,,,Brooklyn,US,"[359 Manhattan Ave, Brooklyn, NY 11211]",NY,11211,Domo Williamsburg,13479161920.0,$,5.0,16,[],https://www.yelp.com/biz/domo-williamsburg-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,koro-koro-hoboken-2,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'comfortfood', u'title': u'Comfort Food'}, {u'alias': u'foodtrucks', u'title': u'Food Trucks'}]",40.7388199,-74.03022,(201) 222-5426,19472.8532285,ajYmkzcRnvmOHtiWDRXQpQ,https://s3-media3.fl.yelpcdn.com/bphoto/DmMIFyyCqTI9BtME8-TyQw/o.jpg,False,201 Washington St,,C-1A,Hoboken,US,"[201 Washington St, C-1A, Hoboken, NJ 07030]",NJ,7030,Koro Koro,12012225426.0,$,4.5,41,"[delivery, pickup]",https://www.yelp.com/biz/koro-koro-hoboken-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,together-brooklyn-2,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'burmese', u'title': u'Burmese'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",40.6122505564,-73.9786879613,(347) 587-6302,14048.640444,MDWt-rtGxUnIcpIi-817Rg,https://s3-media4.fl.yelpcdn.com/bphoto/wMVhkvJrx0cu7bPFbvdAnA/o.jpg,False,2325 65th St,,,Brooklyn,US,"[2325 65th St, Brooklyn, NY 11204]",NY,11204,Together,13475876302.0,$,4.0,101,"[delivery, pickup]",https://www.yelp.com/biz/together-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,ni-japanese-delicacies-new-york,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'delis', u'title': u'Delis'}]",40.7193413,-73.9876003,(646) 675-4324,19745.7764321,4qtJ_u-7-73ts5UPa6NBmA,https://s3-media2.fl.yelpcdn.com/bphoto/CMsJru1XgYeMAI1IcE-OJw/o.jpg,False,120 Essex St,,,New York,US,"[120 Essex St, New York, NY 10002]",NY,10002,Ni Japanese Delicacies,16466754324.0,$,4.5,42,[],https://www.yelp.com/biz/ni-japanese-delicacies-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,fujiyama-japanese-restaurant-brooklyn,"[{u'alias': u'japanese', u'title': u'Japanese'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",40.62118,-74.00632,(718) 256-8188,12071.7356511,frqlGMVgi2oyJCK7SNq1iQ,https://s3-media4.fl.yelpcdn.com/bphoto/maQ89VfMVQWPkCsSaOSWcQ/o.jpg,False,7307 13th Ave,,,Brooklyn,US,"[7307 13th Ave, Brooklyn, NY 11228]",NY,11228,Fujiyama Japanese Restaurant,17182568188.0,$,3.5,56,[delivery],https://www.yelp.com/biz/fujiyama-japanese-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,tokyo-ya-sunset-park,"[{u'alias': u'ramen', u'title': u'Ramen'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}, {u'alias': u'chinese', u'title': u'Chinese'}]",40.638825,-74.009323,(718) 288-9399,12629.0309473,uR-MqserQgPRQK3aiP6WyQ,https://s3-media2.fl.yelpcdn.com/bphoto/yma4f0zxtldlmwIC4EXxuA/o.jpg,False,5603 7th Ave,,,Sunset Park,US,"[5603 7th Ave, Sunset Park, NY 11220]",NY,11220,Tokyo Ya,17182889399.0,$,3.5,53,"[delivery, pickup]",https://www.yelp.com/biz/tokyo-ya-sunset-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
