,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,her-name-is-han-new-york-3,"[{u'alias': u'korean', u'title': u'Korean'}]",40.7462615967,-73.9847335815,(212) 779-9990,4610.34163271,qY1o1MhoRyN84RRhUJtvpQ,https://s3-media3.fl.yelpcdn.com/bphoto/l9QEnecNuAjREh8q3mw-BQ/o.jpg,False,17 E 31st St,,,New York,US,"[17 E 31st St, New York, NY 10016]",NY,10016.0,Her Name Is Han,12127799990.0,$$,4.0,790,[restaurant_reservation],https://www.yelp.com/biz/her-name-is-han-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,barn-joo-35-new-york,"[{u'alias': u'korean', u'title': u'Korean'}, {u'alias': u'gastropubs', u'title': u'Gastropubs'}, {u'alias': u'tapasmallplates', u'title': u'Tapas/Small Plates'}]",40.74964,-73.98582,(212) 564-4430,4967.35708916,xZ96vaoL-cQjfotmUKtjJQ,https://s3-media2.fl.yelpcdn.com/bphoto/_l1ZhP22bulR2pkNTowONA/o.jpg,False,34 W 35th St,,,New York,US,"[34 W 35th St, New York, NY 10001]",NY,10001.0,Barn Joo 35,12125644430.0,$$,4.0,825,"[delivery, pickup]",https://www.yelp.com/biz/barn-joo-35-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,thursday-kitchen-new-york,"[{u'alias': u'korean', u'title': u'Korean'}, {u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'tapasmallplates', u'title': u'Tapas/Small Plates'}]",40.7275,-73.9838,,2613.78209045,fVbUVAiLiGgLA_nxBFxyww,https://s3-media1.fl.yelpcdn.com/bphoto/Rrtsi0d4NZ-RR91UPRn7MQ/o.jpg,False,424 E 9th St,,,New York,US,"[424 E 9th St, New York, NY 10009]",NY,10009.0,Thursday Kitchen,,$$,4.5,815,[],https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,tofu-tofu-new-york-5,"[{u'alias': u'korean', u'title': u'Korean'}]",40.7176299521,-73.9954301342,(917) 442-5001,1358.30286212,vWoT1h8E2eWvIdJqpuxfdg,https://s3-media3.fl.yelpcdn.com/bphoto/uoDcexRbgkiCTCrJ12SqjQ/o.jpg,False,96 Bowery,,,New York,US,"[96 Bowery, New York, NY 10013]",NY,10013.0,Tofu Tofu,19174425001.0,$$,4.5,148,[],https://www.yelp.com/biz/tofu-tofu-new-york-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,oiji-new-york,"[{u'alias': u'korean', u'title': u'Korean'}]",40.72727,-73.98585,(646) 767-9050,2528.51936933,FsuJ7VC5vxX3wcLhFrb97Q,https://s3-media3.fl.yelpcdn.com/bphoto/7QZ9mmo2jl_gRhtnz2MTJA/o.jpg,False,119 1st Ave,,,New York,US,"[119 1st Ave, New York, NY 10003]",NY,10003.0,Oiji,16467679050.0,$$$,4.5,378,[restaurant_reservation],https://www.yelp.com/biz/oiji-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,woorijip-authentic-korean-food-new-york,"[{u'alias': u'korean', u'title': u'Korean'}]",40.74747,-73.98648,(212) 244-1115,4711.10424454,ogCC-lJJYnwXDvKGmKZ6Sw,https://s3-media4.fl.yelpcdn.com/bphoto/NZcGFutBjf1frDkslh6urw/o.jpg,False,12 W 32nd St,,,New York,US,"[12 W 32nd St, New York, NY 10001]",NY,10001.0,Woorijip Authentic Korean Food,12122441115.0,$,4.0,2342,[],https://www.yelp.com/biz/woorijip-authentic-korean-food-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,kook-new-york,"[{u'alias': u'korean', u'title': u'Korean'}]",40.726699,-73.987457,(347) 628-8588,2436.81373889,igcUHNvsKc-s-RtvUmkg2w,https://s3-media2.fl.yelpcdn.com/bphoto/sYfH-H1KiAkoMFzH9APMEw/o.jpg,False,324 E 6th St,,,New York,US,"[324 E 6th St, New York, NY 10003]",NY,10003.0,K'OOK,13476288588.0,$$,4.0,335,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/kook-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,hanki-everyday-korean-brooklyn,"[{u'alias': u'korean', u'title': u'Korean'}]",40.6702019429,-73.9789868519,(718) 768-3555,4125.86965511,mW7z52CSr8IVgdvSzXv6qQ,https://s3-media4.fl.yelpcdn.com/bphoto/0_EMvWEZteFT8yTHnrejgA/o.jpg,False,226 7th Ave,,,Brooklyn,US,"[226 7th Ave, Brooklyn, NY 11215]",NY,11215.0,HANKI Everyday Korean,17187683555.0,$$,4.5,58,"[delivery, pickup]",https://www.yelp.com/biz/hanki-everyday-korean-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,space-mabi-new-york,"[{u'alias': u'korean', u'title': u'Korean'}, {u'alias': u'gastropubs', u'title': u'Gastropubs'}, {u'alias': u'bars', u'title': u'Bars'}]",40.725373346,-73.9870559656,(917) 887-1020,2298.36049934,OHuqBlHuokOviNMEy50-9w,https://s3-media1.fl.yelpcdn.com/bphoto/GPBY5pTW4p8VGm---LYTRg/o.jpg,False,67 1st Ave,,,New York,US,"[67 1st Ave, New York, NY 10003]",NY,10003.0,Space Mabi,19178871020.0,$$,4.5,47,"[restaurant_reservation, delivery, pickup]",https://www.yelp.com/biz/space-mabi-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,to-two-boonsik-new-york,"[{u'alias': u'korean', u'title': u'Korean'}]",40.7155194,-73.9939288,(212) 219-2922,1120.65700801,xTtFw7NKqzyuEFjBzvmdwA,https://s3-media1.fl.yelpcdn.com/bphoto/kWoH7HD-H5eWWskFL1yn8A/o.jpg,False,97 Canal St,,,New York,US,"[97 Canal St, New York, NY 10002]",NY,10002.0,To Two Boonsik,12122192922.0,$$,4.0,93,[],https://www.yelp.com/biz/to-two-boonsik-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
