,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,nyonya-new-york,"[{u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'chinese', u'title': u'Chinese'}]",40.7190148,-73.9968228,(212) 334-3669,1524.98583323,M-odQWSEfsR2mVEw7nKG-g,https://s3-media2.fl.yelpcdn.com/bphoto/YuWC1Gwo7ku4PvD-7mDQnA/o.jpg,False,199 Grand St,,,New York,US,"[199 Grand St, New York, NY 10013]",NY,10013,Nyonya,+12123343669,$$,4.0,1767,[delivery],https://www.yelp.com/biz/nyonya-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,lovemama-new-york,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.7303859,-73.9860613,(212) 254-5370,2858.772941,jjJc_CrkB2HodEinB6cWww,https://s3-media1.fl.yelpcdn.com/bphoto/bLlFKTlVuLfmF-lIDGIjZA/o.jpg,False,174 2nd Ave,,,New York,US,"[174 2nd Ave, New York, NY 10003]",NY,10003,LoveMama,+12122545370,$$,4.0,3195,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,taste-good-malaysian-cuisine-elmhurst,"[{u'alias': u'malaysian', u'title': u'Malaysian'}]",40.7417090264,-73.8821911812,(718) 898-8001,10271.5367262,Zx44jCgDv1TwKMGzcXajIQ,https://s3-media1.fl.yelpcdn.com/bphoto/zheaf8FRD_a5p2gbo3jybw/o.jpg,False,82-18 45th Ave,,,Elmhurst,US,"[82-18 45th Ave, Elmhurst, NY 11373]",NY,11373,Taste Good Malaysian Cuisine,+17188988001,$,4.0,582,[],https://www.yelp.com/biz/taste-good-malaysian-cuisine-elmhurst?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,new-malaysia-new-york-4,"[{u'alias': u'malaysian', u'title': u'Malaysian'}]",40.7158109,-73.9964924,(212) 964-0284,1165.90152742,KkMXFomcmJZBmDdmTMh8yw,https://s3-media3.fl.yelpcdn.com/bphoto/EEQm52camFQwXTdoZndSJw/o.jpg,False,48 Bowery,,,New York,US,"[48 Bowery, New York, NY 10013]",NY,10013,New Malaysia,+12129640284,$$,3.5,599,"[delivery, pickup]",https://www.yelp.com/biz/new-malaysia-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,malay-restaurant-flushing,"[{u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'desserts', u'title': u'Desserts'}, {u'alias': u'seafood', u'title': u'Seafood'}]",40.7588141532,-73.8303136826,(718) 353-2901,15037.4086221,-Rat_jVuOv_HTYjHqooGzw,https://s3-media3.fl.yelpcdn.com/bphoto/VCSGZHtECvJfYb7yEZSHNg/o.jpg,False,13517 40th Rd,,,Flushing,US,"[13517 40th Rd, Flushing, NY 11354]",NY,11354,Malay Restaurant,+17183532901,$$,4.0,221,[],https://www.yelp.com/biz/malay-restaurant-flushing?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,rasa-new-york,"[{u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}, {u'alias': u'halal', u'title': u'Halal'}]",40.7327654,-73.9975674,(212) 254-1888,3050.40769101,EbX_9tqAJs4gW51gZpOB7g,https://s3-media2.fl.yelpcdn.com/bphoto/O3ofGQnue5G8W2jT0wxD-w/o.jpg,False,25 W 8th St,,,New York,US,"[25 W 8th St, New York, NY 10011]",NY,10011,Rasa,+12122541888,$$,4.0,512,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/rasa-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,wok-wok-new-york,"[{u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'thai', u'title': u'Thai'}]",40.71403,-73.99899,(917) 388-3627,1033.54745187,0GftSP2dRwEzujkv2VKIgA,https://s3-media1.fl.yelpcdn.com/bphoto/2JCSB6zGDhF5o8hxafxleQ/o.jpg,False,11 Mott St,,,New York,US,"[11 Mott St, New York, NY 10013]",NY,10013,Wok Wok,+19173883627,$$,4.0,507,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/wok-wok-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,wok-wok-express-new-york-4,"[{u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'thai', u'title': u'Thai'}]",40.74466,-73.98123,(212) 689-0900,4501.42068339,Bi5UAv1JFeBbbU5p3RljlA,https://s3-media1.fl.yelpcdn.com/bphoto/RH9RWDFLRvoMudS3v03RoQ/o.jpg,False,133 E 31st St,,,New York,US,"[133 E 31st St, New York, NY 10016]",NY,10016,Wok Wok Express,+12126890900,$$,4.0,47,"[delivery, pickup]",https://www.yelp.com/biz/wok-wok-express-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,nyonya-brooklyn,"[{u'alias': u'malaysian', u'title': u'Malaysian'}]",40.6000213623,-73.9911804199,(718) 265-0888,11706.7294684,bhW3w2nI4mxFuNWgSS_g1w,https://s3-media1.fl.yelpcdn.com/bphoto/UCpy-q0VmI6DU9018XUghw/o.jpg,False,2322 86th St,,,Brooklyn,US,"[2322 86th St, Brooklyn, NY 11214]",NY,11214,Nyonya,+17182650888,$$,2.5,341,[],https://www.yelp.com/biz/nyonya-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,papparich-flushing-flushing-2,"[{u'alias': u'malaysian', u'title': u'Malaysian'}]",40.7595233726,-73.8324157976,(718) 888-9307,14906.3961972,iIcUpEOjMLuzAIfyY_vgYA,https://s3-media3.fl.yelpcdn.com/bphoto/CRetBkh2VrBCjTHLbQJCdQ/o.jpg,False,One Fulton Sq,,"39-16 Prince St, Unit 205 & 206",Flushing,US,"[One Fulton Sq, 39-16 Prince St, Unit 205 & 206, Flushing, NY 11354]",NY,11354,PappaRich Flushing,+17188889307,$$,3.5,449,[pickup],https://www.yelp.com/biz/papparich-flushing-flushing-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
