,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,the-masalawala-new-york-2,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.72191,-73.98666,(212) 358-9300,1941.69075764,sCC7-hSdCkNPExejZT9BAQ,https://s3-media4.fl.yelpcdn.com/bphoto/4fxSLoYtYtP-lDIRQZ-LJw/o.jpg,False,179 Essex St,,,New York,US,"[179 Essex St, New York, NY 10002]",NY,10002,The MasalaWala,+12123589300,$$,4.5,1149,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/the-masalawala-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,lahore-deli-new-york,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.72478,-73.99632,(212) 965-1777,2155.86182027,MotfuoOFiEmOKOcRCnRhdA,https://s3-media4.fl.yelpcdn.com/bphoto/aPRGUvmBvlvtQKr1ioOhjw/o.jpg,False,132 Crosby St,,,New York,US,"[132 Crosby St, New York, NY 10012]",NY,10012,Lahore Deli,+12129651777,$,4.0,153,"[delivery, pickup]",https://www.yelp.com/biz/lahore-deli-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,kashmir-9-cuisine-of-pakistan-new-york,"[{u'alias': u'halal', u'title': u'Halal'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.754978234,-73.9948511124,(212) 736-7745,5508.05389901,U3hvDT5CtQrnpg2zhJg3mQ,https://s3-media2.fl.yelpcdn.com/bphoto/gyFQkeXEHrnRJhOoyo7d_A/o.jpg,False,478 9th Ave,,,New York,US,"[478 9th Ave, New York, NY 10018]",NY,10018,Kashmir 9 - Cuisine of Pakistan,+12127367745,$,3.5,148,"[delivery, pickup]",https://www.yelp.com/biz/kashmir-9-cuisine-of-pakistan-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,kababish-jackson-heights,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'bangladeshi', u'title': u'Bangladeshi'}]",40.747598,-73.893979,(718) 565-5131,9665.72157854,aFhnb8k6H-wD070vvxt4Fw,https://s3-media1.fl.yelpcdn.com/bphoto/37RTE3IwmBKWlc9gkjjQkg/o.jpg,False,70-64 Broadway,,,Jackson Heights,US,"[70-64 Broadway, Jackson Heights, NY 11373]",NY,11373,Kababish,+17185655131,$,4.0,122,"[delivery, pickup]",https://www.yelp.com/biz/kababish-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,new-york-pulao-kabab-long-island-city,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'desserts', u'title': u'Desserts'}]",40.7535952,-73.9237152,(718) 361-2345,8002.14943927,NDxfIV_QMyXaj4Oa4azXTg,https://s3-media4.fl.yelpcdn.com/bphoto/wXNBKxzAJECiaJ3lTiaaLg/o.jpg,False,36-02 Steinway St,,,Long Island City,US,"[36-02 Steinway St, Long Island City, NY 11101]",NY,11101,New York Pulao Kabab,+17183612345,$,4.5,12,"[delivery, pickup]",https://www.yelp.com/biz/new-york-pulao-kabab-long-island-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,bk-jani-bushwick,"[{u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.701969,-73.924402,(347) 460-5110,5907.95191451,IbB_7AxWQtDFW1iKnoD1Ug,https://s3-media4.fl.yelpcdn.com/bphoto/xKy77g4u8wnapbVR3zd1ng/o.jpg,False,276 Knickerbocker Ave,,,Bushwick,US,"[276 Knickerbocker Ave, Bushwick, NY 11237]",NY,11237,BK JANI,+13474605110,$$,4.5,219,"[pickup, delivery]",https://www.yelp.com/biz/bk-jani-bushwick?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,lahori-chilli-brooklyn-2,"[{u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'bangladeshi', u'title': u'Bangladeshi'}]",40.632572327,-73.9669932454,(718) 859-1400,8423.82112372,kl8Lw7RD7cSeX55Ad5ab7Q,https://s3-media3.fl.yelpcdn.com/bphoto/bdD-Wfh5eoNVVMbrKQuHWA/o.jpg,False,1026 Coney Island Ave,,,Brooklyn,US,"[1026 Coney Island Ave, Brooklyn, NY 11230]",NY,11230,Lahori Chilli,+17188591400,$,4.0,39,"[delivery, pickup]",https://www.yelp.com/biz/lahori-chilli-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,mashallah-sweets-and-restaurant-brooklyn,"[{u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'indpak', u'title': u'Indian'}]",40.641254,-73.969039,(718) 287-0090,7449.58870335,rML0mPoWQHxG8ifHGuI7pQ,https://s3-media4.fl.yelpcdn.com/bphoto/MKnltJ0pTuSSDRrahGRjTw/o.jpg,False,663 Coney Island Ave,,,Brooklyn,US,"[663 Coney Island Ave, Brooklyn, NY 11218]",NY,11218,Mashallah Sweets & Restaurant,+17182870090,$,3.5,81,"[delivery, pickup]",https://www.yelp.com/biz/mashallah-sweets-and-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,haandi-restaurant-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'buffets', u'title': u'Buffets'}]",40.7424,-73.98237,(212) 685-5200,4230.81497805,lIXVm16VchbDXOf7v4hxMA,https://s3-media1.fl.yelpcdn.com/bphoto/JyXAgf7wbEr8NH7hSdLZIw/o.jpg,False,113 Lexington Ave,,,New York,US,"[113 Lexington Ave, New York, NY 10016]",NY,10016,Haandi Restaurant,+12126855200,$,3.5,262,[pickup],https://www.yelp.com/biz/haandi-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,nasheman-grill-and-restaurant-brooklyn,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.579261,-73.959411,(718) 332-8100,14331.8007602,FlwWBzM_1fzo81fRL__srw,https://s3-media3.fl.yelpcdn.com/bphoto/9iAZmAQMeS1KsXlirFasnw/o.jpg,False,3149 Coney Island Ave,,,Brooklyn,US,"[3149 Coney Island Ave, Brooklyn, NY 11235]",NY,11235,Nasheman Grill And Restaurant,+17183328100,$,4.0,49,[pickup],https://www.yelp.com/biz/nasheman-grill-and-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,tikka-grill-jackson-heights,"[{u'alias': u'pakistani', u'title': u'Pakistani'}]",40.7646759,-73.8871923,(718) 458-4848,11185.4243614,jlH66jTIZUwX5MT1D-lhvg,https://s3-media3.fl.yelpcdn.com/bphoto/cRcHfhKxvbOeoKUOYwe8AQ/o.jpg,False,2402 82nd St,,,Jackson Heights,US,"[2402 82nd St, Jackson Heights, NY 11370]",NY,11370,Tikka Grill,+17184584848,$,4.0,30,[],https://www.yelp.com/biz/tikka-grill-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,hadi-restaurant-brooklyn,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'halal', u'title': u'Halal'}]",40.640831,-73.9688369,(347) 240-1175,7498.61585905,UgVY-74sV9xHzx6WR96Wog,https://s3-media4.fl.yelpcdn.com/bphoto/RNZpkIdNqtXoOiJ8AXSFvQ/o.jpg,False,683 Coney Island Ave,,,Brooklyn,US,"[683 Coney Island Ave, Brooklyn, NY 11218]",NY,11218,Hadi Restaurant,+13472401175,$,4.0,33,"[delivery, pickup]",https://www.yelp.com/biz/hadi-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,shadman-restaurant-jersey-city-2,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.7184,-74.0438,(201) 200-0333,4432.95956667,DTxsUnrcAQO-OXwwypPZjQ,https://s3-media1.fl.yelpcdn.com/bphoto/DdJIK6hoY-LfJC8g8IFfog/o.jpg,False,293 1/2 Grove St,,,Jersey City,US,"[293 1/2 Grove St, Jersey City, NJ 07302]",NJ,07302,Shadman Restaurant,+12012000333,$,3.5,164,[],https://www.yelp.com/biz/shadman-restaurant-jersey-city-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,aman-bronx,"[{u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'halal', u'title': u'Halal'}]",40.885147,-73.8794078,(718) 708-5853,22199.2529649,SExVenfR3ScUzIJHdUpxuw,https://s3-media2.fl.yelpcdn.com/bphoto/nSsshRbJZPbiApv7vI1kiA/o.jpg,False,3594 Jerome Ave,,,Bronx,US,"[3594 Jerome Ave, Bronx, NY 10452]",NY,10452,Aman,+17187085853,$,4.5,15,[],https://www.yelp.com/biz/aman-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
14,lasani-restaurant-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.74588,-73.98792,(212) 683-3737,4538.57039286,RRg3P3NsYzutXn5M6mluxw,https://s3-media3.fl.yelpcdn.com/bphoto/4meQdrTHuA9r1sPFz6kQZA/o.jpg,False,15 W 29th St,,,New York,US,"[15 W 29th St, New York, NY 10001]",NY,10001,Lasani Restaurant,+12126833737,$,3.5,37,"[delivery, pickup]",https://www.yelp.com/biz/lasani-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
15,chandni-chowk-restaurant-east-bronx,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'halal', u'title': u'Halal'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.86531,-73.8613699,(718) 325-5859,20986.1086148,PAhIveQCsTzi7FNPPQPutA,https://s3-media2.fl.yelpcdn.com/bphoto/DsNbED7Co92OyBztWwYYQA/o.jpg,False,2570 Bronxwood Ave,,,East Bronx,US,"[2570 Bronxwood Ave, East Bronx, NY 10469]",NY,10469,Chandni Chowk Restaurant,+17183255859,$$,4.5,12,[],https://www.yelp.com/biz/chandni-chowk-restaurant-east-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
16,sweetness-brooklyn,"[{u'alias': u'bakeries', u'title': u'Bakeries'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.629718,-73.966388,(718) 421-1150,8743.1686152,UOaXJyVrr9l1XO7lGaT-bQ,https://s3-media3.fl.yelpcdn.com/bphoto/GEOYRlDhqFxm1z1wCrwrVg/o.jpg,False,1150 Coney Island,,,Brooklyn,US,"[1150 Coney Island, Brooklyn, NY 11230]",NY,11230,Sweetness,+17184211150,$,4.0,38,[],https://www.yelp.com/biz/sweetness-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
17,dera-restaurant-jackson-heights,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}, {u'alias': u'bangladeshi', u'title': u'Bangladeshi'}]",40.7477416992,-73.8934860229,(718) 476-6516,9707.16748706,qZgRPGUl01ldRuTd6pSOnA,https://s3-media3.fl.yelpcdn.com/bphoto/hHR25K6tG1kUoX2f_RnV5w/o.jpg,False,7209 Broadway,,,Jackson Heights,US,"[7209 Broadway, Jackson Heights, NY 11372]",NY,11372,Dera Restaurant,+17184766516,$$,3.0,187,"[pickup, delivery]",https://www.yelp.com/biz/dera-restaurant-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
18,dil-e-punjab-deli-new-york,"[{u'alias': u'indpak', u'title': u'Indian'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}, {u'alias': u'pakistani', u'title': u'Pakistani'}]",40.74482,-74.00206,(212) 647-9428,4432.61739566,yV7brOiTLS3Lmwws8e3nXA,https://s3-media2.fl.yelpcdn.com/bphoto/vRwVd7qL8DWsvRePyeJaeg/o.jpg,False,170 9th Ave,,,New York,US,"[170 9th Ave, New York, NY 10011]",NY,10011,Dil-e Punjab Deli,+12126479428,$,4.5,156,"[delivery, pickup]",https://www.yelp.com/biz/dil-e-punjab-deli-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
