,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,shanghai-asian-manor-new-york,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.71441,-73.99902,(212) 766-6311,1072.46534024,R26zweQ8-xoZS7iHkXQOvw,https://s3-media2.fl.yelpcdn.com/bphoto/O3Md1QIqHqd1WUDBAuo7_Q/o.jpg,False,21 Mott St,,,New York,US,"[21 Mott St, New York, NY 10013]",NY,10013,Shanghai Asian Manor,+12127666311,$$,4.0,1288,"[delivery, pickup]",https://www.yelp.com/biz/shanghai-asian-manor-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,yaso-tangbao-brooklyn,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.6918206366,-73.9863992364,(929) 337-7599,1654.66544351,xH7mEjh4Rn6KdHjXYNoOjw,https://s3-media4.fl.yelpcdn.com/bphoto/AKGztA9MXJM3Ykd8Ofm36Q/o.jpg,False,148 Lawrence St,,,Brooklyn,US,"[148 Lawrence St, Brooklyn, NY 11201]",NY,11201,Yaso Tangbao,+19293377599,$$,4.0,550,[],https://www.yelp.com/biz/yaso-tangbao-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,21-shanghai-house-new-york-4,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.7140138245,-73.9964454933,(212) 226-8998,969.939979541,ynB8T3htx8s5V0YV8gVPGA,https://s3-media1.fl.yelpcdn.com/bphoto/svezeV3YmMnvNIct5Jl2Ew/o.jpg,False,21 Division St,,,New York,US,"[21 Division St, New York, NY 10002]",NY,10002,21 Shanghai House,+12122268998,$$,4.0,354,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/21-shanghai-house-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,shanghai-you-garden-flushing-2,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}, {u'alias': u'dimsum', u'title': u'Dim Sum'}]",40.75895,-73.83056,(718) 886-2286,15024.48927,R0y03SFOY0BdHRUT1LSO0Q,https://s3-media2.fl.yelpcdn.com/bphoto/zmYc40MUMC2ZuJQM6Ikc5Q/o.jpg,False,135-33 40th Rd,,,Flushing,US,"[135-33 40th Rd, Flushing, NY 11354]",NY,11354,Shanghai You Garden,+17188862286,$$,4.0,511,[],https://www.yelp.com/biz/shanghai-you-garden-flushing-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,lius-shanghai-brooklyn-2,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.6026411896,-74.0038766549,(718) 256-6868,11459.7864765,YzyHW3w0HUyaG8EvplNT1A,https://s3-media1.fl.yelpcdn.com/bphoto/L3L94OiVOcrRRyeCdER4EQ/o.jpg,False,1869 Bath Ave,,,Brooklyn,US,"[1869 Bath Ave, Brooklyn, NY 11214]",NY,11214,Liu's Shanghai,+17182566868,$$,4.5,273,[],https://www.yelp.com/biz/lius-shanghai-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,shanghai-asian-cuisine-new-york-2,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.7159077,-73.997383,(212) 964-5640,1192.20510593,UiBQ8Uyu4wfOtEM1Rr8ycA,https://s3-media2.fl.yelpcdn.com/bphoto/gfLH5O47No1vjWivJnY0Ug/o.jpg,False,14A Elizabeth St,,,New York,US,"[14A Elizabeth St, New York, NY 10013]",NY,10013,Shanghai Asian Cuisine,+12129645640,$$,4.0,400,"[restaurant_reservation, delivery, pickup]",https://www.yelp.com/biz/shanghai-asian-cuisine-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,little-alley-new-york,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.74744,-73.97728,(646) 998-3976,4883.71189924,wDuf4Qz9qsC62amLZgWNJQ,https://s3-media1.fl.yelpcdn.com/bphoto/gN1FE5IopoYcNlELc7UtvA/o.jpg,False,550 3rd Ave,,,New York,US,"[550 3rd Ave, New York, NY 10016]",NY,10016,Little Alley,+16469983976,$$,4.0,145,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/little-alley-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,tiny-shanghai-new-york,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}]",40.71781,-73.99795,(917) 261-7898,1414.23824534,tA_AoGEL_oGllbU2j77Shw,https://s3-media1.fl.yelpcdn.com/bphoto/PHZv4n71gawzB4g870AIvg/o.jpg,False,122 Mulberry St,,,New York,US,"[122 Mulberry St, New York, NY 10013]",NY,10013,Tiny Shanghai,+19172617898,$,5.0,15,[],https://www.yelp.com/biz/tiny-shanghai-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,nan-xiang-xiao-long-bao-flushing,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}, {u'alias': u'gourmet', u'title': u'Specialty Food'}, {u'alias': u'noodles', u'title': u'Noodles'}]",40.7598810063,-73.8325853626,(718) 321-3838,14909.3909872,kBZggrnSP1kcUMnsnfkTaQ,https://s3-media4.fl.yelpcdn.com/bphoto/ONP2DhsGDUKVScihhmaUGw/o.jpg,False,38-12 Prince St,,,Flushing,US,"[38-12 Prince St, Flushing, NY 11354]",NY,11354,Nan Xiang Xiao Long Bao,+17183213838,$,4.0,2863,[],https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,china-blue-new-york,"[{u'alias': u'shanghainese', u'title': u'Shanghainese'}, {u'alias': u'dimsum', u'title': u'Dim Sum'}]",40.7240814174,-74.009860754,(212) 431-0111,2452.72988923,0k678lCWQyReNi0lARlOmw,https://s3-media3.fl.yelpcdn.com/bphoto/tKgN_Aefw0MTsADFrELhvw/o.jpg,False,135 Watts St,,,New York,US,"[135 Watts St, New York, NY 10013]",NY,10013,China Blue,+12124310111,$$,4.0,467,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/china-blue-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
