,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,taiwan-pork-chop-house-new-york,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}, {u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'noodles', u'title': u'Noodles'}]",40.7142303,-73.9979609,(212) 791-7007,1024.64263268,kNOr6_g6QfBHdhf89j3g5w,https://s3-media2.fl.yelpcdn.com/bphoto/ZApVzQqt8smfJWTx7tArBQ/o.jpg,False,3 Doyers St,,,New York,US,"[3 Doyers St, New York, NY 10013]",NY,10013,Taiwan Pork Chop House,+12127917007,$,4.0,284,[],https://www.yelp.com/biz/taiwan-pork-chop-house-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,taiwan-bear-house-new-york,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}, {u'alias': u'bubbletea', u'title': u'Bubble Tea'}, {u'alias': u'chinese', u'title': u'Chinese'}]",40.7147185237,-73.9977966218,(212) 346-9050,1072.63078155,za9mYaRVWkwKkQfjRgvU0g,https://s3-media3.fl.yelpcdn.com/bphoto/Y_uwlkbBnhDiXugVD8rQ3w/o.jpg,False,11 Pell St,,,New York,US,"[11 Pell St, New York, NY 10013]",NY,10013,Taiwan Bear House,+12123469050,$,4.0,242,"[delivery, pickup]",https://www.yelp.com/biz/taiwan-bear-house-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,win-son-brooklyn-4,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}, {u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.70747,-73.94339,(347) 457-6010,4286.81695139,3gqKLANaXNsHZnPDjKrcTg,https://s3-media3.fl.yelpcdn.com/bphoto/C-EM6eE5mcCU6Ef3w_EgzA/o.jpg,False,159 Graham Ave,,,Brooklyn,US,"[159 Graham Ave, Brooklyn, NY 11206]",NY,11206,Win Son,+13474576010,$$,4.5,227,[],https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,ho-foods-new-york-3,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}]",40.72634,-73.98478,(347) 788-0682,2457.05467045,rBUTVjRs5CcEMe3dfVRZJQ,https://s3-media4.fl.yelpcdn.com/bphoto/hm719g7K3JUTgJVKtkX-Eg/o.jpg,False,110 E 7th St,,,New York,US,"[110 E 7th St, New York, NY 10009]",NY,10009,Ho Foods,+13477880682,$$,4.5,63,[],https://www.yelp.com/biz/ho-foods-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,golden-rich-brooklyn,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}, {u'alias': u'chinese', u'title': u'Chinese'}]",40.64651,-73.99786,(718) 508-2993,6560.15009274,qbLLdO0VEAWXGnygtQfoDQ,https://s3-media1.fl.yelpcdn.com/bphoto/-hwm6ub9s3L3pYGQJ51VMw/o.jpg,False,4001 8th Ave,,,Brooklyn,US,"[4001 8th Ave, Brooklyn, NY 11232]",NY,11232,Golden Rich,+17185082993,$$,4.0,39,[],https://www.yelp.com/biz/golden-rich-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,very-fresh-noodles-new-york,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}, {u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'noodles', u'title': u'Noodles'}]",40.7423387008,-74.0061374946,,4222.07963871,oe8GEFE4QLFAKt87y7zcgA,https://s3-media4.fl.yelpcdn.com/bphoto/XR-VxOQvICyCqCl3sqwYNA/o.jpg,False,425 W 15th St,,,New York,US,"[425 W 15th St, New York, NY 10011]",NY,10011,Very Fresh Noodles,,$$,4.0,457,[],https://www.yelp.com/biz/very-fresh-noodles-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,taiwanese-gourmet-elmhurst-2,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}]",40.739713,-73.878766,(718) 478-8988,10459.4093409,vbL4Ef8zf4dmdR9Gyl5lkw,https://s3-media3.fl.yelpcdn.com/bphoto/qxyGI9nnOUveEDcjGjgc_g/o.jpg,False,8402 Broadway,,,Elmhurst,US,"[8402 Broadway, Elmhurst, NY 11373]",NY,11373,Taiwanese Gourmet,+17184788988,$$,3.5,280,[],https://www.yelp.com/biz/taiwanese-gourmet-elmhurst-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,mama-lee-bayside,"[{u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'taiwanese', u'title': u'Taiwanese'}]",40.755368,-73.767415,(718) 767-8680,19906.8878072,ieOIBz6Gfqmwm1B0wUzh9g,https://s3-media4.fl.yelpcdn.com/bphoto/-NyTkuop8cKkv-q_04aZXw/o.jpg,False,213-12 48th Ave,,,Bayside,US,"[213-12 48th Ave, Bayside, NY 11364]",NY,11364,Mama Lee,+17187678680,$$,4.5,374,[],https://www.yelp.com/biz/mama-lee-bayside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,main-street-imperial-taiwanese-gourmet-flushing,"[{u'alias': u'taiwanese', u'title': u'Taiwanese'}]",40.743473,-73.825942,(718) 886-8788,14809.4556448,afjlMhMd_RJxZgE08RnebQ,https://s3-media2.fl.yelpcdn.com/bphoto/-soIphXEAmSKFR1mjjGlBw/o.jpg,False,5914 Main St,,,Flushing,US,"[5914 Main St, Flushing, NY 11355]",NY,11355,Main Street Imperial Taiwanese Gourmet,+17188868788,$$,4.0,270,[],https://www.yelp.com/biz/main-street-imperial-taiwanese-gourmet-flushing?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,the-tang-new-york,"[{u'alias': u'noodles', u'title': u'Noodles'}, {u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'taiwanese', u'title': u'Taiwanese'}]",40.72703,-73.98539,(646) 678-3092,2511.38874475,bcqTacyE-0XDaZYG_xbTBQ,https://s3-media1.fl.yelpcdn.com/bphoto/YovBwDy7IRrDIcA-IL1gJw/o.jpg,False,120 1st Ave,,,New York,US,"[120 1st Ave, New York, NY 10009]",NY,10009,The Tang,+16466783092,$$,4.0,224,"[pickup, delivery]",https://www.yelp.com/biz/the-tang-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
