,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,thai-villa-new-york-2,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}]",40.73902,-73.99065,(212) 802-9999,3744.57039983,B3_K2kUVbYOU0VaLcj_LTw,https://s3-media1.fl.yelpcdn.com/bphoto/OgCU9NPFIl8hF_04Zani9w/o.jpg,False,5 E 19th St,G Floor,,New York,US,"[5 E 19th St, G Floor, New York, NY 10003]",NY,10003,Thai Villa,+12128029999,$$,4.5,1419,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/thai-villa-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,pure-thai-cookhouse-new-york,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'noodles', u'title': u'Noodles'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.764291,-73.988159,(212) 581-0999,6563.76500909,MhceeLrM2_3mcKw5EGLY6A,https://s3-media2.fl.yelpcdn.com/bphoto/c1f0AKoNv3D9UOUipHIleA/o.jpg,False,766 9th Ave,,,New York,US,"[766 9th Ave, New York, NY 10019]",NY,10019,Pure Thai Cookhouse,+12125810999,$$,4.0,2141,[],https://www.yelp.com/biz/pure-thai-cookhouse-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,up-thai-new-york,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.7698275927,-73.9576330869,(212) 256-1188,7796.91267576,-OixbLnFLCzQclxCSbUQ8w,https://s3-media3.fl.yelpcdn.com/bphoto/g9J3naudQZY72qJAHUOI8A/o.jpg,False,1411 2nd Ave,,,New York,US,"[1411 2nd Ave, New York, NY 10021]",NY,10021,Up Thai,+12122561188,$$,4.5,1607,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/up-thai-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,lovemama-new-york,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.7303859,-73.9860613,(212) 254-5370,2858.772941,jjJc_CrkB2HodEinB6cWww,https://s3-media1.fl.yelpcdn.com/bphoto/bLlFKTlVuLfmF-lIDGIjZA/o.jpg,False,174 2nd Ave,,,New York,US,"[174 2nd Ave, New York, NY 10003]",NY,10003,LoveMama,+12122545370,$$,4.0,3195,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,top-thai-greenwich-new-york,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.72977,-73.99939,(646) 726-4418,2740.15205883,wGFSTTB6b4MHJJUzBnVJeg,https://s3-media4.fl.yelpcdn.com/bphoto/rfg4z10hxo_nS-BJxBqXUw/o.jpg,False,235 Sullivan St,,,New York,US,"[235 Sullivan St, New York, NY 10012]",NY,10012,Top Thai Greenwich,+16467264418,$$,4.5,510,"[delivery, pickup]",https://www.yelp.com/biz/top-thai-greenwich-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,sripraphai-thai-restaurant-woodside,"[{u'alias': u'thai', u'title': u'Thai'}]",40.7464987,-73.8992328,(718) 899-9599,9219.94935152,0L03onqNwxWLrbb_FCK79A,https://s3-media2.fl.yelpcdn.com/bphoto/ZeVwdSdVbiH85rUJCquvhw/o.jpg,False,64-13 39th Ave,,,Woodside,US,"[64-13 39th Ave, Woodside, NY 11377]",NY,11377,SriPraPhai Thai Restaurant,+17188999599,$$,4.0,2111,[],https://www.yelp.com/biz/sripraphai-thai-restaurant-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,williamsburg-thai-cuisine-brooklyn,"[{u'alias': u'thai', u'title': u'Thai'}]",40.71699,-73.9588799,(929) 337-7651,3250.46844257,liGIz8CzhyS1udx1aefjng,https://s3-media3.fl.yelpcdn.com/bphoto/3y-j4udfDJPqZEkFA0FZ0Q/o.jpg,False,212 Bedford Ave,,,Brooklyn,US,"[212 Bedford Ave, Brooklyn, NY 11249]",NY,11249,Williamsburg Thai Cuisine,+19293377651,$$,4.0,134,"[delivery, pickup]",https://www.yelp.com/biz/williamsburg-thai-cuisine-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,boran-brooklyn-2,"[{u'alias': u'thai', u'title': u'Thai'}]",40.67825,-73.99816,(718) 490-0207,3043.01279665,feY7PgoRjCp2qReaIitRkQ,https://s3-media2.fl.yelpcdn.com/bphoto/sbQGvLqb5pbeRtvNd-82Iw/o.jpg,False,462 Court St,,,Brooklyn,US,"[462 Court St, Brooklyn, NY 11231]",NY,11231,Boran,+17184900207,$$,4.5,17,"[delivery, pickup]",https://www.yelp.com/biz/boran-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,kor-tor-mor-brooklyn,"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'noodles', u'title': u'Noodles'}, {u'alias': u'soup', u'title': u'Soup'}]",40.6846634,-73.9918633,(718) 797-5100,2319.85372169,5ZjNZd3Yg0jOkJ9WRx1r6g,https://s3-media3.fl.yelpcdn.com/bphoto/g8vp1MFooFU7-mUZbnjOAQ/o.jpg,False,204 Smith St,,,Brooklyn,US,"[204 Smith St, Brooklyn, NY 11201]",NY,11201,Kor Tor Mor,+17187975100,$$,4.0,164,"[delivery, pickup]",https://www.yelp.com/biz/kor-tor-mor-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,sukhumvit-51-new-york,"[{u'alias': u'thai', u'title': u'Thai'}]",40.7559139832,-73.9693867939,(212) 888-8894,5991.47985854,KHdYPT0jUnUGdHGaY73mxg,https://s3-media2.fl.yelpcdn.com/bphoto/zXVV_41FT3UDB3cKVMggNw/o.jpg,False,224 E 51st St,,,New York,US,"[224 E 51st St, New York, NY 10022]",NY,10022,Sukhumvit 51,+12128888894,$$,4.0,593,"[delivery, pickup]",https://www.yelp.com/biz/sukhumvit-51-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
