,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,5ive-spice-brooklyn-3,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'salad', u'title': u'Salad'}]",40.6814048,-73.9771062,(718) 857-3483,3040.60515517,SSDOkx5enfRH3nsniS_2jA,https://s3-media4.fl.yelpcdn.com/bphoto/-9Se05tpyENhFgWJKk54NA/o.jpg,False,52 5th Ave,,,Brooklyn,US,"[52 5th Ave, Brooklyn, NY 11217]",NY,11217,5ive Spice,+17188573483,$$,4.0,414,[],https://www.yelp.com/biz/5ive-spice-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,pho-vietnam-new-york-2,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.717587,-73.9944029,(212) 775-0999,1350.17402725,1851MMElaLteR03rnGAMlw,https://s3-media1.fl.yelpcdn.com/bphoto/Y0wIVaI_SHIPec3XRlHCFQ/o.jpg,False,87 Chrystie St,,,New York,US,"[87 Chrystie St, New York, NY 10002]",NY,10002,Pho Vietnam,+12127750999,$,4.0,357,"[delivery, pickup]",https://www.yelp.com/biz/pho-vietnam-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,district-saigon-astoria,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.7596365,-73.9199343,(718) 956-0007,8692.88807878,YjkEjOJ05z4MVDmbrWvWdQ,https://s3-media2.fl.yelpcdn.com/bphoto/CfqDfIMvVfFVXdvdetcfNg/o.jpg,False,37-15 Broadway,,,Astoria,US,"[37-15 Broadway, Astoria, NY 11103]",NY,11103,District Saigon,+17189560007,$$,4.0,367,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/district-saigon-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,vietnaam-new-york,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.7791481018,-73.9504165649,(212) 722-0558,8991.07704206,Wbmqg0TkOVkzNh3HrJ9DIQ,https://s3-media4.fl.yelpcdn.com/bphoto/85vi3l4WiR69wNa31HWlhA/o.jpg,False,1700 2nd Ave,,,New York,US,"[1700 2nd Ave, New York, NY 10128]",NY,10128,Vietnaam,+12127220558,$$,4.0,586,[],https://www.yelp.com/biz/vietnaam-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,obao-new-york-3,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.7606166,-73.991225,(212) 245-8880,6140.2550271,NN3mOWF5e_pnR1ArqM2bHQ,https://s3-media4.fl.yelpcdn.com/bphoto/CpVI2XJLrvg09Fm83bfPog/o.jpg,False,647 9th Ave,,,New York,US,"[647 9th Ave, New York, NY 10036]",NY,10036,OBAO,+12122458880,$$,4.0,1602,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/obao-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,bocaphê-new-york-3,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'french', u'title': u'French'}]",40.7220893,-73.9974941,(646) 882-1939,1870.33389385,C2o3Iw-DXjoUJFgQIbiqkQ,https://s3-media2.fl.yelpcdn.com/bphoto/mIbWIjOt79LuGFYtVTHqTg/o.jpg,False,222 Lafayette St,,,New York,US,"[222 Lafayette St, New York, NY 10012]",NY,10012,BoCaphe,+16468821939,$$,4.0,622,"[delivery, pickup]",https://www.yelp.com/biz/bocaph%C3%AA-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,hello-saigon-new-york,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'noodles', u'title': u'Noodles'}]",40.7289399955,-74.0009501204,(212) 254-2088,2672.09818635,zqyGYIiCXL1Hz8KVZxbylQ,https://s3-media3.fl.yelpcdn.com/bphoto/8K3ZCfDFI_XtwNsHg9ISZQ/o.jpg,False,180 Bleecker St,,,New York,US,"[180 Bleecker St, New York, NY 10012]",NY,10012,Hello Saigon,+12122542088,$$,4.0,132,"[restaurant_reservation, delivery, pickup]",https://www.yelp.com/biz/hello-saigon-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,madame-vo-new-york,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.72925,-73.98612,(917) 261-2115,2737.17599357,m2Zsy2UAkcDf0cRzk2Yoqw,https://s3-media1.fl.yelpcdn.com/bphoto/S_S_ITZlC7r80LnlNTYfcA/o.jpg,False,212 E 10th St,,,New York,US,"[212 E 10th St, New York, NY 10003]",NY,10003,Madame Vo,+19172612115,$$,4.0,429,[],https://www.yelp.com/biz/madame-vo-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,hanoi-house-new-york,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.72698,-73.98357,(212) 995-5010,2563.03298462,bZQryeTD6hIsT6lSUxzSSw,https://s3-media1.fl.yelpcdn.com/bphoto/ZUEzG9aRWgswMfb_hC71NA/o.jpg,False,119 Saint Marks Pl,,,New York,US,"[119 Saint Marks Pl, New York, NY 10009]",NY,10009,Hanoi House,+12129955010,$$,4.0,295,[],https://www.yelp.com/biz/hanoi-house-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,bunker-brooklyn,"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}]",40.7105638,-73.9233984,(718) 386-4282,6002.80405854,EvLkJaWEXTZ8QNBrxOhDsA,https://s3-media3.fl.yelpcdn.com/bphoto/vM8KHLsG6Xk-z1IZLdCKmw/o.jpg,False,99 Scott Ave,,,Brooklyn,US,"[99 Scott Ave, Brooklyn, NY 11237]",NY,11237,Bunker,+17183864282,$$,4.0,586,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/bunker-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
