,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
0,igQ9CK71aQZyNXNbfNhVtQ,Cafe 11,cafe-11-new-york-4,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",POINT (-74.0140703 40.7052529),-74.0140703,40.7052529,"[11 Broadway, New York, NY 10004]",New York,NY,10004.0,2,4.5,29,0,0,0,0,european
1,CJXVkLtlWmpCaHMRUII8XQ,Paprika Kosher Catering & Restaurant,paprika-kosher-catering-and-restaurant-new-york,Kosher,"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.98220000000001 40.74727),-73.9822,40.74727,"[56 E 34th St, New York, NY 10016]",New York,NY,10016.0,2,4.0,44,0,1,1,0,european
2,A0GVSLdYCEIr-yLZnqhJkg,Marani,marani-rego-park-5,Kosher,"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'georgian', u'title': u'Georgian'}]",POINT (-73.8597332958 40.731501959),-73.8597332958,40.731501959,"[9726 63rd Rd, Rego Park, NY 11374]",Rego Park,NY,11374.0,2,4.5,171,0,1,1,0,european
3,AdZ13ZEVD7t2h8PaEIbTbQ,ALENbi,alenbi-brooklyn,Kosher,"[{u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.95061149999999 40.666413),-73.9506115,40.666413,"[887 Nostrand Ave, Brooklyn, NY 11225]",Brooklyn,NY,11225.0,4,4.5,16,0,0,0,0,european
4,FvCslLyo0SlDKI52bEDekQ,Nish Nush,nish-nush-new-york-5,Kosher,"[{u'alias': u'vegetarian', u'title': u'Vegetarian'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-74.007949 40.709472),-74.007949,40.709472,"[41 John St, New York, NY 10038]",New York,NY,10038.0,2,4.5,181,0,1,1,0,european
5,BAqvNvWs-DeCPZYh6ntBTw,Bison & Bourbon,bison-and-bourbon-brooklyn,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",POINT (-73.99053309109999 40.6731779261),-73.99053309109999,40.6731779261,"[191 7th St, Brooklyn, NY 11215]",Brooklyn,NY,11215.0,4,3.0,86,0,0,0,1,european
6,3cPE2B0xt0U7GdOZn9luLw,Mocha Burger,mocha-burger-new-york-5,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'burgers', u'title': u'Burgers'}]",POINT (-73.99977800000001 40.72747),-73.999778,40.727470000000004,"[496 Laguardia Pl, Street Level, New York, NY 10012]",New York,NY,10012.0,2,3.0,112,0,1,1,1,european
7,D9nQb14gqhCAOaUUvJz3-Q,Reserve Cut,reserve-cut-new-york,Kosher,"[{u'alias': u'steak', u'title': u'Steakhouses'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",POINT (-74.011808 40.7059085),-74.011808,40.7059085,"[40 Broad St, Fl 2, New York, NY 10004]",New York,NY,10004.0,4,4.0,202,0,0,0,1,european
8,4kzN5nhvOyHyJaeviWTpHQ,Mike's Bistro,mikes-bistro-new-york-2,Kosher,"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.9710257 40.7594553),-73.9710257,40.7594553,"[127 E 54th St, New York, NY 10022]",New York,NY,10022.0,4,4.0,75,0,0,0,0,european
9,-ZMnUfTTjLEfUt4PbQGqgA,Boru Boru,boru-boru-new-york,Kosher,"[{u'alias': u'ramen', u'title': u'Ramen'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.969779 40.7954),-73.969779,40.7954,"[774 Amsterdam Ave, New York, NY 10025]",New York,NY,10025.0,,4.0,15,0,0,0,0,european
10,pSAAr8srYYt4SUQP4r0Bhw,Luanne's Wild Ginger,luannes-wild-ginger-brooklyn,Kosher,"[{u'alias': u'vegan', u'title': u'Vegan'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.96982 40.6896),-73.96982,40.6896,"[235 Dekalb Ave, Brooklyn, NY 11205]",Brooklyn,NY,11205.0,2,4.5,36,0,1,1,0,european
11,jf3OvEnL0GZuxOV4-SR3uQ,Milk + Honey,milk-honey-new-york-2,Kosher,"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}]",POINT (-74.01012 40.70944),-74.01012,40.70944,"[160 Broadway Ave, New York, NY 10038]",New York,NY,10038.0,2,3.0,15,0,1,1,0,european
12,i6xP3ZfL78PXg2gjsOz-og,Noidue Carne,noidue-carne-new-york,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'desserts', u'title': u'Desserts'}]",POINT (-73.98146 40.77625),-73.98146,40.77625,"[141 W 69th St, New York, NY 10023]",New York,NY,10023.0,,4.5,10,0,1,1,0,european
13,lNV-bBLb9iTFCmbeGakwGw,Gottlieb's Restaurant,gottliebs-restaurant-brooklyn-14,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'delis', u'title': u'Delis'}]",POINT (-73.96113259999998 40.7077128),-73.96113259999998,40.707712799999996,"[352 Roebling St, Brooklyn, NY 11211]",Brooklyn,NY,11211.0,2,4.0,60,0,1,1,0,european
14,ht3DxDFrvMRSv9WeeX80NA,Lox,lox-new-york,Kosher,"[{u'alias': u'cafes', u'title': u'Cafes'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-74.0180295074 40.7055377733),-74.0180295074,40.7055377733,"[36 Battery Pl, Museum Of Jewish Heritage, New York, NY 10280]",New York,NY,10280.0,2,4.0,31,0,1,1,0,european
15,dN17XjupSnAdIapJyXK_qg,Brooklyn Artisan Bakehouse & Cafe,brooklyn-artisan-bakehouse-and-cafe-brooklyn,Kosher,"[{u'alias': u'cafes', u'title': u'Cafes'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.9450302124 40.662147522),-73.9450302124,40.662147522,"[529 E New York Ave, Brooklyn, NY 11225]",Brooklyn,NY,11225.0,2,4.0,38,0,0,0,0,european
16,AoMmmvB8Fsc4euWs51y5wA,Abigael's on Broadway,abigaels-on-broadway-new-york-3,Kosher,"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",POINT (-73.98777 40.75353),-73.98777,40.75353,"[1407 Broadway, New York, NY 10018]",New York,NY,10018.0,3,3.5,127,0,1,1,1,european
17,B6n8IyvNn7ZRCy4ybsScsA,Holy Schnitzel,holy-schnitzel-brooklyn,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",POINT (-73.962345086 40.59842589),-73.962345086,40.59842589,"[819 Ave U, Brooklyn, NY 11223]",Brooklyn,NY,11223.0,2,4.5,44,0,1,1,0,european
18,SEt6YdbMxMKGw8FhKwMjzA,UN Plaza Grill,un-plaza-grill-new-york,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'steak', u'title': u'Steakhouses'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",POINT (-73.96758 40.75251),-73.96758,40.75251,"[845 United Nations Plz, New York, NY 10017]",New York,NY,10017.0,3,4.0,21,0,0,0,0,european
19,6b68UN9tODBAn_q14xypuw,Grill 212,grill-212-new-york,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'falafel', u'title': u'Falafel'}]",POINT (-73.97887 40.78402),-73.97887,40.78402,"[212 W 80th St, New York, NY 10024]",New York,NY,10024.0,2,4.0,145,0,1,1,0,european
20,yFub1BhKEP-W-_ZM3_nJoQ,Bodhi Kosher Vegetarian Restaurant,bodhi-kosher-vegetarian-restaurant-new-york,Kosher,"[{u'alias': u'vegan', u'title': u'Vegan'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'chinese', u'title': u'Chinese'}]",POINT (-73.99930999999999 40.71641),-73.99931,40.716409999999996,"[77 Mulberry St, New York, NY 10013]",New York,NY,10013.0,2,4.0,241,0,1,1,1,european
21,Itg3FiXNyf9NXKegy46Lwg,Taste of Samarkand,taste-of-samarkand-middle-village,Kosher,"[{u'alias': u'uzbek', u'title': u'Uzbek'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.870707 40.7266223),-73.870707,40.7266223,"[62-16 Woodhaven Blvd, Middle Village, NY 11374]",Middle Village,NY,11374.0,2,4.5,64,0,0,0,0,european
22,B5526eNbfzBqI9D3KpMoHw,Davry Kosher Sports Bar,davry-kosher-sports-bar-brooklyn,Kosher,"[{u'alias': u'sportsbars', u'title': u'Sports Bars'}, {u'alias': u'kosher', u'title': u'Kosher'}]",POINT (-73.96489 40.60612),-73.96489,40.606120000000004,"[722 Kings Hwy, Brooklyn, NY 11223]",Brooklyn,NY,11223.0,2,4.0,10,0,0,0,0,european
23,XLDfKlVPpFrUA5y6lmJTNQ,David's Restaurant,davids-restaurant-brooklyn-7,Kosher,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}]",POINT (-73.9694855 40.6047112),-73.9694855,40.604711200000004,"[539 Kings Hwy, Brooklyn, NY 11223]",Brooklyn,NY,11223.0,2,4.5,42,0,0,0,0,european
