,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,reichenbach-hall-new-york,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'german', 'title': 'German'}, {'alias': 'pretzels', 'title': 'Pretzels'}]",40.7508,-73.98401,(212) 302-7744,5127.470413254402,BxNs9d8rEW3Tls-nVdmIgA,https://s3-media1.fl.yelpcdn.com/bphoto/_QOHWAVv59g_nLBvbbTPfQ/o.jpg,False,5 W 37th St,,,New York,US,"['5 W 37th St', 'New York, NY 10018']",NY,10018,Reichenbach Hall,+12123027744,$$,4.0,557,['restaurant_reservation'],https://www.yelp.com/biz/reichenbach-hall-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,cafe-katja-new-york,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'german', 'title': 'German'}, {'alias': 'austrian', 'title': 'Austrian'}]",40.7177673,-73.990589,(212) 219-9545,1400.4825475532655,zo4mcEfVKaktdj_gnSFhGQ,https://s3-media3.fl.yelpcdn.com/bphoto/a7gCobm1xlIKnLuY7P0-IQ/o.jpg,False,79 Orchard St,,,New York,US,"['79 Orchard St', 'New York, NY 10002']",NY,10002,Cafe Katja,+12122199545,$$,4.5,707,['restaurant_reservation'],https://www.yelp.com/biz/cafe-katja-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,heidelberg-restaurant-new-york,"[{'alias': 'german', 'title': 'German'}, {'alias': 'bars', 'title': 'Bars'}]",40.77742,-73.95172,(212) 628-2332,8772.369147841455,PJeuLlvja4ZKv_tHq_pE1A,https://s3-media3.fl.yelpcdn.com/bphoto/AXLrxaIJMpikNzI7Hds71Q/o.jpg,False,1648 2nd Ave,,,New York,US,"['1648 2nd Ave', 'New York, NY 10028']",NY,10028,Heidelberg Restaurant,+12126282332,$$,4.0,604,[],https://www.yelp.com/biz/heidelberg-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,zum-stammtisch-glendale,"[{'alias': 'german', 'title': 'German'}]",40.7017618,-73.8813408,(718) 386-3014,9552.015052299974,19o6iblcJvz2hdPouYhXgg,https://s3-media1.fl.yelpcdn.com/bphoto/9l2pwJbgufKGRw_aZPONnA/o.jpg,False,6946 Myrtle Ave,,,Glendale,US,"['6946 Myrtle Ave', 'Glendale, NY 11385']",NY,11385,Zum Stammtisch,+17183863014,$$,4.0,384,[],https://www.yelp.com/biz/zum-stammtisch-glendale?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,zum-schneider-new-york,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'german', 'title': 'German'}]",40.72421,-73.978862,(212) 598-1098,2458.7240261207103,0gTHz_iR8yHuhtIt-0-20g,https://s3-media1.fl.yelpcdn.com/bphoto/5EBXwpcGCHwPL9B4WwEqMg/o.jpg,False,107 Ave C,,,New York,US,"['107 Ave C', 'New York, NY 10009']",NY,10009,Zum Schneider,+12125981098,$$,4.0,554,['restaurant_reservation'],https://www.yelp.com/biz/zum-schneider-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,max-bratwurst-und-bier-astoria,"[{'alias': 'german', 'title': 'German'}, {'alias': 'bars', 'title': 'Bars'}]",40.7612453874006,-73.9094611979998,(718) 777-1635,9465.188938384523,osY94UfXtrynDL2nMs_bdw,https://s3-media1.fl.yelpcdn.com/bphoto/3pfGmoLal1jA7y-6gu2OLw/o.jpg,False,4702 30th Ave,,,Astoria,US,"['4702 30th Ave', 'Astoria, NY 11103']",NY,11103,Max Bratwurst und Bier,+17187771635,$$,4.5,298,"['delivery', 'pickup']",https://www.yelp.com/biz/max-bratwurst-und-bier-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,radegast-hall-and-biergarten-brooklyn,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'german', 'title': 'German'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",40.716641,-73.961498,(718) 963-3973,3031.61581674316,TOaQzGPAIQWQUIXi4CPnbA,https://s3-media1.fl.yelpcdn.com/bphoto/SHeeD3pGiQWgyafea3z2UA/o.jpg,False,113 N 3rd St,,,Brooklyn,US,"['113 N 3rd St', 'Brooklyn, NY 11249']",NY,11249,Radegast Hall and Biergarten,+17189633973,$$,4.0,1207,[],https://www.yelp.com/biz/radegast-hall-and-biergarten-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,bierhaus-nyc-new-york-4,"[{'alias': 'german', 'title': 'German'}, {'alias': 'bars', 'title': 'Bars'}]",40.75255,-73.97338,(212) 867-2337,5526.757615827817,-2aMphgYYnoxncuZ7xI3Gw,https://s3-media3.fl.yelpcdn.com/bphoto/j9Yp4ooxoJBmHLP91vphnA/o.jpg,False,712 3rd Ave,,,New York,US,"['712 3rd Ave', 'New York, NY 10017']",NY,10017,Bierhaus NYC,+12128672337,$$,3.5,556,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/bierhaus-nyc-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,schnitzel-haus-brooklyn,"[{'alias': 'german', 'title': 'German'}, {'alias': 'pubs', 'title': 'Pubs'}]",40.630358,-74.021959,(718) 836-5600,8669.191928039076,rEw0U5tN2gTwoFrd-Yfsog,https://s3-media3.fl.yelpcdn.com/bphoto/Fr2VwOSEUNc4cw05optK7w/o.jpg,False,7319 5th Ave,,,Brooklyn,US,"['7319 5th Ave', 'Brooklyn, NY 11209']",NY,11209,Schnitzel Haus,+17188365600,$$,4.0,207,"['delivery', 'pickup']",https://www.yelp.com/biz/schnitzel-haus-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,gottscheer-hall-ridgewood,"[{'alias': 'german', 'title': 'German'}, {'alias': 'bars', 'title': 'Bars'}]",40.706891,-73.905479,(718) 366-3030,7493.100665139834,XA7phnS0fBfLR8xdsngiUQ,https://s3-media1.fl.yelpcdn.com/bphoto/jZZhgRYFUXbt8BJsMCZTSQ/o.jpg,False,657 Fairview Ave,,,Ridgewood,US,"['657 Fairview Ave', 'Ridgewood, NY 11385']",NY,11385,Gottscheer Hall,+17183663030,$,4.5,40,[],https://www.yelp.com/biz/gottscheer-hall-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
