,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,amélie-new-york,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",40.7327,-73.99766,(212) 533-2962,3036.049355695584,ETgJqJHV7BW6pIr9Ox74sA,https://s3-media4.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/o.jpg,False,22 W 8th St,,,New York,US,"['22 W 8th St', 'New York, NY 10011']",NY,10011,Amélie,+12125332962,$$,4.5,1977,['restaurant_reservation'],https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,la-sirene-new-york,"[{'alias': 'french', 'title': 'French'}]",40.7243642217227,-74.005708694458,(212) 925-3061,2313.301948098778,FiRB9Ek3Xo9JHwXgBYITYg,https://s3-media4.fl.yelpcdn.com/bphoto/RsDpYmM0azJa4f7cot5Z0g/o.jpg,False,558 Broome St,,,New York,US,"['558 Broome St', 'New York, NY 10013']",NY,10013,La Sirene,+12129253061,$$$,4.5,1454,['restaurant_reservation'],https://www.yelp.com/biz/la-sirene-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,boucherie-park-new-york,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.73715,-73.98789,(212) 353-0200,3563.8618071520623,8XHbZIKDQbXhyKIGiukVeQ,https://s3-media2.fl.yelpcdn.com/bphoto/U90cr6FAs7CRF83TkbvrZg/o.jpg,False,225 Park Ave S,,,New York,US,"['225 Park Ave S', 'New York, NY 10003']",NY,10003,Boucherie - Park,+12123530200,$$,4.5,105,['restaurant_reservation'],https://www.yelp.com/biz/boucherie-park-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,boucherie-west-village-new-york-2,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",40.7329177,-74.0030212,(212) 837-1616,3153.3189063115065,s3jou_L_LVYGkNHiuhjlew,https://s3-media2.fl.yelpcdn.com/bphoto/-5TXMVrjARsqKQHDg-hKbQ/o.jpg,False,99 7th Ave S,,,New York,US,"['99 7th Ave S', 'New York, NY 10014']",NY,10014,Boucherie - West Village,+12128371616,$$$,4.5,422,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/boucherie-west-village-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,le-parisien-new-york,"[{'alias': 'french', 'title': 'French'}]",40.7454079308793,-73.9791478306885,(212) 889-5489,4623.334586884622,csVEpHy5KJoFvM1qp5XwLQ,https://s3-media2.fl.yelpcdn.com/bphoto/zDWn2x837NWaYG82XjRBMA/o.jpg,False,163 E 33rd St,,,New York,US,"['163 E 33rd St', 'New York, NY 10016']",NY,10016,Le Parisien,+12128895489,$$,4.0,818,['restaurant_reservation'],https://www.yelp.com/biz/le-parisien-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,pates-et-traditions-brooklyn,"[{'alias': 'french', 'title': 'French'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.714913,-73.954743,(718) 302-1878,3497.276477018453,t-ODuKsmRseJoTEVKQzsdg,https://s3-media2.fl.yelpcdn.com/bphoto/OL9u2JZVjKWXxVoYA9jYVw/o.jpg,False,52 Havemeyer St,,,Brooklyn,US,"['52 Havemeyer St', 'Brooklyn, NY 11211']",NY,11211,Pates Et Traditions,+17183021878,$$,4.5,757,"['delivery', 'pickup']",https://www.yelp.com/biz/pates-et-traditions-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,côté-soleil-woodside,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'french', 'title': 'French'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.7460754,-73.913918,(347) 612-4333,8141.606722381727,bmBaNYCqL2i1iHiHDbIl_w,https://s3-media2.fl.yelpcdn.com/bphoto/wg2of50Nc4Dyb3yacMtqjQ/o.jpg,False,50-12 Skillman Ave,,,Woodside,US,"['50-12 Skillman Ave', 'Woodside, NY 11377']",NY,11377,Côté Soleil,+13476124333,$$,4.5,139,"['delivery', 'pickup']",https://www.yelp.com/biz/c%C3%B4t%C3%A9-soleil-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,dominique-bistro-new-york,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.733812,-74.000391,(646) 756-4145,3195.86588284895,arjGljFEF5MQ9W2Q_GGCgg,https://s3-media2.fl.yelpcdn.com/bphoto/UxIZG-L8k3fF4cu8Ult4Cg/o.jpg,False,14 Christopher St,,,New York,US,"['14 Christopher St', 'New York, NY 10014']",NY,10014,Dominique Bistro,+16467564145,$$,4.0,522,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/dominique-bistro-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,buvette-new-york,"[{'alias': 'french', 'title': 'French'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.732852,-74.004213,(212) 255-3590,3160.11825518806,xQ445GaWVN5Aa3sFX9OoIg,https://s3-media3.fl.yelpcdn.com/bphoto/hkrgfxvjBczxwpplZJel3w/o.jpg,False,42 Grove St,,,New York,US,"['42 Grove St', 'New York, NY 10014']",NY,10014,Buvette,+12122553590,$$,4.0,1410,[],https://www.yelp.com/biz/buvette-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,excuse-my-french-new-york,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'french', 'title': 'French'}]",40.71844,-73.98981,(212) 780-9600,1493.9997449212713,iexl39DYyy_76Xq3ExaJkQ,https://s3-media4.fl.yelpcdn.com/bphoto/wmaT0GMRL04lzzrgP1ALcw/o.jpg,False,96 Orchard St,,,New York,US,"['96 Orchard St', 'New York, NY 10002']",NY,10002,Excuse My French,+12127809600,$$,4.5,198,"['delivery', 'pickup']",https://www.yelp.com/biz/excuse-my-french-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,aperitif-bistro-bayside-bayside,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'catering', 'title': 'Caterers'}]",40.7655165,-73.7716246,(718) 215-6470,19932.829246015634,qWGFjZJ2wJeDzt1QH7t5Xg,https://s3-media1.fl.yelpcdn.com/bphoto/a1_9AM--RFf4dkbPsxXrLw/o.jpg,False,213-41 39th Ave,,,Bayside,US,"['213-41 39th Ave', 'Bayside, NY 11361']",NY,11361,Aperitif Bistro Bayside,+17182156470,$$,4.0,328,[],https://www.yelp.com/biz/aperitif-bistro-bayside-bayside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,pmf-pardon-my-french-new-york,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.72473,-73.98115,(212) 358-9683,2410.3910223493776,TGP5gbAgml0IDRLGCpFnCw,https://s3-media2.fl.yelpcdn.com/bphoto/GwrdZAY6My8Z5L-D28GLWg/o.jpg,False,103 Ave B,,,New York,US,"['103 Ave B', 'New York, NY 10009']",NY,10009,PMF Pardon My French,+12123589683,$$,4.0,654,['restaurant_reservation'],https://www.yelp.com/biz/pmf-pardon-my-french-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
