,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,hartleys-brooklyn,"[{u'alias': u'irish_pubs', u'title': u'Irish Pub'}]",40.6825984,-73.9613433,(347) 799-2877,3764.39378999,MTFcOGqRTrz0NoAul5zWRQ,https://s3-media2.fl.yelpcdn.com/bphoto/smHDCU8ZuF3D2R_bni8Lhg/o.jpg,False,14 Putnam Ave,,,Brooklyn,US,"[14 Putnam Ave, Brooklyn, NY 11238]",NY,11238,Hartley's,+13477992877,$$,5.0,47,[],https://www.yelp.com/biz/hartleys-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,tír-na-nóg-new-york-12,"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'irish_pubs', u'title': u'Irish Pub'}, {u'alias': u'venues', u'title': u'Venues & Event Spaces'}]",40.75585,-73.99214,(212) 760-0072,5619.37120964,Xq9uOJz0U1iugBqRoQt1hA,https://s3-media2.fl.yelpcdn.com/bphoto/yni4uxDlGj_ozExMfZaUjw/o.jpg,False,315 W 39th St,,,New York,US,"[315 W 39th St, New York, NY 10018]",NY,10018,Tír na Nóg,+12127600072,$$,4.0,315,[restaurant_reservation],https://www.yelp.com/biz/t%C3%ADr-na-n%C3%B3g-new-york-12?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,o-haras-restaurant-and-pub-new-york,"[{u'alias': u'irish_pubs', u'title': u'Irish Pub'}, {u'alias': u'sportsbars', u'title': u'Sports Bars'}, {u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",40.709347359,-74.0122557368,(212) 267-3032,1575.03963797,ZnhRUBos9FGQZrzbcPn6Vg,https://s3-media2.fl.yelpcdn.com/bphoto/nHPOfxtgtjaXPDWm6kPdIg/o.jpg,False,120 Cedar St,Ste 4,,New York,US,"[120 Cedar St, Ste 4, New York, NY 10006]",NY,10006,O'Hara's Restaurant and Pub,+12122673032,$$,4.0,302,[],https://www.yelp.com/biz/o-haras-restaurant-and-pub-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,passage-irish-bar-and-kitchen-astoria-2,"[{u'alias': u'irish', u'title': u'Irish'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.7638287,-73.9145416,(917) 832-6680,9354.53318257,0IJPYXIIDHBQEpkgEPMOcA,https://s3-media2.fl.yelpcdn.com/bphoto/P69dHLM9dPNcxdUKIb4_KQ/o.jpg,False,40-11 30th Ave,,,Astoria,US,"[40-11 30th Ave, Astoria, NY 11103]",NY,11103,Passage Irish Bar and Kitchen,+19178326680,$$,4.5,111,"[delivery, pickup]",https://www.yelp.com/biz/passage-irish-bar-and-kitchen-astoria-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,o-lunneys-new-york,"[{u'alias': u'irish', u'title': u'Irish'}, {u'alias': u'irish_pubs', u'title': u'Irish Pub'}]",40.75759,-73.98438,(212) 840-6688,5864.25361333,c8FID4VcTtDDONokhACvfQ,https://s3-media1.fl.yelpcdn.com/bphoto/5brS1FXG_dnk2vej_Toxdw/o.jpg,False,145 W 45th St,,,New York,US,"[145 W 45th St, New York, NY 10036]",NY,10036,O'Lunney's,+12128406688,$$,4.0,312,[],https://www.yelp.com/biz/o-lunneys-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,mollys-new-york,"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'irish', u'title': u'Irish'}, {u'alias': u'pubs', u'title': u'Pubs'}]",40.738285,-73.983297,(212) 889-3361,3767.40051338,kMxXLrASxsbmS-ZzAaBe-A,https://s3-media3.fl.yelpcdn.com/bphoto/GVnQLTiGAivr4ow4BsSqFQ/o.jpg,False,287 3rd Ave,,,New York,US,"[287 3rd Ave, New York, NY 10010]",NY,10010,Molly's,+12128893361,$$,4.0,471,[],https://www.yelp.com/biz/mollys-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,hudson-hound-new-york,"[{u'alias': u'irish_pubs', u'title': u'Irish Pub'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.73615,-74.00609,(646) 638-2900,3557.82529632,H3AnaDvXg_tXticwUGL7PA,https://s3-media1.fl.yelpcdn.com/bphoto/Z8s-t3201hDrNdrdq1Tqsw/o.jpg,False,575 Hudson St,,,New York,US,"[575 Hudson St, New York, NY 10014]",NY,10014,Hudson Hound,+16466382900,$$,4.5,76,"[delivery, pickup]",https://www.yelp.com/biz/hudson-hound-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,the-long-hall-irish-pub-and-grocery-new-york,"[{u'alias': u'irish_pubs', u'title': u'Irish Pub'}, {u'alias': u'pubs', u'title': u'Pubs'}, {u'alias': u'grocery', u'title': u'Grocery'}]",40.7473817899,-73.9822447083,(646) 455-0777,4772.41634817,yFB5JUiz-SPpnhWg2iCU9w,https://s3-media2.fl.yelpcdn.com/bphoto/Bt52TNY9N0tm2zrjUEBoCg/o.jpg,False,58 E 34th St,,,New York,US,"[58 E 34th St, New York, NY 10016]",NY,10016,The Long Hall Irish Pub & Grocery,+16464550777,$$,4.5,78,[pickup],https://www.yelp.com/biz/the-long-hall-irish-pub-and-grocery-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,mcmahons-public-house-brooklyn,"[{u'alias': u'sportsbars', u'title': u'Sports Bars'}, {u'alias': u'irish', u'title': u'Irish'}]",40.6816498,-73.9765623,(718) 230-4549,3038.97366922,HWTH6QwatW6lcYaIWgw4Kg,https://s3-media2.fl.yelpcdn.com/bphoto/gFEPD2DmONO60DvmO0RI3A/o.jpg,False,39 5th Ave,,,Brooklyn,US,"[39 5th Ave, Brooklyn, NY 11217]",NY,11217,McMahon's Public House,+17182304549,$$,4.0,139,[],https://www.yelp.com/biz/mcmahons-public-house-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,paddys-of-park-slope-brooklyn,"[{u'alias': u'sportsbars', u'title': u'Sports Bars'}, {u'alias': u'karaoke', u'title': u'Karaoke'}, {u'alias': u'irish_pubs', u'title': u'Irish Pub'}]",40.6666017,-73.9879217,(718) 369-0831,4352.44156084,eN3h8d2xFU5PeUA7dwlqnA,https://s3-media2.fl.yelpcdn.com/bphoto/Osuz4Lo52rHPUszEFK720w/o.jpg,False,273 13th St,,,Brooklyn,US,"[273 13th St, Brooklyn, NY 11215]",NY,11215,Paddy's of Park Slope,+17183690831,$,4.5,14,[],https://www.yelp.com/biz/paddys-of-park-slope-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
