,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,angelinas-ristorante-staten-island,"[{'alias': 'italian', 'title': 'Italian'}]",40.513649267710704,-74.2511400204325,(718) 227-2900,12264.089652423301,aJQuAEQ1PnWCTjHu9gNSeg,https://s3-media2.fl.yelpcdn.com/bphoto/gtuNCD6N4bfJcETCR_dXyg/o.jpg,False,399 Ellis St,,,Staten Island,US,"['399 Ellis St', 'Staten Island, NY 10307']",NY,10307.0,Angelina's Ristorante,17182272900.0,$$$$,3.5,150,[],https://www.yelp.com/biz/angelinas-ristorante-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,15-fox-place-jersey-city,"[{'alias': 'italian', 'title': 'Italian'}]",40.733709999999995,-74.07251,(201) 333-1476,17504.513260687683,AhqWTf8ObRg1ZcNRV_vzIQ,https://s3-media4.fl.yelpcdn.com/bphoto/wDIvWTGUrI_H78YYI0slRA/o.jpg,False,15 Fox Pl,,,Jersey City,US,"['15 Fox Pl', 'Jersey City, NJ 07306']",NJ,7306.0,15 Fox Place,12013331476.0,$$$$,4.5,89,[],https://www.yelp.com/biz/15-fox-place-jersey-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,babbo-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",40.732283,-73.999284,(212) 777-0303,20266.73106356732,-hUvO0C0A-pGZdiSKvjoFw,https://s3-media2.fl.yelpcdn.com/bphoto/TBAbo22beco-TAV3hMGYKA/o.jpg,False,110 Waverly Pl,,,New York,US,"['110 Waverly Pl', 'New York, NY 10011']",NY,10011.0,Babbo,12127770303.0,$$$$,4.0,2187,['restaurant_reservation'],https://www.yelp.com/biz/babbo-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,scalini-fedeli-new-york,"[{'alias': 'italian', 'title': 'Italian'}]",40.7173964385114,-74.00932775374591,(212) 528-0400,18433.771929962022,WYhRkUATHRyXZrE55MArbA,https://s3-media3.fl.yelpcdn.com/bphoto/KYmEH1iSBEgO4_VQeLcJhQ/o.jpg,False,165 Duane St,,,New York,US,"['165 Duane St', 'New York, NY 10013']",NY,10013.0,Scalini Fedeli,12125280400.0,$$$$,4.5,272,[],https://www.yelp.com/biz/scalini-fedeli-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,carbone-new-york,"[{'alias': 'italian', 'title': 'Italian'}]",40.728,-74.0001497,(212) 254-3000,19840.825531168943,7_hGsGEkHrjgAiYVjrCFnw,https://s3-media3.fl.yelpcdn.com/bphoto/F73R9T0G7_457TC6lpDGjA/o.jpg,False,181 Thompson St,,,New York,US,"['181 Thompson St', 'New York, NY 10012']",NY,10012.0,Carbone,12122543000.0,$$$$,4.0,684,['restaurant_reservation'],https://www.yelp.com/biz/carbone-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,il-mulino-new-york-downtown-new-york-2,"[{'alias': 'italian', 'title': 'Italian'}]",40.729807,-73.99915899999999,(212) 673-3783,20051.69657822705,DtnlLLvcqeEUIyZTypHnzw,https://s3-media1.fl.yelpcdn.com/bphoto/0D91GeSEd_PsQowNPHyOLg/o.jpg,False,86 W 3rd St,,,New York,US,"['86 W 3rd St', 'New York, NY 10012']",NY,10012.0,Il Mulino New York - Downtown,12126733783.0,$$$$,4.0,478,['restaurant_reservation'],https://www.yelp.com/biz/il-mulino-new-york-downtown-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,cipriani-downtown-new-york,"[{'alias': 'italian', 'title': 'Italian'}]",40.723665000000004,-74.00288,(212) 499-0599,19317.505830996586,o7ebhiCJTSsp43ynRDB1qA,https://s3-media2.fl.yelpcdn.com/bphoto/y9ndBOWMnoWjhOHFS2izyg/o.jpg,False,376 W Broadway,,,New York,US,"['376 W Broadway', 'New York, NY 10012']",NY,10012.0,Cipriani Downtown,12124990599.0,$$$$,3.5,228,[],https://www.yelp.com/biz/cipriani-downtown-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,valbella-new-york-3,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'steak', 'title': 'Steakhouses'}]",40.7409181,-74.0068885,(212) 645-7777,20690.475504888407,zyU01gN5mTEWsmd5FGzqDg,https://s3-media2.fl.yelpcdn.com/bphoto/4FeaU7UIwPPZBYtEIn6TMQ/o.jpg,False,421 W 13th St,,,New York,US,"['421 W 13th St', 'New York, NY 10014']",NY,10014.0,Valbella,12126457777.0,$$$$,4.0,195,[],https://www.yelp.com/biz/valbella-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,il-principe-new-york,"[{'alias': 'italian', 'title': 'Italian'}]",40.726368,-74.0088425,(212) 608-1211,19267.179246473333,4Z6DIdnvdTaXjn26L3-XbQ,https://s3-media4.fl.yelpcdn.com/bphoto/pmPFsJCka9o1t4XTOl6r9Q/o.jpg,False,525 Greenwich St,,,New York,US,"['525 Greenwich St', 'New York, NY 10013']",NY,10013.0,il Principe,12126081211.0,$$$$,3.5,30,[],https://www.yelp.com/biz/il-principe-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,cipriani-wall-street-new-york-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",40.706109999999995,-74.00921,(212) 699-4096,17448.036191108607,Ng092KqBbDX6FWUtpWghww,https://s3-media2.fl.yelpcdn.com/bphoto/waZPd6h8GIMw5ubr1IRsIw/o.jpg,False,55 Wall St,,,New York,US,"['55 Wall St', 'New York, NY 10005']",NY,10005.0,Cipriani Wall Street,12126994096.0,$$$$,3.5,166,"['delivery', 'pickup']",https://www.yelp.com/biz/cipriani-wall-street-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
