,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
1,2nd-ave-deli-new-york,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.74519,-73.97918,(212) 689-9000,4599.65074883,xiwnLiNhSlEN4CDcurqsLQ,https://s3-media4.fl.yelpcdn.com/bphoto/7jqogOAIDfbLfG4RrfGJQQ/o.jpg,False,162 E 33rd St,,,New York,US,"[162 E 33rd St, New York, NY 10016]",NY,10016,2nd Ave Deli,+12126899000,$$,4.0,1002,"[delivery, pickup]",https://www.yelp.com/biz/2nd-ave-deli-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,cheburechnaya-rego-park,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'russian', u'title': u'Russian'}, {u'alias': u'uzbek', u'title': u'Uzbek'}]",40.7275992342,-73.8640816882,(718) 897-9080,11247.28097,SYTBg4SzYuZxrxK3YDU2xg,https://s3-media2.fl.yelpcdn.com/bphoto/7xypufmWqu1ro6NxZVUNiw/o.jpg,False,9209 63rd Dr,Ste A,,Rego Park,US,"[9209 63rd Dr, Ste A, Rego Park, NY 11374]",NY,11374,Cheburechnaya,+17188979080,$$,4.0,216,[],https://www.yelp.com/biz/cheburechnaya-rego-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,liebmans-kosher-delicatessen-bronx,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.88548,-73.90951,(718) 548-4534,21249.3381537,Mvvv9yz7zc2ZDYcpKgvr0g,https://s3-media4.fl.yelpcdn.com/bphoto/aIDm52D93OGsEVsadl013g/o.jpg,False,552 W 235th St,,,Bronx,US,"[552 W 235th St, Bronx, NY 10463]",NY,10463,Liebman's Kosher Delicatessen,+17185484534,$$,4.0,218,"[delivery, pickup]",https://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,gottliebs-restaurant-brooklyn-14,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'delis', u'title': u'Delis'}]",40.7077128,-73.9611326,(718) 384-6612,2806.53634503,lNV-bBLb9iTFCmbeGakwGw,https://s3-media3.fl.yelpcdn.com/bphoto/cvRSi9xVNHfaL3xiSbCZ1g/o.jpg,False,352 Roebling St,,,Brooklyn,US,"[352 Roebling St, Brooklyn, NY 11211]",NY,11211,Gottlieb's Restaurant,+17183846612,$$,4.0,60,"[delivery, pickup]",https://www.yelp.com/biz/gottliebs-restaurant-brooklyn-14?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,bens-best-rego-park-2,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.7293762,-73.8613715,(718) 897-1700,11514.1654393,4iRIjGjdDgKZa88hEvuV2Q,https://s3-media1.fl.yelpcdn.com/bphoto/8SzMvSc33r1dumrBK_GQbA/o.jpg,False,9640 Queens Blvd,,,Rego Park,US,"[9640 Queens Blvd, Rego Park, NY 11374]",NY,11374,Bens Best,+17188971700,$$,4.0,364,"[delivery, pickup]",https://www.yelp.com/biz/bens-best-rego-park-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
14,davids-restaurant-brooklyn-7,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}]",40.6047112,-73.9694855,(718) 998-8600,11394.8758891,XLDfKlVPpFrUA5y6lmJTNQ,https://s3-media1.fl.yelpcdn.com/bphoto/Cnwg6m4ztzEh_gANGlIW4g/o.jpg,False,539 Kings Hwy,,,Brooklyn,US,"[539 Kings Hwy, Brooklyn, NY 11223]",NY,11223,David's Restaurant,+17189988600,$$,4.5,42,[],https://www.yelp.com/biz/davids-restaurant-brooklyn-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
15,rokhat-kosher-bakery-rego-park,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'bakeries', u'title': u'Bakeries'}]",40.725660715,-73.8593370653,(718) 897-4493,11594.5075911,Git12P32R-btWSYxj336zA,https://s3-media2.fl.yelpcdn.com/bphoto/l2890X2uxd2XtC4gVBb3zg/o.jpg,False,65-43 Austin St,,,Rego Park,US,"[65-43 Austin St, Rego Park, NY 11374]",NY,11374,Rokhat Kosher Bakery,+17188974493,$,3.5,13,[],https://www.yelp.com/biz/rokhat-kosher-bakery-rego-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
16,taste-of-samarkand-middle-village,"[{u'alias': u'uzbek', u'title': u'Uzbek'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.7266223,-73.870707,(718) 672-2121,10660.9528559,Itg3FiXNyf9NXKegy46Lwg,https://s3-media2.fl.yelpcdn.com/bphoto/hSynsSFAM3beqDstBVltkg/o.jpg,False,62-16 Woodhaven Blvd,,,Middle Village,US,"[62-16 Woodhaven Blvd, Middle Village, NY 11374]",NY,11374,Taste of Samarkand,+17186722121,$$,4.5,64,[],https://www.yelp.com/biz/taste-of-samarkand-middle-village?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
17,fine-and-schapiro-new-york,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.77776,-73.98035,(212) 877-2721,8127.10400057,BvlM5_jMd0iSwHly8iwffg,https://s3-media2.fl.yelpcdn.com/bphoto/00o2-pu1T_IMSzR4U5MX5A/o.jpg,False,138 W 72nd St,,,New York,US,"[138 W 72nd St, New York, NY 10023]",NY,10023,Fine & Schapiro,+12128772721,$$,3.5,131,"[delivery, pickup]",https://www.yelp.com/biz/fine-and-schapiro-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
20,sanders-bakery-brooklyn,"[{u'alias': u'bakeries', u'title': u'Bakeries'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.70323,-73.95699,(718) 387-7411,3162.863987,nUk29UWKpe01xvHKJlWadw,https://s3-media3.fl.yelpcdn.com/bphoto/mg-Gfw1OwJXLRK4ICOmjjg/o.jpg,False,159 Lee Ave,,,Brooklyn,US,"[159 Lee Ave, Brooklyn, NY 11211]",NY,11211,Sander's Bakery,+17183877411,$,4.0,10,[],https://www.yelp.com/biz/sanders-bakery-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
