,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,cafe-11-new-york-4,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}]",40.7052529,-74.0140703,(212) 425-2233,1667.22304036,igQ9CK71aQZyNXNbfNhVtQ,https://s3-media2.fl.yelpcdn.com/bphoto/OPUDR-7B0Qs4e9dU6JN2EQ/o.jpg,False,11 Broadway,,,New York,US,"[11 Broadway, New York, NY 10004]",NY,10004,Cafe 11,+12124252233,$$,4.5,29,[],https://www.yelp.com/biz/cafe-11-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,paprika-kosher-catering-and-restaurant-new-york,"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.74727,-73.9822,(212) 679-1100,4755.5355017,CJXVkLtlWmpCaHMRUII8XQ,https://s3-media2.fl.yelpcdn.com/bphoto/S8pw-BR1Vy-1nLzfESRSxw/o.jpg,False,56 E 34th St,,,New York,US,"[56 E 34th St, New York, NY 10016]",NY,10016,Paprika Kosher Catering & Restaurant,+12126791100,$$,4.0,44,"[delivery, pickup]",https://www.yelp.com/biz/paprika-kosher-catering-and-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,marani-rego-park-5,"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'georgian', u'title': u'Georgian'}]",40.731501959,-73.8597332958,(718) 569-0600,11704.6218555,A0GVSLdYCEIr-yLZnqhJkg,https://s3-media2.fl.yelpcdn.com/bphoto/3qcGCUMwChDWcDVTgJZzoA/o.jpg,False,9726 63rd Rd,,,Rego Park,US,"[9726 63rd Rd, Rego Park, NY 11374]",NY,11374,Marani,+17185690600,$$,4.5,171,"[delivery, pickup]",https://www.yelp.com/biz/marani-rego-park-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,alenbi-brooklyn,"[{u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.666413,-73.9506115,(347) 529-3739,5690.16856712,AdZ13ZEVD7t2h8PaEIbTbQ,https://s3-media2.fl.yelpcdn.com/bphoto/OKsID8ZNYFyxH2WLKrSMmg/o.jpg,False,887 Nostrand Ave,,,Brooklyn,US,"[887 Nostrand Ave, Brooklyn, NY 11225]",NY,11225,ALENbi,+13475293739,$$$$,4.5,16,[],https://www.yelp.com/biz/alenbi-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,nish-nush-new-york-5,"[{u'alias': u'vegetarian', u'title': u'Vegetarian'}, {u'alias': u'mideastern', u'title': u'Middle Eastern'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.709472,-74.007949,(212) 577-6474,1238.19031702,FvCslLyo0SlDKI52bEDekQ,https://s3-media2.fl.yelpcdn.com/bphoto/34Q-IAGR6jf8xHwqifD_rA/o.jpg,False,41 John St,,,New York,US,"[41 John St, New York, NY 10038]",NY,10038,Nish Nush,+12125776474,$$,4.5,181,"[delivery, pickup]",https://www.yelp.com/biz/nish-nush-new-york-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,bison-and-bourbon-brooklyn,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",40.6731779261,-73.9905330911,(718) 422-0801,3601.89520921,BAqvNvWs-DeCPZYh6ntBTw,https://s3-media1.fl.yelpcdn.com/bphoto/Chv1U7TuIccMp0NmFovwcw/o.jpg,False,191 7th St,,,Brooklyn,US,"[191 7th St, Brooklyn, NY 11215]",NY,11215,Bison & Bourbon,+17184220801,$$$$,3.0,86,[restaurant_reservation],https://www.yelp.com/biz/bison-and-bourbon-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,mocha-burger-new-york-5,"[{u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.72747,-73.999778,(212) 982-3800,2495.15847396,3cPE2B0xt0U7GdOZn9luLw,https://s3-media2.fl.yelpcdn.com/bphoto/lAhk2jA1fFa0HHKhyOGaQg/o.jpg,False,496 Laguardia Pl,,Street Level,New York,US,"[496 Laguardia Pl, Street Level, New York, NY 10012]",NY,10012,Mocha Burger,+12129823800,$$,3.0,112,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/mocha-burger-new-york-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,reserve-cut-new-york,"[{u'alias': u'steak', u'title': u'Steakhouses'}, {u'alias': u'kosher', u'title': u'Kosher'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.7059085,-74.011808,(212) 747-0300,1477.28102971,D9nQb14gqhCAOaUUvJz3-Q,https://s3-media1.fl.yelpcdn.com/bphoto/OaWapIQa7fFr9H8sUBs3xg/o.jpg,False,40 Broad St,Fl 2,,New York,US,"[40 Broad St, Fl 2, New York, NY 10004]",NY,10004,Reserve Cut,+12127470300,$$$$,4.0,202,[restaurant_reservation],https://www.yelp.com/biz/reserve-cut-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,mikes-bistro-new-york-2,"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.7594553,-73.9710257,(212) 799-3911,6317.57751206,4kzN5nhvOyHyJaeviWTpHQ,https://s3-media2.fl.yelpcdn.com/bphoto/Tl8ZnMcG83SQT49gHZG0yg/o.jpg,False,127 E 54th St,,,New York,US,"[127 E 54th St, New York, NY 10022]",NY,10022,Mike's Bistro,+12127993911,$$$$,4.0,75,[],https://www.yelp.com/biz/mikes-bistro-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,boru-boru-new-york,"[{u'alias': u'ramen', u'title': u'Ramen'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.7954,-73.969779,(917) 261-2472,10213.4759675,-ZMnUfTTjLEfUt4PbQGqgA,https://s3-media3.fl.yelpcdn.com/bphoto/H6Ap0dFCksCSaMxE-oOeFg/o.jpg,False,774 Amsterdam Ave,,,New York,US,"[774 Amsterdam Ave, New York, NY 10025]",NY,10025,Boru Boru,+19172612472,,4.0,15,[],https://www.yelp.com/biz/boru-boru-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,luannes-wild-ginger-brooklyn,"[{u'alias': u'vegan', u'title': u'Vegan'}, {u'alias': u'kosher', u'title': u'Kosher'}]",40.6896,-73.96982,(718) 638-8868,2721.08907792,pSAAr8srYYt4SUQP4r0Bhw,https://s3-media3.fl.yelpcdn.com/bphoto/7A0tZ2lNiyZ7j5z6Oow3rw/o.jpg,False,235 Dekalb Ave,,,Brooklyn,US,"[235 Dekalb Ave, Brooklyn, NY 11205]",NY,11205,Luanne's Wild Ginger,+17186388868,$$,4.5,36,"[delivery, pickup]",https://www.yelp.com/biz/luannes-wild-ginger-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
