,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,krolewskie-jadlo-ridgewood,"[{'alias': 'polish', 'title': 'Polish'}]",40.70837,-73.89764,(718) 366-6226,4568.543189903892,1t-ax1RmRNADmFQZX2tV5w,https://s3-media4.fl.yelpcdn.com/bphoto/Bjl9z4KzicLLlTiaGM1MtQ/o.jpg,False,66-21 Fresh Pond Rd,,,Ridgewood,US,"['66-21 Fresh Pond Rd', 'Ridgewood, NY 11385']",NY,11385,Krolewskie Jadlo,17183666226,$$,4.0,99,[],https://www.yelp.com/biz/krolewskie-jadlo-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,karczma-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}]",40.729977000000005,-73.955128,(718) 349-1744,8620.194144399795,a6SzfZ2F-uELmymusQVMBg,https://s3-media3.fl.yelpcdn.com/bphoto/Eq1HKex42BFN61jBgTbb0g/o.jpg,False,136 Greenpoint Ave,,,Brooklyn,US,"['136 Greenpoint Ave', 'Brooklyn, NY 11222']",NY,11222,Karczma,17183491744,$$,4.5,457,[],https://www.yelp.com/biz/karczma-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,krolewskie-jadlo-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}]",40.72532,-73.95153,(718) 383-8993,8343.701963394047,_iJChYU1yfsvqRv9e5Ic0A,https://s3-media3.fl.yelpcdn.com/bphoto/yPW9wVaYXXhZ-5ZZTADkOg/o.jpg,False,694 Manhattan Ave,,,Brooklyn,US,"['694 Manhattan Ave', 'Brooklyn, NY 11222']",NY,11222,Krolewskie Jadlo,17183838993,$$,4.0,364,"['delivery', 'pickup']",https://www.yelp.com/biz/krolewskie-jadlo-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,dziupla-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}]",40.7174732,-73.95815429999999,(718) 388-6194,9009.804654645735,K5j_HFzkS5QAgX7cgIO8Gg,https://s3-media3.fl.yelpcdn.com/bphoto/pXPx_5a1qbaHconmso6-rw/o.jpg,False,194 Bedford Ave,,,Brooklyn,US,"['194 Bedford Ave', 'Brooklyn, NY 11249']",NY,11249,Dziupla,17183886194,$$,4.0,162,"['delivery', 'pickup']",https://www.yelp.com/biz/dziupla-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,christinas-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}]",40.72911,-73.95392,(718) 383-4382,8511.966179946052,n8sDrOo5oOlhTS7eYkiZpA,https://s3-media1.fl.yelpcdn.com/bphoto/k6TWK9UPGdVHXMQay88kGA/o.jpg,False,853 Manhattan Ave,,,Brooklyn,US,"['853 Manhattan Ave', 'Brooklyn, NY 11222']",NY,11222,Christina's,17183834382,$$,3.5,117,[],https://www.yelp.com/biz/christinas-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,little-poland-new-york,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'polish', 'title': 'Polish'}]",40.731190000000005,-73.9855199,(212) 777-9728,11170.464016827693,SvNoFlsMTcBzDv9OirfGZw,https://s3-media1.fl.yelpcdn.com/bphoto/mmDq4LdEw2AZaZIas4nNLg/o.jpg,False,200 2nd Ave,,,New York,US,"['200 2nd Ave', 'New York, NY 10003']",NY,10003,Little Poland,12127779728,$$,4.0,237,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/little-poland-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,johnnys-cafe-maspeth,"[{'alias': 'polish', 'title': 'Polish'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",40.71605,-73.90124,(347) 402-9900,4425.036763990779,Gvf470mVe1uRvi_FzR_rUQ,https://s3-media3.fl.yelpcdn.com/bphoto/zfxL-FnWwpVQTxGDHhoxMA/o.jpg,False,6039 Fresh Pond Rd,,,Maspeth,US,"['6039 Fresh Pond Rd', 'Maspeth, NY 11378']",NY,11378,Johnny's Cafe,13474029900,$$,3.0,23,[],https://www.yelp.com/biz/johnnys-cafe-maspeth?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,klimat-lounge-new-york,"[{'alias': 'polish', 'title': 'Polish'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",40.727443695068395,-73.9862976074219,(917) 214-0589,11254.821625181612,JwaxLqrQtYEY9a8xcfKRaQ,https://s3-media3.fl.yelpcdn.com/bphoto/TgmvkHUYIhP5x6ZTl4vTEg/o.jpg,False,77 E 7th St,,,New York,US,"['77 E 7th St', 'New York, NY 10003']",NY,10003,Klimat Lounge,19172140589,$$,4.0,130,"['delivery', 'pickup']",https://www.yelp.com/biz/klimat-lounge-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,polonica-restaurant-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",40.62546,-74.02995,(718) 630-5805,19025.236453605412,KY9HMKk4kl6uFz_6fiG1Gg,https://s3-media1.fl.yelpcdn.com/bphoto/7kFC9XYyTk-0cHbdHL4iQA/o.jpg,False,8303 3rd Ave,,,Brooklyn,US,"['8303 3rd Ave', 'Brooklyn, NY 11209']",NY,11209,Polonica Restaurant,17186305805,$$,4.0,145,"['delivery', 'pickup']",https://www.yelp.com/biz/polonica-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,chriss-restaurant-brooklyn,"[{'alias': 'polish', 'title': 'Polish'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.60617,-74.00116,(347) 462-3755,18706.09948842205,TK1rbgBEPQWyxF4pu973oQ,https://s3-media1.fl.yelpcdn.com/bphoto/EApZ0PDpJl4N3OyhChOWhQ/o.jpg,False,1866 86th St,,,Brooklyn,US,"['1866 86th St', 'Brooklyn, NY 11214']",NY,11214,Chris's Restaurant,13474623755,$$,4.0,65,[],https://www.yelp.com/biz/chriss-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
