,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,mari-vanna-new-york-2,"[{'alias': 'russian', 'title': 'Russian'}]",40.73888,-73.98851,(212) 777-1955,3750.1063503896953,btLgjl8CEgW2wvB0ZI-Aqg,https://s3-media3.fl.yelpcdn.com/bphoto/Fp_3cLy4_9NXgia8MhyMFg/o.jpg,False,41 E 20th St,,,New York,US,"['41 E 20th St', 'New York, NY 10003']",NY,10003,Mari Vanna,+12127771955,$$$,4.0,531,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/mari-vanna-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,samovarchik-new-york-2,"[{'alias': 'russian', 'title': 'Russian'}]",40.72242,-73.99245,(646) 882-0333,1896.0547528441955,NlgsUqC15ErR_EiYXGRFXQ,https://s3-media3.fl.yelpcdn.com/bphoto/kw8W_nFIL88gejLk-dolOw/o.jpg,False,11 Stanton St,,,New York,US,"['11 Stanton St', 'New York, NY 10002']",NY,10002,Samovarchik,+16468820333,$$,4.5,23,[],https://www.yelp.com/biz/samovarchik-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,masha-and-the-bear-brooklyn,"[{'alias': 'russian', 'title': 'Russian'}]",40.711978,-73.942403,(718) 384-5000,4433.721955392367,4U6AEMuTx34o3i84G0Hc0w,https://s3-media4.fl.yelpcdn.com/bphoto/BfeYnjnc5p02ymTCmLn9Tw/o.jpg,False,771 Grand St,,,Brooklyn,US,"['771 Grand St', 'Brooklyn, NY 11211']",NY,11211,Masha and The Bear,+17183845000,$$,4.5,175,"['pickup', 'delivery']",https://www.yelp.com/biz/masha-and-the-bear-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,russian-samovar-restaurant-and-piano-bar-new-york-2,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'bars', 'title': 'Bars'}]",40.7632,-73.98469,(212) 757-0168,6468.13746056094,lSJD2Gcf9LjJqpLE7pUlWQ,https://s3-media1.fl.yelpcdn.com/bphoto/oFRHHIq88SiU5_qii9cmbQ/o.jpg,False,256 W 52nd St,,,New York,US,"['256 W 52nd St', 'New York, NY 10019']",NY,10019,Russian Samovar Restaurant & Piano Bar,+12127570168,$$,4.0,334,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/russian-samovar-restaurant-and-piano-bar-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,russian-vodka-room-new-york,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'russian', 'title': 'Russian'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",40.76349,-73.9848,(212) 307-5835,6503.7308715178715,wJ9VnRlrJJP5QnVohBDjoA,https://s3-media3.fl.yelpcdn.com/bphoto/EJsBbPAFi6TqMN7C-RUCPA/o.jpg,False,265 W 52nd St,,,New York,US,"['265 W 52nd St', 'New York, NY 10019']",NY,10019,Russian Vodka Room,+12123075835,$$,4.0,490,[],https://www.yelp.com/biz/russian-vodka-room-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,teremok-new-york-5,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",40.7484359741211,-73.9928436279297,(917) 472-7322,4781.948374627382,NJLAyyQU0aVOOJWUPgwLRQ,https://s3-media3.fl.yelpcdn.com/bphoto/zxpfbnenCkfhjZe3sdjRKA/o.jpg,False,358 7th Ave,,,New York,US,"['358 7th Ave', 'New York, NY 10001']",NY,10001,Teremok,+19174727322,$,4.0,116,"['pickup', 'delivery']",https://www.yelp.com/biz/teremok-new-york-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,skovorodka-brooklyn,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'ukrainian', 'title': 'Ukrainian'}]",40.578002,-73.961013,(718) 615-3096,14446.508891166537,Npf8xdD81WnSS7KDWxjGYA,https://s3-media2.fl.yelpcdn.com/bphoto/2jl4kPqNrN-pA1948II3aA/o.jpg,False,615 Brighton Beach Ave,,,Brooklyn,US,"['615 Brighton Beach Ave', 'Brooklyn, NY 11235']",NY,11235,Skovorodka,+17186153096,$$,4.0,166,"['delivery', 'pickup']",https://www.yelp.com/biz/skovorodka-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,cheburechnaya-rego-park,"[{'alias': 'kosher', 'title': 'Kosher'}, {'alias': 'russian', 'title': 'Russian'}, {'alias': 'uzbek', 'title': 'Uzbek'}]",40.7275992341691,-73.8640816882253,(718) 897-9080,11247.280969990064,SYTBg4SzYuZxrxK3YDU2xg,https://s3-media2.fl.yelpcdn.com/bphoto/7xypufmWqu1ro6NxZVUNiw/o.jpg,False,9209 63rd Dr,Ste A,,Rego Park,US,"['9209 63rd Dr', 'Ste A', 'Rego Park, NY 11374']",NY,11374,Cheburechnaya,+17188979080,$$,4.0,216,[],https://www.yelp.com/biz/cheburechnaya-rego-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,belarussian-xata-brooklyn,"[{'alias': 'russian', 'title': 'Russian'}]",40.58649,-73.95192,(718) 332-4292,13702.89719140198,YAOG0dK0r9T-E1CrZ7QxYg,https://s3-media1.fl.yelpcdn.com/bphoto/xz8TDdCTXkD5SrjWEHBW-w/o.jpg,False,1655 Sheepshead Bay Rd,,,Brooklyn,US,"['1655 Sheepshead Bay Rd', 'Brooklyn, NY 11235']",NY,11235,Belarussian Xata,+17183324292,$$,4.5,60,[],https://www.yelp.com/biz/belarussian-xata-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,svetas-house-rego-park,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'modern_european', 'title': 'Modern European'}]",40.7318974,-73.8674434,(718) 899-1405,11092.31465007079,7l5AYCSQ3v2AeIbQ5uED9A,https://s3-media2.fl.yelpcdn.com/bphoto/Gz_zM4Pobq8ClXlPcfcHHg/o.jpg,False,92-60 Queens Blvd,,,Rego Park,US,"['92-60 Queens Blvd', 'Rego Park, NY 11374']",NY,11374,Sveta's House,+17188991405,$$,4.5,33,"['delivery', 'pickup']",https://www.yelp.com/biz/svetas-house-rego-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
