PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev
3651000,36005000100,3651000-36005000100,9.9,27.8,35.4
3651000,36005000200,3651000-36005000200,12.7,33.8,29.9
3651000,36005000400,3651000-36005000400,11.2,31.4,29.4
3651000,36005001600,3651000-36005001600,17.0,37.8,34.5
3651000,36005001900,3651000-36005001900,11.4,30.8,33.0
3651000,36005002000,3651000-36005002000,18.1,38.1,37.5
3651000,36005002300,3651000-36005002300,21.0,41.2,39.4
3651000,36005002500,3651000-36005002500,15.4,36.1,35.1
3651000,36005002701,3651000-36005002701,16.4,36.4,36.9
3651000,36005002702,3651000-36005002702,15.9,36.2,37.2
3651000,36005002800,3651000-36005002800,14.1,33.8,31.9
3651000,36005003100,3651000-36005003100,12.3,31.9,33.0
3651000,36005003300,3651000-36005003300,16.8,37.0,37.3
3651000,36005003500,3651000-36005003500,15.4,35.9,35.5
3651000,36005003700,3651000-36005003700,16.9,37.0,37.9
3651000,36005003800,3651000-36005003800,13.6,34.0,32.2
3651000,36005003900,3651000-36005003900,14.6,35.5,33.7
3651000,36005004001,3651000-36005004001,13.9,37.0,26.2
3651000,36005004100,3651000-36005004100,18.3,38.8,38.0
3651000,36005004200,3651000-36005004200,18.2,38.2,36.7
3651000,36005004300,3651000-36005004300,17.0,37.4,36.9
3651000,36005004400,3651000-36005004400,18.5,39.2,35.8
3651000,36005004600,3651000-36005004600,16.1,36.5,33.9
3651000,36005004800,3651000-36005004800,14.4,35.0,34.1
3651000,36005005001,3651000-36005005001,14.2,34.2,34.4
3651000,36005005002,3651000-36005005002,14.6,34.8,35.6
3651000,36005005100,3651000-36005005100,18.2,38.2,37.8
3651000,36005005200,3651000-36005005200,17.2,37.5,37.0
3651000,36005005300,3651000-36005005300,15.8,34.4,38.3
3651000,36005005400,3651000-36005005400,14.0,34.1,34.1
3651000,36005005600,3651000-36005005600,17.6,38.7,35.2
3651000,36005005902,3651000-36005005902,18.0,38.6,36.1
3651000,36005006000,3651000-36005006000,14.0,34.8,32.6
3651000,36005006100,3651000-36005006100,16.6,37.1,30.4
3651000,36005006200,3651000-36005006200,17.1,37.7,35.4
3651000,36005006300,3651000-36005006300,13.2,33.9,30.8
3651000,36005006400,3651000-36005006400,16.3,36.6,34.3
3651000,36005006500,3651000-36005006500,14.8,34.8,35.7
3651000,36005006700,3651000-36005006700,17.8,38.2,38.0
3651000,36005006800,3651000-36005006800,13.8,34.1,31.8
3651000,36005006900,3651000-36005006900,15.2,34.8,35.8
3651000,36005007000,3651000-36005007000,14.1,35.0,32.0
3651000,36005007100,3651000-36005007100,13.7,34.0,32.0
3651000,36005007200,3651000-36005007200,13.5,35.4,27.5
3651000,36005007300,3651000-36005007300,17.1,37.4,37.5
3651000,36005007400,3651000-36005007400,14.9,35.6,31.5
3651000,36005007500,3651000-36005007500,16.6,36.8,36.0
3651000,36005007600,3651000-36005007600,14.6,35.5,32.8
3651000,36005007700,3651000-36005007700,14.0,34.0,34.8
3651000,36005007800,3651000-36005007800,13.7,35.1,31.3
3651000,36005007900,3651000-36005007900,16.3,36.9,35.6
3651000,36005008300,3651000-36005008300,15.2,35.8,35.3
3651000,36005008400,3651000-36005008400,11.2,31.4,27.9
3651000,36005008500,3651000-36005008500,15.0,35.4,34.6
3651000,36005008600,3651000-36005008600,17.0,38.1,34.3
3651000,36005008700,3651000-36005008700,14.6,35.3,33.3
3651000,36005008900,3651000-36005008900,17.5,38.9,35.0
3651000,36005009000,3651000-36005009000,15.2,35.8,33.8
3651000,36005009200,3651000-36005009200,12.5,34.1,28.7
3651000,36005009300,3651000-36005009300,13.5,33.1,35.7
3651000,36005009600,3651000-36005009600,13.8,36.0,28.0
3651000,36005009800,3651000-36005009800,13.3,34.4,30.4
3651000,36005011000,3651000-36005011000,6.9,24.7,24.8
3651000,36005011502,3651000-36005011502,14.2,33.9,35.1
3651000,36005011700,3651000-36005011700,14.6,34.4,34.5
3651000,36005011800,3651000-36005011800,6.8,30.4,20.9
3651000,36005011900,3651000-36005011900,16.7,37.2,36.6
3651000,36005012101,3651000-36005012101,15.5,35.3,36.7
3651000,36005012102,3651000-36005012102,16.4,36.6,36.9
3651000,36005012300,3651000-36005012300,14.4,34.4,34.2
3651000,36005012500,3651000-36005012500,14.7,34.5,35.4
3651000,36005012701,3651000-36005012701,18.1,38.7,36.7
3651000,36005012901,3651000-36005012901,17.1,37.0,37.5
3651000,36005013000,3651000-36005013000,10.3,35.5,24.6
3651000,36005013100,3651000-36005013100,14.0,33.5,35.0
3651000,36005013200,3651000-36005013200,9.0,32.6,24.1
3651000,36005013300,3651000-36005013300,16.1,36.6,34.6
3651000,36005013500,3651000-36005013500,16.0,35.6,36.2
3651000,36005013800,3651000-36005013800,9.0,34.7,24.1
3651000,36005014100,3651000-36005014100,13.3,32.9,33.9
3651000,36005014300,3651000-36005014300,24.4,42.8,43.9
3651000,36005014400,3651000-36005014400,17.4,38.1,35.6
3651000,36005014500,3651000-36005014500,18.8,37.6,40.7
3651000,36005014701,3651000-36005014701,18.4,37.5,40.0
3651000,36005014702,3651000-36005014702,19.0,38.6,39.8
3651000,36005014900,3651000-36005014900,17.0,36.9,37.5
3651000,36005015100,3651000-36005015100,12.9,31.8,34.3
3651000,36005015200,3651000-36005015200,10.2,34.4,26.0
3651000,36005015300,3651000-36005015300,16.2,35.2,37.1
3651000,36005015500,3651000-36005015500,18.4,38.9,37.2
3651000,36005015700,3651000-36005015700,13.3,33.0,34.1
3651000,36005015800,3651000-36005015800,9.0,32.8,24.6
3651000,36005015900,3651000-36005015900,18.4,39.6,36.1
3651000,36005016000,3651000-36005016000,8.8,34.7,23.1
3651000,36005016100,3651000-36005016100,17.3,37.7,36.6
3651000,36005016200,3651000-36005016200,12.9,39.3,26.0
3651000,36005016400,3651000-36005016400,9.9,35.8,24.9
3651000,36005016500,3651000-36005016500,12.6,31.2,34.9
3651000,36005016600,3651000-36005016600,9.8,34.1,24.9
3651000,36005016700,3651000-36005016700,13.7,31.9,37.0
3651000,36005016900,3651000-36005016900,13.4,31.9,35.6
3651000,36005017300,3651000-36005017300,18.4,38.4,37.5
3651000,36005017500,3651000-36005017500,16.5,36.4,36.3
3651000,36005017701,3651000-36005017701,17.8,37.5,36.9
3651000,36005017702,3651000-36005017702,16.7,36.1,37.4
3651000,36005017901,3651000-36005017901,15.3,35.3,35.8
3651000,36005017902,3651000-36005017902,15.1,34.7,37.2
3651000,36005018101,3651000-36005018101,13.4,32.4,34.9
3651000,36005018102,3651000-36005018102,14.4,34.0,33.7
3651000,36005018301,3651000-36005018301,17.4,38.4,32.9
3651000,36005018302,3651000-36005018302,15.0,34.0,36.8
3651000,36005018400,3651000-36005018400,9.3,34.6,24.5
3651000,36005018500,3651000-36005018500,13.3,31.9,36.2
3651000,36005018900,3651000-36005018900,15.8,35.4,37.2
3651000,36005019300,3651000-36005019300,16.8,36.4,37.4
3651000,36005019400,3651000-36005019400,11.3,34.2,29.2
3651000,36005019500,3651000-36005019500,15.2,35.0,35.5
3651000,36005019700,3651000-36005019700,14.3,34.4,34.4
3651000,36005019900,3651000-36005019900,14.8,34.3,36.2
3651000,36005020000,3651000-36005020000,12.0,33.9,26.4
3651000,36005020100,3651000-36005020100,14.7,34.2,35.8
3651000,36005020200,3651000-36005020200,11.7,33.7,28.6
3651000,36005020400,3651000-36005020400,10.0,31.4,26.6
3651000,36005020501,3651000-36005020501,16.1,35.8,36.6
3651000,36005020502,3651000-36005020502,19.2,39.6,36.1
3651000,36005020601,3651000-36005020601,12.4,34.8,25.8
3651000,36005020900,3651000-36005020900,13.9,33.8,34.0
3651000,36005021001,3651000-36005021001,12.8,32.7,31.3
3651000,36005021002,3651000-36005021002,13.0,33.0,30.9
3651000,36005021100,3651000-36005021100,15.3,34.5,36.8
3651000,36005021200,3651000-36005021200,12.1,32.5,28.2
3651000,36005021301,3651000-36005021301,15.5,35.9,35.8
3651000,36005021302,3651000-36005021302,15.7,35.4,35.9
3651000,36005021501,3651000-36005021501,13.6,33.2,34.3
3651000,36005021502,3651000-36005021502,14.4,33.9,36.2
3651000,36005021601,3651000-36005021601,14.4,35.0,34.7
3651000,36005021602,3651000-36005021602,13.8,33.9,31.3
3651000,36005021700,3651000-36005021700,17.2,36.3,39.4
3651000,36005021800,3651000-36005021800,13.6,33.8,33.7
3651000,36005021900,3651000-36005021900,13.8,33.9,33.7
3651000,36005022000,3651000-36005022000,13.3,33.3,35.0
3651000,36005022101,3651000-36005022101,13.7,33.3,35.4
3651000,36005022102,3651000-36005022102,15.8,36.1,37.0
3651000,36005022200,3651000-36005022200,12.0,33.2,29.0
3651000,36005022300,3651000-36005022300,15.8,36.4,35.4
3651000,36005022401,3651000-36005022401,11.8,33.8,29.4
3651000,36005022403,3651000-36005022403,12.0,33.9,30.1
3651000,36005022404,3651000-36005022404,10.1,31.9,27.5
3651000,36005022500,3651000-36005022500,14.7,34.4,35.8
3651000,36005022701,3651000-36005022701,13.5,32.9,34.3
3651000,36005022702,3651000-36005022702,13.5,33.8,32.8
3651000,36005022703,3651000-36005022703,11.1,31.2,29.2
3651000,36005022800,3651000-36005022800,10.4,32.3,27.1
3651000,36005022901,3651000-36005022901,13.8,33.8,33.3
3651000,36005022902,3651000-36005022902,13.7,33.3,34.5
3651000,36005023000,3651000-36005023000,11.8,33.5,29.4
3651000,36005023100,3651000-36005023100,16.9,36.4,39.3
3651000,36005023200,3651000-36005023200,11.2,34.0,28.0
3651000,36005023301,3651000-36005023301,16.8,36.6,37.7
3651000,36005023302,3651000-36005023302,15.7,35.8,37.0
3651000,36005023501,3651000-36005023501,14.0,34.2,34.3
3651000,36005023502,3651000-36005023502,18.9,40.2,34.7
3651000,36005023600,3651000-36005023600,13.4,35.5,31.1
3651000,36005023702,3651000-36005023702,12.4,32.8,32.4
3651000,36005023703,3651000-36005023703,13.7,33.6,34.9
3651000,36005023704,3651000-36005023704,14.7,34.2,36.4
3651000,36005023800,3651000-36005023800,10.7,32.5,29.1
3651000,36005023900,3651000-36005023900,13.2,32.9,34.5
3651000,36005024000,3651000-36005024000,13.0,33.5,32.6
3651000,36005024100,3651000-36005024100,14.7,34.4,36.1
3651000,36005024300,3651000-36005024300,16.8,36.7,37.9
3651000,36005024400,3651000-36005024400,9.0,33.6,23.4
3651000,36005024501,3651000-36005024501,15.7,36.0,35.9
3651000,36005024502,3651000-36005024502,15.6,35.2,36.8
3651000,36005024600,3651000-36005024600,8.7,33.1,21.8
3651000,36005024700,3651000-36005024700,14.0,32.9,35.3
3651000,36005024800,3651000-36005024800,10.5,35.8,21.8
3651000,36005025000,3651000-36005025000,9.9,36.8,22.6
3651000,36005025100,3651000-36005025100,13.8,33.8,33.2
3651000,36005025200,3651000-36005025200,10.2,35.5,24.9
