,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
0,kXnwXZ5KOQmprxNrmXYuxg,Puerto Viejo,puerto-viejo-brooklyn,Dominican,"[{'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.96214000000001 40.67885),-73.96214,40.67885,"['564 Grand Ave', 'Brooklyn, NY 11238']",Brooklyn,NY,11238.0,2.0,4.0,363,0,1,1,0,hispanic
1,evQ9dNp7Fa3OFPwWXnojrQ,Lali Restaurant,lali-restaurant-new-york,Dominican,"[{'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.99391899999999 40.76128),-73.99391899999999,40.76128,"['630 10th Ave', 'New York, NY 10036']",New York,NY,10036.0,1.0,4.5,147,0,0,0,0,hispanic
2,BEnhDZrulF_-2Fl-nleWag,La Cabana,la-cabana-corona-3,Dominican,"[{'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.86261999999999 40.7503),-73.86261999999999,40.7503,"['39-17 103rd St', 'Corona, NY 11368']",Corona,NY,11368.0,1.0,4.5,133,0,0,0,0,hispanic
3,154ILTDY2x4liySxKmO4cw,Zoralie Restaurant,zoralie-restaurant-new-york,Dominican,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",POINT (-73.9902253076434 40.7649401427866),-73.9902253076434,40.7649401427866,"['449 W 51st St', 'New York, NY 10019']",New York,NY,10019.0,1.0,4.5,184,0,1,1,0,hispanic
4,U1rA6SLeS_jMwqm1Vo0yaQ,El Gran Castillo De Jagua,el-gran-castillo-de-jagua-brooklyn,Dominican,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.971981 40.676993),-73.971981,40.676992999999996,"['355 Flatbush Ave', 'Brooklyn, NY 11238']",Brooklyn,NY,11238.0,1.0,4.0,207,0,0,0,0,hispanic
5,31XD1NbLOoZ-cclsfdf97Q,El Nuevo Cibao,el-nuevo-cibao-brooklyn-3,Dominican,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.99121 40.68584),-73.99121,40.68584,"['172 Smith St', 'Brooklyn, NY 11201']",Brooklyn,NY,11201.0,2.0,4.0,143,0,1,1,0,hispanic
6,hw8ziubXsFocun6KR04VVg,Malecon Restaurant,malecon-restaurant-new-york-2,Dominican,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.938827 40.846511),-73.938827,40.846511,"['4141 Broadway', 'New York, NY 10033']",New York,NY,10033.0,2.0,4.0,602,0,1,1,0,hispanic
7,3hCi3e-Ea62tdSdcdioR1g,El Rinconcito,el-rinconcito-new-york,Dominican,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.977 40.72553),-73.977,40.72553,"['408 E 10th St', 'New York, NY 10009']",New York,NY,10009.0,1.0,4.5,49,0,0,0,0,hispanic
8,oRoXd9qWF0muVu_ht6yr-g,El Castillo De Jagua,el-castillo-de-jagua-brooklyn-3,Dominican,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.95992003381251 40.6567179534208),-73.95992003381251,40.656717953420795,"['679 Flatbush Ave', 'Brooklyn, NY 11225']",Brooklyn,NY,11225.0,1.0,4.0,57,0,0,0,0,hispanic
9,4CObV3XU8VQ6nXeVS4vO0A,Margon,margon-new-york,Dominican,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.98354291915891 40.7580177305906),-73.98354291915891,40.7580177305906,"['136 W 46th St', 'New York, NY 10036']",New York,NY,10036.0,1.0,4.0,639,0,1,1,0,hispanic
10,Pn_KLz8cue1P0AWQgFw1Zg,Gena's Grill,genas-grill-new-york,Dominican,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",POINT (-73.982955 40.730327),-73.982955,40.730327,"['210 1st Ave', 'New York, NY 10009']",New York,NY,10009.0,1.0,4.0,145,0,0,0,0,hispanic
11,P4TeoFeySfz_s8h0xNzEvA,Exquisito,exquisito-brooklyn-2,Dominican,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",POINT (-73.91244374215159 40.6992332158417),-73.9124437421516,40.6992332158417,"['1542 Gates Ave', 'Brooklyn, NY 11237']",Brooklyn,NY,11237.0,1.0,4.0,12,0,1,1,0,hispanic
