,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,bogota-latin-bistro-brooklyn,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'colombian', 'title': 'Colombian'}]",40.678165,-73.978976,(718) 230-3805,3296.8358139717166,96svxj2NIOrba2fBMZAqOQ,https://s3-media3.fl.yelpcdn.com/bphoto/FgXUCxKbJiHYEWvNvhhZsA/o.jpg,False,141 5th Ave,,,Brooklyn,US,"['141 5th Ave', 'Brooklyn, NY 11217']",NY,11217,Bogota Latin Bistro,+17182303805,$$,4.0,1884,"['delivery', 'pickup']",https://www.yelp.com/biz/bogota-latin-bistro-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,colombia-in-park-slope-brooklyn,"[{'alias': 'colombian', 'title': 'Colombian'}]",40.671313,-73.984893,(718) 369-2020,3877.791934805869,JpUmsVDjA0zjygYcoskq2Q,https://s3-media4.fl.yelpcdn.com/bphoto/En8te_NvVwb56Z_kb1Pkrg/o.jpg,False,376 5th Ave,,,Brooklyn,US,"['376 5th Ave', 'Brooklyn, NY 11215']",NY,11215,Colombia In Park Slope,+17183692020,$$,4.0,299,"['delivery', 'pickup']",https://www.yelp.com/biz/colombia-in-park-slope-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,mis-tierras-colombianas-woodside,"[{'alias': 'colombian', 'title': 'Colombian'}]",40.7445602,-73.9102936,(718) 672-7272,8308.658480596148,3TEfUtiwfTNfjJreZzOFQQ,https://s3-media2.fl.yelpcdn.com/bphoto/SKOhi5j1f0w7YXucWbHQYw/o.jpg,False,54-08 Roosevelt Ave,,,Woodside,US,"['54-08 Roosevelt Ave', 'Woodside, NY 11377']",NY,11377,Mis Tierras Colombianas,+17186727272,$$,4.0,52,"['delivery', 'pickup']",https://www.yelp.com/biz/mis-tierras-colombianas-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,la-masa-bronx-2,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'empanadas', 'title': 'Empanadas'}]",40.8480737080242,-73.8560921276473,(718) 822-8400,19670.941972065106,By2Zl1imtu0SpA4IBziN1g,https://s3-media2.fl.yelpcdn.com/bphoto/u3DdTIBy91nzWA4KdVanvg/o.jpg,False,1000 Morris Park Ave,,,Bronx,US,"['1000 Morris Park Ave', 'Bronx, NY 10462']",NY,10462,La Masa,+17188228400,$$,4.0,314,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/la-masa-bronx-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,dulce-vida-latin-bistro-new-york-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'colombian', 'title': 'Colombian'}]",40.77704,-73.95721,(212) 535-2424,8565.835689709358,AC6vUyOGt8WliqswigZlzQ,https://s3-media3.fl.yelpcdn.com/bphoto/MupyB92PtX3g_ZUftals2Q/o.jpg,False,1219 Lexington Ave,,,New York,US,"['1219 Lexington Ave', 'New York, NY 10028']",NY,10028,Dulce Vida Latin Bistro,+12125352424,$$,3.5,222,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/dulce-vida-latin-bistro-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,empanada-mama-l-e-s-new-york,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'empanadas', 'title': 'Empanadas'}]",40.7187563142312,-73.990894515892,(212) 673-0300,1507.6289320306546,Uut2fBy53XdIgx1rLWdQeg,https://s3-media1.fl.yelpcdn.com/bphoto/hahKxQklqS8YcllUsA9LLw/o.jpg,False,95 Allen St,,,New York,US,"['95 Allen St', 'New York, NY 10002']",NY,10002,Empanada Mama L.E.S,+12126730300,$,3.5,453,"['delivery', 'pickup']",https://www.yelp.com/biz/empanada-mama-l-e-s-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,los-arrieros-restaurant-jackson-heights,"[{'alias': 'colombian', 'title': 'Colombian'}]",40.7470692,-73.8894232,(718) 898-3359,9975.812349127706,1N8TkUwsq__Y55DtuJyWMg,https://s3-media3.fl.yelpcdn.com/bphoto/FbKDSmO3QN3PED50Szuo3g/o.jpg,False,7602 Roosevelt Ave,,,Jackson Heights,US,"['7602 Roosevelt Ave', 'Jackson Heights, NY 11372']",NY,11372,Los Arrieros Restaurant,+17188983359,$$,4.5,41,[],https://www.yelp.com/biz/los-arrieros-restaurant-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,j-and-c-delicias-jackson-heights,"[{'alias': 'colombian', 'title': 'Colombian'}]",40.7477198441491,-73.886788964046,(718) 803-0284,10206.056107731094,mOUsnTTJQb8ByBxIo51CeQ,https://s3-media2.fl.yelpcdn.com/bphoto/_YpJipcKHn_wt_-v68WgGA/o.jpg,False,37-61 79th St,,,Jackson Heights,US,"['37-61 79th St', 'Jackson Heights, NY 11372']",NY,11372,J&C Delicias,+17188030284,$$,4.5,23,"['delivery', 'pickup']",https://www.yelp.com/biz/j-and-c-delicias-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,la-boina-roja-steak-house-jackson-heights,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'colombian', 'title': 'Colombian'}]",40.7494411,-73.8858457,(718) 424-6711,10395.265509007195,8knc30wyUEQzwdqG0C8m4Q,https://s3-media2.fl.yelpcdn.com/bphoto/HhRfggwir-3T_lUYua1GzQ/o.jpg,False,8022 37th Ave,,,Jackson Heights,US,"['8022 37th Ave', 'Jackson Heights, NY 11372']",NY,11372,La Boina Roja Steak House,+17184246711,$$,4.0,145,['delivery'],https://www.yelp.com/biz/la-boina-roja-steak-house-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,el-gustazo-flushing,"[{'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'mexican', 'title': 'Mexican'}]",40.7540265349067,-73.8326920290833,(718) 661-1080,14649.380194572672,v9v72t3Q37HaaFPNu7_vxA,https://s3-media3.fl.yelpcdn.com/bphoto/mn8Eh1uc33i77SOU9EHI8g/o.jpg,False,4219 College Point Blvd,,,Flushing,US,"['4219 College Point Blvd', 'Flushing, NY 11355']",NY,11355,El Gustazo,+17186611080,$,4.5,43,[],https://www.yelp.com/biz/el-gustazo-flushing?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
