,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,cafe-habana-new-york-4,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'mexican', 'title': 'Mexican'}]",40.722998,-73.994171,(212) 625-2001,1951.844634788307,NOh24SMS6k4pzNv8Ds7KDg,https://s3-media4.fl.yelpcdn.com/bphoto/q3UijyLKWvRCr3OuZHvb8Q/o.jpg,False,17 Prince St,,,New York,US,"['17 Prince St', 'New York, NY 10012']",NY,10012,Cafe Habana,+12126252001,$$,4.0,2995,"['delivery', 'pickup']",https://www.yelp.com/biz/cafe-habana-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,the-cuban-restaurant-and-bar-hoboken-2,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'latin', 'title': 'Latin American'}]",40.74099,-74.029457,(201) 795-9899,4950.449189257003,7zjeUx9aWRGpJmiOuk45zw,https://s3-media2.fl.yelpcdn.com/bphoto/QhT_SyzmRHEXyByn-NXlsw/o.jpg,False,333 Washington St,,,Hoboken,US,"['333 Washington St', 'Hoboken, NJ 07030']",NJ,07030,The Cuban Restaurant and Bar,+12017959899,$$$,4.0,835,['restaurant_reservation'],https://www.yelp.com/biz/the-cuban-restaurant-and-bar-hoboken-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,cuba-restaurant-and-rum-bar-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}]",40.729084,-73.998832,(212) 420-7878,2657.226177902552,UKy0nNjMkOBEU3dOCH831w,https://s3-media2.fl.yelpcdn.com/bphoto/gR2Ht2g1SVYT9QEuDeC35w/o.jpg,False,222 Thompson St,,,New York,US,"['222 Thompson St', 'New York, NY 10012']",NY,10012,Cuba Restaurant and Rum Bar,+12124207878,$$,4.0,1349,"['delivery', 'pickup']",https://www.yelp.com/biz/cuba-restaurant-and-rum-bar-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,rincon-criollo-corona,"[{'alias': 'cuban', 'title': 'Cuban'}]",40.7489644,-73.8690814,(718) 639-8158,11611.335767326253,zekbMn7KWtzxTFLtfEqb1w,https://s3-media3.fl.yelpcdn.com/bphoto/pjhX_v9p3jTQPkaFFE-hPw/o.jpg,False,40-09 Junction Blvd,,,Corona,US,"['40-09 Junction Blvd', 'Corona, NY 11368']",NY,11368,Rincon Criollo,+17186398158,$$,4.5,683,"['delivery', 'pickup']",https://www.yelp.com/biz/rincon-criollo-corona?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,coppelia-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}]",40.73897,-73.99995,(212) 858-5001,3758.6120641658954,vgg1dvDP-9tFWSacN4q0nA,https://s3-media1.fl.yelpcdn.com/bphoto/aUUREfl7TfEXqa4EnPiVSA/o.jpg,False,207 W 14th St,,,New York,US,"['207 W 14th St', 'New York, NY 10011']",NY,10011,Coppelia,+12128585001,$$,4.0,1058,"['delivery', 'pickup']",https://www.yelp.com/biz/coppelia-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,havana-social-williamsburg-brooklyn,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'latin', 'title': 'Latin American'}]",40.71609,-73.96286,(917) 909-1252,2910.256848585915,gtV99Z-GbSrKvblxx5RAHA,https://s3-media2.fl.yelpcdn.com/bphoto/aOnfrDB0RmARgfWqlxXMsQ/o.jpg,False,128 Metropolitan Ave,,,Brooklyn,US,"['128 Metropolitan Ave', 'Brooklyn, NY 11211']",NY,11211,Havana Social - Williamsburg,+19179091252,$$$,4.0,45,['restaurant_reservation'],https://www.yelp.com/biz/havana-social-williamsburg-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,victors-cafe-new-york-6,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",40.7628822,-73.9840385,(212) 586-7714,6444.914078776762,StpOKezaW-AyN2xA1EJKvw,https://s3-media4.fl.yelpcdn.com/bphoto/Ts6hioUXawlKSHUZ3SksUw/o.jpg,False,236 W 52nd St,,,New York,US,"['236 W 52nd St', 'New York, NY 10019']",NY,10019,Victor's Cafe,+12125867714,$$$,4.0,1189,['restaurant_reservation'],https://www.yelp.com/biz/victors-cafe-new-york-6?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,my-cuban-spot-brooklyn,"[{'alias': 'cuban', 'title': 'Cuban'}]",40.6769662462795,-73.9861777067271,(718) 855-1941,3239.7531198487127,SyEi1P5FKCBiAIZ14RggmA,https://s3-media1.fl.yelpcdn.com/bphoto/-1nvlKh4u61TwpKa8OcHvw/o.jpg,False,488 Carroll St,,,Brooklyn,US,"['488 Carroll St', 'Brooklyn, NY 11215']",NY,11215,My Cuban Spot,+17188551941,$$,4.5,72,"['delivery', 'pickup']",https://www.yelp.com/biz/my-cuban-spot-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,blacktail-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.7044769199104,-74.0174372308775,(212) 785-0153,1953.875944221559,kEC66zgpguVsizQeCAJoCg,https://s3-media4.fl.yelpcdn.com/bphoto/lfDVZ939qlnB9cWjkcFSGw/o.jpg,False,22 Battery Pl,,Fl 2 Pier A,New York,US,"['22 Battery Pl', 'Fl 2 Pier A', 'New York, NY 10004']",NY,10004,BlackTail,+12127850153,$$$,4.5,181,[],https://www.yelp.com/biz/blacktail-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,sabor-de-cuba-astoria,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cuban', 'title': 'Cuban'}]",40.76217,-73.918358,(718) 777-1693,8986.996618993744,ukOsBKML_Ph_hSyxv3gNlA,https://s3-media3.fl.yelpcdn.com/bphoto/ctOxY_CuF08MpY-SBM2Q9w/o.jpg,False,3703 31st Ave,,,Astoria,US,"['3703 31st Ave', 'Astoria, NY 11103']",NY,11103,Sabor De Cuba,+17187771693,$$,4.0,228,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/sabor-de-cuba-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,havana-social-hells-kitchen-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",40.7635084288027,-73.9924817304201,(212) 956-2155,6458.170470128389,KfZI6oovMvG5tLd0NFBeKQ,https://s3-media3.fl.yelpcdn.com/bphoto/r1XO2tIG1DNr9QKPvtnrBg/o.jpg,False,688 10th Ave,,,New York,US,"['688 10th Ave', 'New York, NY 10019']",NY,10019,Havana Social - Hell's Kitchen,+12129562155,$$,4.5,676,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/havana-social-hells-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
