,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,puerto-viejo-brooklyn,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.67885,-73.96214,(718) 398-3758,4007.514631180947,kXnwXZ5KOQmprxNrmXYuxg,https://s3-media2.fl.yelpcdn.com/bphoto/Z2zwGu_xZcxWXubNx2wzYQ/o.jpg,False,564 Grand Ave,,,Brooklyn,US,"['564 Grand Ave', 'Brooklyn, NY 11238']",NY,11238,Puerto Viejo,+17183983758,$$,4.0,363,"['pickup', 'delivery']",https://www.yelp.com/biz/puerto-viejo-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,lali-restaurant-new-york,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.76128,-73.993919,(212) 664-1507,6209.272636523243,evQ9dNp7Fa3OFPwWXnojrQ,https://s3-media2.fl.yelpcdn.com/bphoto/4tFk3hTDd4SHGfFNK-pM7w/o.jpg,False,630 10th Ave,,,New York,US,"['630 10th Ave', 'New York, NY 10036']",NY,10036,Lali Restaurant,+12126641507,$,4.5,147,[],https://www.yelp.com/biz/lali-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,la-cabana-corona-3,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.7503,-73.86262,(718) 898-7593,12143.518579702673,BEnhDZrulF_-2Fl-nleWag,https://s3-media2.fl.yelpcdn.com/bphoto/2MIl7qgaFd8GnielZ2qplg/o.jpg,False,39-17 103rd St,,,Corona,US,"['39-17 103rd St', 'Corona, NY 11368']",NY,11368,La Cabana,+17188987593,$,4.5,133,[],https://www.yelp.com/biz/la-cabana-corona-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,zoralie-restaurant-new-york,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",40.7649401427866,-73.9902253076434,(646) 590-3751,6624.438468293951,154ILTDY2x4liySxKmO4cw,https://s3-media1.fl.yelpcdn.com/bphoto/fJD_Pvs7ymEzathZqyJDcg/o.jpg,False,449 W 51st St,,,New York,US,"['449 W 51st St', 'New York, NY 10019']",NY,10019,Zoralie Restaurant,+16465903751,$,4.5,184,"['delivery', 'pickup']",https://www.yelp.com/biz/zoralie-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,el-gran-castillo-de-jagua-brooklyn,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.676993,-73.971981,(718) 622-8700,3680.73843046838,U1rA6SLeS_jMwqm1Vo0yaQ,https://s3-media2.fl.yelpcdn.com/bphoto/6FBeQ-Uabpbfy2D2d6-q_Q/o.jpg,False,355 Flatbush Ave,,,Brooklyn,US,"['355 Flatbush Ave', 'Brooklyn, NY 11238']",NY,11238,El Gran Castillo De Jagua,+17186228700,$,4.0,207,[],https://www.yelp.com/biz/el-gran-castillo-de-jagua-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,el-nuevo-cibao-brooklyn-3,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.68584,-73.99121,(718) 596-1501,2201.7720013448074,31XD1NbLOoZ-cclsfdf97Q,https://s3-media3.fl.yelpcdn.com/bphoto/VIdrcUlJPeXRlZ74jUGKJw/o.jpg,False,172 Smith St,,,Brooklyn,US,"['172 Smith St', 'Brooklyn, NY 11201']",NY,11201,El Nuevo Cibao,+17185961501,$$,4.0,143,"['delivery', 'pickup']",https://www.yelp.com/biz/el-nuevo-cibao-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,malecon-restaurant-new-york-2,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.846511,-73.938827,(212) 927-3812,16366.348699342007,hw8ziubXsFocun6KR04VVg,https://s3-media4.fl.yelpcdn.com/bphoto/0imNctPMuYnAe9jUhlPFGA/o.jpg,False,4141 Broadway,,,New York,US,"['4141 Broadway', 'New York, NY 10033']",NY,10033,Malecon Restaurant,+12129273812,$$,4.0,602,"['delivery', 'pickup']",https://www.yelp.com/biz/malecon-restaurant-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,el-rinconcito-new-york,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.72553,-73.977,(212) 254-1381,2660.982301183552,3hCi3e-Ea62tdSdcdioR1g,https://s3-media1.fl.yelpcdn.com/bphoto/7YS_f6iEk4yRQeFSibkysg/o.jpg,False,408 E 10th St,,,New York,US,"['408 E 10th St', 'New York, NY 10009']",NY,10009,El Rinconcito,+12122541381,$,4.5,49,[],https://www.yelp.com/biz/el-rinconcito-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,el-castillo-de-jagua-brooklyn-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.6567179534208,-73.9599200338125,(718) 684-5187,6144.752320811803,oRoXd9qWF0muVu_ht6yr-g,https://s3-media1.fl.yelpcdn.com/bphoto/7bkYxPOzGZhumtGSZh8RFQ/o.jpg,False,679 Flatbush Ave,,,Brooklyn,US,"['679 Flatbush Ave', 'Brooklyn, NY 11225']",NY,11225,El Castillo De Jagua,+17186845187,$,4.0,57,[],https://www.yelp.com/biz/el-castillo-de-jagua-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,margon-new-york,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.7580177305906,-73.9835429191589,(212) 354-5013,5915.592974844326,4CObV3XU8VQ6nXeVS4vO0A,https://s3-media3.fl.yelpcdn.com/bphoto/c_uis4o4_C0rwk_1Ha84xA/o.jpg,False,136 W 46th St,,,New York,US,"['136 W 46th St', 'New York, NY 10036']",NY,10036,Margon,+12123545013,$,4.0,639,"['delivery', 'pickup']",https://www.yelp.com/biz/margon-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,genas-grill-new-york,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",40.730327,-73.982955,(212) 473-3700,2928.3108730428617,Pn_KLz8cue1P0AWQgFw1Zg,https://s3-media3.fl.yelpcdn.com/bphoto/zeAT8c8bTAwV7ua7O9GreQ/o.jpg,False,210 1st Ave,,,New York,US,"['210 1st Ave', 'New York, NY 10009']",NY,10009,Gena's Grill,+12124733700,$,4.0,145,[],https://www.yelp.com/biz/genas-grill-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,exquisito-brooklyn-2,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.6992332158417,-73.9124437421516,(718) 497-2222,6934.202387709255,P4TeoFeySfz_s8h0xNzEvA,https://s3-media2.fl.yelpcdn.com/bphoto/XUjofWJGa44pK8K7rTtIag/o.jpg,False,1542 Gates Ave,,,Brooklyn,US,"['1542 Gates Ave', 'Brooklyn, NY 11237']",NY,11237,Exquisito,+17184972222,$,4.0,12,"['delivery', 'pickup']",https://www.yelp.com/biz/exquisito-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,fefitas-restaurant-brooklyn,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.6693115,-73.9336166,(347) 663-1398,6507.044822262115,-jcEr3NrgoQobKNJPdX8mg,https://s3-media2.fl.yelpcdn.com/bphoto/VgF_t_4V-78s5X8tLykIhg/o.jpg,False,1045 Eastern Pkwy,,,Brooklyn,US,"['1045 Eastern Pkwy', 'Brooklyn, NY 11213']",NY,11213,Fefita's Restaurant,+13476631398,$,5.0,12,[],https://www.yelp.com/biz/fefitas-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,santo-domingo-restaurant-brooklyn-2,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}, {'alias': 'latin', 'title': 'Latin American'}]",40.66775,-73.87888,(718) 484-8373,10592.815887021528,X90sgtmcR-FdUndlbA3EyQ,https://s3-media2.fl.yelpcdn.com/bphoto/jErogiTZr42IZzsX5c0oEA/o.jpg,False,862 New Lots Ave,,,Brooklyn,US,"['862 New Lots Ave', 'Brooklyn, NY 11208']",NY,11208,Santo Domingo Restaurant,+17184848373,$,4.5,16,"['delivery', 'pickup']",https://www.yelp.com/biz/santo-domingo-restaurant-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
14,r-a-deli-dominican-food-staten-island,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.6257554377981,-74.1627349024913,(718) 442-4616,16743.91703374748,p8SNfFBToZNwjepsNcJv6w,https://s3-media2.fl.yelpcdn.com/bphoto/_USGpJg34c7g976Xf1Ab9g/o.jpg,False,2180 Forest Ave,,,Staten Island,US,"['2180 Forest Ave', 'Staten Island, NY 10303']",NY,10303,R A Deli Dominican Food,+17184424616,$,4.0,33,[],https://www.yelp.com/biz/r-a-deli-dominican-food-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
15,el-castillo-de-jagua-new-york,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'spanish', 'title': 'Spanish'}]",40.71977,-73.98787,(212) 982-6412,1684.620852377495,wSlGpwSIecbqy1KRSO_YVg,https://s3-media4.fl.yelpcdn.com/bphoto/HEAEWy4mV9d540k_0m5LVg/o.jpg,False,113 Rivington St,,,New York,US,"['113 Rivington St', 'New York, NY 10002']",NY,10002,El Castillo De Jagua,+12129826412,$,3.5,197,['delivery'],https://www.yelp.com/biz/el-castillo-de-jagua-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
16,la-barca-restaurant-new-york,"[{'alias': 'dominican', 'title': 'Dominican'}]",40.8375,-73.94203,(212) 928-1090,15329.905013233747,A0kA5AIRi_A0dlF3pv0FcA,https://s3-media2.fl.yelpcdn.com/bphoto/UGd5GiBOairpWJBue7zMLg/o.jpg,False,3892 Broadway,,,New York,US,"['3892 Broadway', 'New York, NY 10032']",NY,10032,La Barca Restaurant,+12129281090,$,4.0,45,"['delivery', 'pickup']",https://www.yelp.com/biz/la-barca-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
17,dos31-cocina-bar-brooklyn,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.7105846,-73.9588372,(718) 387-5111,3042.758000698559,-eddOmvmXDz7WmcKFrZXHg,https://s3-media2.fl.yelpcdn.com/bphoto/45RcPwWtZqo9KC9ujZQhiQ/o.jpg,False,231 S 4th St,,,Brooklyn,US,"['231 S 4th St', 'Brooklyn, NY 11211']",NY,11211,DOS31 Cocina + Bar,+17183875111,$$,4.5,20,"['delivery', 'pickup']",https://www.yelp.com/biz/dos31-cocina-bar-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
18,el-gran-canario-new-york,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7105573761851,-73.9538214151183,(718) 388-5555,3458.4296235980855,B73kcWdUixrovBU2JXjoZA,https://s3-media1.fl.yelpcdn.com/bphoto/BpyE1uFm7LTCK0emeRW3mA/o.jpg,False,174 Borinquen Pl,,,New York,US,"['174 Borinquen Pl', 'New York, NY 11211']",NY,11211,El Gran Canario,+17183885555,$,4.0,35,"['delivery', 'pickup']",https://www.yelp.com/biz/el-gran-canario-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
19,sabrosura-dominicana-woodside,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.7388916,-73.9181366,(347) 808-0258,7416.933034477306,F0R85lX83MSfvgsJ3sXI4g,https://s3-media1.fl.yelpcdn.com/bphoto/I1fwiwZcB59LMC_YleU5Rg/o.jpg,False,47-10 48th Ave,,,Woodside,US,"['47-10 48th Ave', 'Woodside, NY 11377']",NY,11377,Sabrosura Dominicana,+13478080258,$,3.5,7,[],https://www.yelp.com/biz/sabrosura-dominicana-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
20,la-isla-restaurant-brooklyn-2,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",40.708728,-73.958061,(718) 387-1605,3081.694756240144,UpCHmvRNZWHaLsf6PHdDug,https://s3-media3.fl.yelpcdn.com/bphoto/dzfmzAPU8xYEPkM_dmt0Ug/o.jpg,False,293 Broadway,,,Brooklyn,US,"['293 Broadway', 'Brooklyn, NY 11211']",NY,11211,La Isla Restaurant,+17183871605,$,4.0,42,[],https://www.yelp.com/biz/la-isla-restaurant-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
21,rossys-bakery-new-york,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.72184,-73.98159,(212) 253-2424,2117.3212247271917,RgXT9Pkui7IuWua2K9yuHA,https://s3-media1.fl.yelpcdn.com/bphoto/-6eK_19Y7VLzm4B2SWx6aA/o.jpg,False,242 E 3rd St,,,New York,US,"['242 E 3rd St', 'New York, NY 10009']",NY,10009,Rossy's Bakery,+12122532424,$,4.0,49,[],https://www.yelp.com/biz/rossys-bakery-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
22,listo-el-chimi-cafeteria-ridgewood,"[{'alias': 'dominican', 'title': 'Dominican'}, {'alias': 'cafeteria', 'title': 'Cafeteria'}]",40.6998583557259,-73.9073220084344,(347) 987-4944,7357.702029428241,XUnK_1giqqoG3O0trpQJew,https://s3-media2.fl.yelpcdn.com/bphoto/NkzlD-DourhhXltQvMY-bw/o.jpg,False,55-30 Myrtle Ave,,,Ridgewood,US,"['55-30 Myrtle Ave', 'Ridgewood, NY 11385']",NY,11385,Listo El Chimi cafeteria,+13479874944,$,4.0,37,"['delivery', 'pickup']",https://www.yelp.com/biz/listo-el-chimi-cafeteria-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
23,primavera-restaurant-brooklyn,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'dominican', 'title': 'Dominican'}]",40.64558,-73.973457,(718) 438-0447,6885.146182779596,_ur5IcT5Vvy2VaWV817GTQ,https://s3-media1.fl.yelpcdn.com/bphoto/D186FJJ3q9qKZ-Cy9tLsjA/o.jpg,False,623 Church Ave,,,Brooklyn,US,"['623 Church Ave', 'Brooklyn, NY 11218']",NY,11218,Primavera Restaurant,+17184380447,$,4.0,17,"['delivery', 'pickup']",https://www.yelp.com/biz/primavera-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
