,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,le-soleil-restaurant-new-york-2,"[{u'alias': u'haitian', u'title': u'Haitian'}]",40.7691116,-73.9885635,(212) 581-6059,7034.60347493,vLt2PHLh9AtKh7fIIvwCWQ,https://s3-media1.fl.yelpcdn.com/bphoto/mzTP-5rR2I7-e7BTgC387A/o.jpg,False,858 10th Ave At 57th St,,,New York,US,"[858 10th Ave At 57th St, New York, NY 10019]",NY,10019,Le Soleil Restaurant,+12125816059,$$,3.5,74,[],https://www.yelp.com/biz/le-soleil-restaurant-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,la-caye-restaurant-brooklyn,"[{u'alias': u'haitian', u'title': u'Haitian'}]",40.687133,-73.977615,(718) 858-4160,2480.01937469,uhXL4Hq63xakHg1O26ZsdQ,https://s3-media1.fl.yelpcdn.com/bphoto/8foq-AJo-bL-zDKRHh7yww/o.jpg,False,35 Lafayette Ave,,,Brooklyn,US,"[35 Lafayette Ave, Brooklyn, NY 11217]",NY,11217,La Caye Restaurant,+17188584160,$$,3.5,293,[restaurant_reservation],https://www.yelp.com/biz/la-caye-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,kafe-louverture-brooklyn,"[{u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'haitian', u'title': u'Haitian'}]",40.6829616,-73.9384374,(347) 305-3176,5329.42372798,aCQXS2tNHA5CdvRdz-jJPQ,https://s3-media3.fl.yelpcdn.com/bphoto/yjCJ24ICCoC3naQqoaAYPQ/o.jpg,False,392 Halsey St,,,Brooklyn,US,"[392 Halsey St, Brooklyn, NY 11216]",NY,11216,Kafe Louverture,+13473053176,$,5.0,72,"[delivery, pickup]",https://www.yelp.com/biz/kafe-louverture-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,harlem-karibe-restaurant-and-catering-new-york,"[{u'alias': u'haitian', u'title': u'Haitian'}, {u'alias': u'soulfood', u'title': u'Soul Food'}]",40.8133004,-73.9456163,(845) 210-9022,12674.3862385,t5-7acjxbd5aNAR5oYi-9w,https://s3-media4.fl.yelpcdn.com/bphoto/XsiSb27t_OBxUIAwFXCrhw/o.jpg,False,2234 Adam Clayton Powell Jr Blvd,,,New York,US,"[2234 Adam Clayton Powell Jr Blvd, New York, NY 10027]",NY,10027,Harlem Karibe Restaurant & Catering,+18452109022,$$,3.5,58,"[delivery, pickup]",https://www.yelp.com/biz/harlem-karibe-restaurant-and-catering-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,kombit-bar-and-restaurant-brooklyn,"[{u'alias': u'haitian', u'title': u'Haitian'}]",40.679428,-73.973717,(718) 399-2000,3375.76581664,zyVRaUyISh7-qS3Z-jWsOg,https://s3-media3.fl.yelpcdn.com/bphoto/U4OsSyZAPxdL4JbOFKi6Og/o.jpg,False,279 Flatbush Ave,,,Brooklyn,US,"[279 Flatbush Ave, Brooklyn, NY 11217]",NY,11217,Kombit Bar & Restaurant,+17183992000,$$,3.5,111,[],https://www.yelp.com/biz/kombit-bar-and-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,grandchamps-kitchen-and-market-bedford-stuyvesant,"[{u'alias': u'haitian', u'title': u'Haitian'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'desserts', u'title': u'Desserts'}]",40.6846613212,-73.9262324663,(718) 484-4880,6185.89712379,-ic13XJ9ekpEfshQFPKL4A,https://s3-media2.fl.yelpcdn.com/bphoto/NqJXThJzKjY5kGGfFoJbgg/o.jpg,False,197 Patchen Ave,,,Bedford-Stuyvesant,US,"[197 Patchen Ave, Bedford-Stuyvesant, NY 11233]",NY,11233,Grandchamps Kitchen & Market,+17184844880,$$,4.0,155,[pickup],https://www.yelp.com/biz/grandchamps-kitchen-and-market-bedford-stuyvesant?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,mama-blaze-brooklyn,"[{u'alias': u'haitian', u'title': u'Haitian'}, {u'alias': u'seafood', u'title': u'Seafood'}]",40.6513449,-73.9467078,(631) 708-2121,7231.20038785,jGHu1PXJ9lj1Rk_jRCiXkA,https://s3-media4.fl.yelpcdn.com/bphoto/OhT5KASdbf0yYiIZW17qNQ/o.jpg,False,907 New York Ave,,,Brooklyn,US,"[907 New York Ave, Brooklyn, NY 11203]",NY,11203,Mama Blaze,+16317082121,$$,5.0,5,[],https://www.yelp.com/biz/mama-blaze-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,pascale-bakery-and-restaurant-brooklyn,"[{u'alias': u'bakeries', u'title': u'Bakeries'}, {u'alias': u'haitian', u'title': u'Haitian'}]",40.6505126953,-73.9508056641,(718) 282-2422,7121.18438051,-C3YksFBbHjIWPADbTqNgw,https://s3-media3.fl.yelpcdn.com/bphoto/uUkl1aSn8SAEuSLyhqJgFA/o.jpg,False,2816 Church Ave,,,Brooklyn,US,"[2816 Church Ave, Brooklyn, NY 11226]",NY,11226,Pascale Bakery & Restaurant,+17182822422,,4.0,11,[],https://www.yelp.com/biz/pascale-bakery-and-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,kreyol-flavor-brooklyn-2,"[{u'alias': u'haitian', u'title': u'Haitian'}]",40.62779,-73.94259,(718) 258-0509,9669.74596333,3o-tTebOwrjT02c1e9a4Kg,https://s3-media2.fl.yelpcdn.com/bphoto/IRN-NHbkuKjpp8wVG3L9lQ/o.jpg,False,1738 Flatbush Ave,,,Brooklyn,US,"[1738 Flatbush Ave, Brooklyn, NY 11210]",NY,11210,Kreyol Flavor,+17182580509,$$,3.5,39,[],https://www.yelp.com/biz/kreyol-flavor-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,la-tranquilite-l-impressioniste-restaurant-brooklyn,"[{u'alias': u'haitian', u'title': u'Haitian'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.63607,-73.89889,(718) 531-8767,11145.1638046,W9JT4cD2EPLx3YpTOsFGvQ,https://s3-media4.fl.yelpcdn.com/bphoto/3CZGKIQIlbKF3_11KsXHCQ/o.jpg,False,9128 Ave L,,,Brooklyn,US,"[9128 Ave L, Brooklyn, NY 11236]",NY,11236,La Tranquilite L'Impressioniste Restaurant,+17185318767,$,3.5,22,[],https://www.yelp.com/biz/la-tranquilite-l-impressioniste-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
