,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,la-contenta-new-york,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.71873,-73.98691,(212) 432-4180,1602.1458278848631,6Ct7OeTRn4caY9g0swFBsw,https://s3-media2.fl.yelpcdn.com/bphoto/FwZAyPgdKdPGQ8aAGKh3-w/o.jpg,False,102 Norfolk St,,,New York,US,"['102 Norfolk St', 'New York, NY 10002']",NY,10002,La Contenta,+12124324180,$$,4.5,579,[],https://www.yelp.com/biz/la-contenta-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,holy-guacamole-astoria,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",40.756621,-73.929336,(917) 832-7261,7895.562217860188,jeWIYbgBho9vBDhc5S1xvg,https://s3-media1.fl.yelpcdn.com/bphoto/pMTc8Y0UnRFNh0zDFERfSg/o.jpg,False,3555 31st St,,,Astoria,US,"['3555 31st St', 'Astoria, NY 11106']",NY,11106,Holy Guacamole,+19178327261,$$,4.0,101,"['delivery', 'pickup']",https://www.yelp.com/biz/holy-guacamole-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,compadres77-mexican-restaurant-forest-hills,"[{'alias': 'mexican', 'title': 'Mexican'}]",40.7159829,-73.8340859,(929) 499-3139,13554.143738105326,T8VPr7B3IaQ51fuDWz3UaA,https://s3-media3.fl.yelpcdn.com/bphoto/waB7i-nUffqm4iTWPGcjqA/o.jpg,False,115-20 Queens Blvd,,,Forest Hills,US,"['115-20 Queens Blvd', 'Forest Hills, NY 11375']",NY,11375,Compadres77 Mexican Restaurant,+19294993139,,4.0,12,"['delivery', 'pickup']",https://www.yelp.com/biz/compadres77-mexican-restaurant-forest-hills?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,chela-brooklyn,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'mexican', 'title': 'Mexican'}]",40.67032,-73.98569,(718) 701-1891,3973.694869018149,CfOBb6NU2awo8xclJpKU3g,https://s3-media3.fl.yelpcdn.com/bphoto/wUeSY-AJIig3h0gKkuvCNA/o.jpg,False,408 5th Ave,,,Brooklyn,US,"['408 5th Ave', 'Brooklyn, NY 11215']",NY,11215,Chela,+17187011891,$$,4.5,72,"['delivery', 'pickup']",https://www.yelp.com/biz/chela-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,rosies-new-york-2,"[{'alias': 'mexican', 'title': 'Mexican'}]",40.72492,-73.99079,(212) 335-0114,2188.1101164777565,9aJ1MVTthZw3QjqoG7mPjg,https://s3-media2.fl.yelpcdn.com/bphoto/omDyaLZ4k8QXYooKW_aOQg/o.jpg,False,29 E 2nd St,,,New York,US,"['29 E 2nd St', 'New York, NY 10003']",NY,10003,Rosie's,+12123350114,$$,4.0,483,[],https://www.yelp.com/biz/rosies-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,amaranto-mexican-restaurant-brooklyn,"[{'alias': 'mexican', 'title': 'Mexican'}]",40.703111,-73.921892,(718) 576-6001,6108.5884083398105,95a04LtXLX6gePhPEwff9A,https://s3-media4.fl.yelpcdn.com/bphoto/VvXWECqDDvZEcrMtDfC29A/o.jpg,False,887 Hart St,,,Brooklyn,US,"['887 Hart St', 'Brooklyn, NY 11237']",NY,11237,Amaranto Mexican Restaurant,+17185766001,$$,4.5,249,[],https://www.yelp.com/biz/amaranto-mexican-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,vida-verde-new-york,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",40.7650089,-73.983215,(646) 657-0565,6680.543286025254,Xjswj531-FkRZPpcccU6kQ,https://s3-media2.fl.yelpcdn.com/bphoto/oQXxT7EH941igDVHDWxYFg/o.jpg,False,248 W 55th St,,,New York,US,"['248 W 55th St', 'New York, NY 10019']",NY,10019,Vida Verde,+16466570565,$$,4.5,328,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/vida-verde-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,barrio-chino-new-york,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",40.718022,-73.990026,(212) 228-6710,1444.0205013853188,RzKR9QcYP03EQ_8DxTxowg,https://s3-media3.fl.yelpcdn.com/bphoto/8PdXnElPeE7PVXLDuU6lKg/o.jpg,False,253 Broome St,,,New York,US,"['253 Broome St', 'New York, NY 10002']",NY,10002,Barrio Chino,+12122286710,$$,4.0,1019,[],https://www.yelp.com/biz/barrio-chino-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,la-loteria-new-york,"[{'alias': 'mexican', 'title': 'Mexican'}]",40.7307865530978,-74.004135953373,(212) 858-9096,2937.425187408665,pG-IkylRFOb-HlaD8NwvvQ,https://s3-media2.fl.yelpcdn.com/bphoto/AJ3kbf4i8wBGQTajkOpb1Q/o.jpg,False,29 7th Ave S,,,New York,US,"['29 7th Ave S', 'New York, NY 10014']",NY,10014,La Loteria,+12128589096,$$,4.0,249,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/la-loteria-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,toloache-50-new-york,"[{'alias': 'mexican', 'title': 'Mexican'}]",40.76219,-73.98562,(212) 581-1818,6365.543012290086,Wx6lMnEh7dCmX-9PQF1Ifw,https://s3-media2.fl.yelpcdn.com/bphoto/rOD94mp4-HywvjDIEbwDfg/o.jpg,False,251 W 50th St,,,New York,US,"['251 W 50th St', 'New York, NY 10012']",NY,10012,Toloache 50,+12125811818,$$$,4.0,1570,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/toloache-50-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
