,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,riko-peruvian-cuisine-new-york-2,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.750076,-73.995422,(212) 643-7556,4964.862242750033,ySIIdmS4oh-QL2dny7GscA,https://s3-media4.fl.yelpcdn.com/bphoto/8aZbZF1sHXLddJ4TPIHcZA/o.jpg,False,409 8th Ave,,,New York,US,"['409 8th Ave', 'New York, NY 10001']",NY,10001,Riko Peruvian Cuisine,+12126437556,$$,4.0,511,"['delivery', 'pickup']",https://www.yelp.com/biz/riko-peruvian-cuisine-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,pio-pio-8-new-york-5,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",40.760506289326,-73.994564488901,(212) 459-2929,6122.5869767591485,OwV-MtDBC2H08rVcBqP2mA,https://s3-media4.fl.yelpcdn.com/bphoto/g3HTOJvcILr8Ca7d0B2tZg/o.jpg,False,604 10th Ave,,,New York,US,"['604 10th Ave', 'New York, NY 10036']",NY,10036,Pio Pio 8,+12124592929,$$,4.0,2020,[],https://www.yelp.com/biz/pio-pio-8-new-york-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,chimu-bistro-brooklyn,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.714903,-73.95144,(718) 383-0045,3761.994787980193,2E2f5H4SltGyD8ciTu8AKg,https://s3-media3.fl.yelpcdn.com/bphoto/-BdAw4q-v7iJMPdbkr7EyQ/o.jpg,False,482 Union Ave,,,Brooklyn,US,"['482 Union Ave', 'Brooklyn, NY 11211']",NY,11211,Chimu Bistro,+17183830045,$$,4.0,725,['pickup'],https://www.yelp.com/biz/chimu-bistro-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,mission-ceviche-new-york,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",40.74108,-74.004628,(347) 821-6359,4057.0253859096997,fKmvZZDSyBE5cfHwybPc_g,https://s3-media3.fl.yelpcdn.com/bphoto/ap_Zd8jGN_zfx00ZEnGqaQ/o.jpg,False,353 W 14th St,,,New York,US,"['353 W 14th St', 'New York, NY 10014']",NY,10014,Mission Ceviche,+13478216359,$$,4.5,147,"['pickup', 'delivery']",https://www.yelp.com/biz/mission-ceviche-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,raymi-new-york,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7433819,-73.991292,(212) 929-1200,4225.975965072703,OrxI6slr5EM46gE3BHfTug,https://s3-media2.fl.yelpcdn.com/bphoto/-KHJDu3ekP9nEMIr0u9Bew/o.jpg,False,43 W 24th St,,,New York,US,"['43 W 24th St', 'New York, NY 10010']",NY,10010,Raymi,+12129291200,$$$,4.0,574,['restaurant_reservation'],https://www.yelp.com/biz/raymi-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,jora-restaurant-and-bar-long-island-city,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",40.7438054,-73.9515007,(718) 392-2033,5585.551264105366,Sj3JYCbaEFrAqUzRrenQbg,https://s3-media3.fl.yelpcdn.com/bphoto/Fzckhw-nQGKVyBUKmsIfMA/o.jpg,False,47-46 11th St,,,Long Island City,US,"['47-46 11th St', 'Long Island City, NY 11101']",NY,11101,Jora Restaurant & Bar,+17183922033,$$,4.5,371,['restaurant_reservation'],https://www.yelp.com/biz/jora-restaurant-and-bar-long-island-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,llama-inn-brooklyn,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'bars', 'title': 'Bars'}]",40.7167278280419,-73.9508372060432,(718) 387-3434,3882.3321152563403,BBPiBgyMmLX5RzaKCB0AeQ,https://s3-media2.fl.yelpcdn.com/bphoto/aJrsvn9Y47BWIgcTqYZhBA/o.jpg,False,50 Withers St,,,Brooklyn,US,"['50 Withers St', 'Brooklyn, NY 11211']",NY,11211,Llama Inn,+17183873434,$$$,4.0,302,[],https://www.yelp.com/biz/llama-inn-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,flor-de-mayo-new-york-2,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",40.78609,-73.97658,(212) 787-3388,9088.843494696126,H1jops1lmuhrq9lP7lEGJQ,https://s3-media4.fl.yelpcdn.com/bphoto/QLmXYr-1-qwNT38lVG2XbA/o.jpg,False,484 Amsterdam Ave,,,New York,US,"['484 Amsterdam Ave', 'New York, NY 10024']",NY,10024,Flor De Mayo,+12127873388,$$,4.0,1045,"['delivery', 'pickup']",https://www.yelp.com/biz/flor-de-mayo-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,chimu-express-brooklyn,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",40.701583,-73.919384,(718) 443-0787,6331.39518130912,xwB9Im8OOGAUyjyaPa3nPQ,https://s3-media3.fl.yelpcdn.com/bphoto/XY4jR5fIRctU8y2oPqozGg/o.jpg,False,180 Irving Ave,,,Brooklyn,US,"['180 Irving Ave', 'Brooklyn, NY 11237']",NY,11237,Chimu Express,+17184430787,$$,4.0,217,"['delivery', 'pickup']",https://www.yelp.com/biz/chimu-express-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,pollo-d-oro-downtown-brooklyn-2,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.6949059702115,-73.9833294451642,(718) 855-8088,1492.487024362154,be7zagjfrCYN9EQ5ijld5w,https://s3-media3.fl.yelpcdn.com/bphoto/VXh2gioUhNSxzA0-2z6Vvg/o.jpg,False,306 Gold St,,,Downtown Brooklyn,US,"['306 Gold St', 'Downtown Brooklyn, NY 11201']",NY,11201,Pollo D' Oro,+17188558088,$$,4.0,175,"['delivery', 'pickup']",https://www.yelp.com/biz/pollo-d-oro-downtown-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
