,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,casa-adela-new-york,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.72264,-73.97973,(212) 473-1882,2269.63062496,RThvexVhZQ8KA6JAr0UkCQ,https://s3-media4.fl.yelpcdn.com/bphoto/xDdYm5SL5iagErlnn8-Gdw/o.jpg,False,66 Ave C,,,New York,US,"[66 Ave C, New York, NY 10009]",NY,10009,Casa Adela,+12124731882,$$,4.0,339,[],https://www.yelp.com/biz/casa-adela-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,el-rinconcito-new-york,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}, {u'alias': u'dominican', u'title': u'Dominican'}]",40.72553,-73.977,(212) 254-1381,2660.98230118,3hCi3e-Ea62tdSdcdioR1g,https://s3-media1.fl.yelpcdn.com/bphoto/7YS_f6iEk4yRQeFSibkysg/o.jpg,False,408 E 10th St,,,New York,US,"[408 E 10th St, New York, NY 10009]",NY,10009,El Rinconcito,+12122541381,$,4.5,46,[],https://www.yelp.com/biz/el-rinconcito-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,the-freakin-rican-restaurant-new-york-2,"[{u'alias': u'puertorican', u'title': u'Puerto Rican'}, {u'alias': u'catering', u'title': u'Caterers'}, {u'alias': u'foodstands', u'title': u'Food Stands'}]",40.7397689819,-73.9852600098,(917) 520-4364,3865.05055782,BgueHXOeFcOHGT8jwBkEYw,https://s3-media3.fl.yelpcdn.com/bphoto/-4qv6JNM1b41FDbgzswJGQ/o.jpg,False,,,,New York,US,"[New York, NY 10010]",NY,10010,The Freakin Rican Restaurant,+19175204364,,5.0,2,[],https://www.yelp.com/biz/the-freakin-rican-restaurant-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,zoralie-restaurant-new-york,"[{u'alias': u'dominican', u'title': u'Dominican'}, {u'alias': u'spanish', u'title': u'Spanish'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.7649401428,-73.9902253076,(646) 590-3751,6624.43846829,154ILTDY2x4liySxKmO4cw,https://s3-media1.fl.yelpcdn.com/bphoto/fJD_Pvs7ymEzathZqyJDcg/o.jpg,False,449 W 51st St,,,New York,US,"[449 W 51st St, New York, NY 10019]",NY,10019,Zoralie Restaurant,+16465903751,$,4.0,183,"[delivery, pickup]",https://www.yelp.com/biz/zoralie-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,me-casa-restaurant-and-catering-jersey-city,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.720908,-74.048134,(201) 706-2242,4852.73699327,HnXmp1M7oNTJ9JzzVOQgBw,https://s3-media1.fl.yelpcdn.com/bphoto/B6y9sC_Iz0Ona3qq3GsCSQ/o.jpg,False,356 Varick St,,,Jersey City,US,"[356 Varick St, Jersey City, NJ 07302]",NJ,07302,ME Casa Restaurant and Catering,+12017062242,$$,4.0,658,"[delivery, pickup]",https://www.yelp.com/biz/me-casa-restaurant-and-catering-jersey-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,pasteles-y-algo-mas-ridgefield-park,"[{u'alias': u'puertorican', u'title': u'Puerto Rican'}, {u'alias': u'latin', u'title': u'Latin American'}]",40.8495410767,-74.0256552985,(201) 870-6151,16238.9082793,LI6r2gaOFSZE93BKx8ULUQ,https://s3-media2.fl.yelpcdn.com/bphoto/kS04jUNQ-VlasMmiaDxqfQ/o.jpg,False,63 Ridgefield Ave,,,Ridgefield Park,US,"[63 Ridgefield Ave, Ridgefield Park, NJ 07660]",NJ,07660,Pasteles Y Algo Mas,+12018706151,$,4.0,145,[pickup],https://www.yelp.com/biz/pasteles-y-algo-mas-ridgefield-park?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,lechonera-la-isla-new-york,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.80278,-73.93403,(212) 996-1972,11948.9373354,BnNDRCWasVrFH9e9bBXfqQ,https://s3-media4.fl.yelpcdn.com/bphoto/d-N3JxMddhhcTi1I3Ilc8Q/o.jpg,False,256 E 125th St,,,New York,US,"[256 E 125th St, New York, NY 10035]",NY,10035,Lechonera La Isla,+12129961972,$,4.5,52,[],https://www.yelp.com/biz/lechonera-la-isla-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,cuchifritos-new-york-2,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.79804,-73.941,(212) 876-4846,11233.687954,pFBNTJpy1eWmfu6aQ8e1YA,https://s3-media3.fl.yelpcdn.com/bphoto/pzajvQ1o8XGWxBsJXJH_Ug/o.jpg,False,168 E 116th St,,,New York,US,"[168 E 116th St, New York, NY 10029]",NY,10029,Cuchifritos,+12128764846,$,4.0,136,[],https://www.yelp.com/biz/cuchifritos-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,el-rinconcito-boricua-elizabeth,"[{u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.65628,-74.2193099,(908) 514-1952,19741.4413807,9Po0UEew5CNRi6wWEPlkWQ,https://s3-media2.fl.yelpcdn.com/bphoto/rr7E8k_wsJq58UkY0YJQcQ/o.jpg,False,335 Washington Ave,,,Elizabeth,US,"[335 Washington Ave, Elizabeth, NJ 07202]",NJ,07202,El Rinconcito Boricua,+19085141952,,5.0,3,[],https://www.yelp.com/biz/el-rinconcito-boricua-elizabeth?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,pasteles-cristina-jamaica,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'dominican', u'title': u'Dominican'}, {u'alias': u'puertorican', u'title': u'Puerto Rican'}]",40.6951128111,-73.8180632865,(917) 740-6091,14900.579875,VboAksPbo_iEtoLHh5LLkQ,https://s3-media1.fl.yelpcdn.com/bphoto/WbpOwV_SeN1BlHb9uhY2uQ/o.jpg,False,130-09 95th Ave,,,Jamaica,US,"[130-09 95th Ave, Jamaica, NY 11419]",NY,11419,Pasteles Cristina,+19177406091,$,5.0,11,"[delivery, pickup]",https://www.yelp.com/biz/pasteles-cristina-jamaica?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
