,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,salvatoria-kitchen-and-bar-astoria,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}, {'alias': 'bars', 'title': 'Bars'}]",40.76142,-73.92486,(718) 777-2829,8549.326452458277,47_jHPl3p4-OYGCVLy2ZIA,https://s3-media3.fl.yelpcdn.com/bphoto/GKf7ohM1maVW_seFpMzzUg/o.jpg,False,31-18 Broadway,,,Astoria,US,"['31-18 Broadway', 'Astoria, NY 11106']",NY,11106,Salvatoria Kitchen and Bar,+17187772829,$$,4.5,101,"['delivery', 'pickup']",https://www.yelp.com/biz/salvatoria-kitchen-and-bar-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,bahia-restaurant-brooklyn-2,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.7114296,-73.9449692,(718) 218-9592,4209.822145627637,1L5gZecCOPs-hoIjms-JxQ,https://s3-media1.fl.yelpcdn.com/bphoto/RWuhEhzAJhQAv3eq9sisGg/o.jpg,False,690 Grand St,,,Brooklyn,US,"['690 Grand St', 'Brooklyn, NY 11211']",NY,11211,Bahia Restaurant,+17182189592,$$,4.0,198,"['delivery', 'pickup']",https://www.yelp.com/biz/bahia-restaurant-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,el-nuevo-izalco-restaurant-woodside,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.74618,-73.89967,(718) 533-8373,9160.397880227136,GnFlK1mcaAVwuIcQXq9wjA,https://s3-media3.fl.yelpcdn.com/bphoto/arIUIXTZ-1mrzpp5iYj-pg/o.jpg,False,6405 Roosevelt Ave,,,Woodside,US,"['6405 Roosevelt Ave', 'Woodside, NY 11377']",NY,11377,El Nuevo Izalco Restaurant,+17185338373,$$,4.0,82,[],https://www.yelp.com/biz/el-nuevo-izalco-restaurant-woodside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,la-cabana-salvadoreña-new-york-2,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.854478,-73.933486,(212) 928-7872,17344.600697085196,LlSSa98PQUM8gsnam9lPPQ,https://s3-media4.fl.yelpcdn.com/bphoto/MCYqIWxKlgLTYGvoG-Vn9g/o.jpg,False,4384 Broadway,,,New York,US,"['4384 Broadway', 'New York, NY 10040']",NY,10040,La Cabana Salvadoreña,+12129287872,$,4.0,106,[],https://www.yelp.com/biz/la-cabana-salvadore%C3%B1a-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,restaurant-salvadoreno-usuluteco-brooklyn,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.6502399,-74.0047699,(718) 436-8025,6195.832366760517,GXZdv5z_yekIp81B1yycpg,https://s3-media2.fl.yelpcdn.com/bphoto/3RiwYCb16UAkv_Or1ItvYA/o.jpg,False,4017 5th Ave,,,Brooklyn,US,"['4017 5th Ave', 'Brooklyn, NY 11232']",NY,11232,Restaurant Salvadoreno Usuluteco,+17184368025,$,3.5,20,[],https://www.yelp.com/biz/restaurant-salvadoreno-usuluteco-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,el-vicentino-restaurant-flushing,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.75758,-73.80407,(718) 886-7825,17045.96855886122,P7RpZRG_pHokXA1D29u8wg,https://s3-media2.fl.yelpcdn.com/bphoto/OtsPtanyueJ7hMagB_mw2w/o.jpg,False,43-37 162nd St,,,Flushing,US,"['43-37 162nd St', 'Flushing, NY 11358']",NY,11358,El Vicentino Restaurant,+17188867825,$,4.0,36,"['delivery', 'pickup']",https://www.yelp.com/biz/el-vicentino-restaurant-flushing?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,mi-pequeno-el-salvador-restaurant-jackson-heights-3,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}, {'alias': 'bars', 'title': 'Bars'}]",40.7508203,-73.8728762,(718) 672-0853,11447.190383376903,7dTsUsn9z9iCWdZLWZMtLg,https://s3-media1.fl.yelpcdn.com/bphoto/vBiz0KatH3tQYQyREPyPFg/o.jpg,False,94-16 37th St,,,Jackson Heights,US,"['94-16 37th St', 'Jackson Heights, NY 11372']",NY,11372,Mi Pequeno El Salvador Restaurant,+17186720853,$$,3.5,58,"['delivery', 'pickup']",https://www.yelp.com/biz/mi-pequeno-el-salvador-restaurant-jackson-heights-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,gran-villa-restaurant-brooklyn,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.653378,-74.009141,(718) 576-3924,5923.404784017086,S_7SmReifNJxRMfckAkZsA,https://s3-media3.fl.yelpcdn.com/bphoto/Crt-ux58YLNKTIfhjx5cWQ/o.jpg,False,4002 3rd Ave,,,Brooklyn,US,"['4002 3rd Ave', 'Brooklyn, NY 11232']",NY,11232,Gran Villa Restaurant,+17185763924,$,4.0,29,"['delivery', 'pickup']",https://www.yelp.com/biz/gran-villa-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,el-continental-restaurant-brooklyn,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.66211,-73.99288,(718) 832-1327,4819.179243490898,Q-w1wL-HA2RLgRWseeqsDA,https://s3-media4.fl.yelpcdn.com/bphoto/j3xUdKaaP-77i8WJsw5ujA/o.jpg,False,672 5th Ave,,,Brooklyn,US,"['672 5th Ave', 'Brooklyn, NY 11215']",NY,11215,El Continental Restaurant,+17188321327,$,3.5,45,[],https://www.yelp.com/biz/el-continental-restaurant-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,pupuseria-salvadoreña-bronx,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}]",40.8321599931289,-73.8651540258206,(718) 409-4013,17798.903570030743,1jTtw6l85Ywq3QqvXGxBeg,https://s3-media1.fl.yelpcdn.com/bphoto/H9YZzL0DmWZTQI2iP8dGUQ/o.jpg,False,1824 Westchester Ave,,,Bronx,US,"['1824 Westchester Ave', 'Bronx, NY 10472']",NY,10472,Pupuseria Salvadoreña,+17184094013,,5.0,4,[],https://www.yelp.com/biz/pupuseria-salvadore%C3%B1a-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
