,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,caracas-arepa-bar-new-york,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'bars', 'title': 'Bars'}]",40.7269655,-73.9854223,(212) 228-5062,2507.0569130847275,iBm8YTqNwrddsxWdqLPK-A,https://s3-media2.fl.yelpcdn.com/bphoto/q32mPKv-WrIiavzLeD4SJg/o.jpg,False,91 E 7th St,,,New York,US,"['91 E 7th St', 'New York, NY 10009']",NY,10009,Caracas Arepa Bar,+12122285062,$$,4.0,2446,[],https://www.yelp.com/biz/caracas-arepa-bar-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,patacon-pisao-new-york-7,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.720379,-73.987588,(646) 678-5913,1754.1306099275034,XpgquUrYWa-URbgi-3pykg,https://s3-media3.fl.yelpcdn.com/bphoto/_G35iGLA9b3rT9anbwc9_w/o.jpg,False,139 Essex St,,,New York,US,"['139 Essex St', 'New York, NY 10002']",NY,10002,Patacon Pisao,+16466785913,$,4.0,300,"['pickup', 'delivery']",https://www.yelp.com/biz/patacon-pisao-new-york-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,el-cocotero-new-york,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}]",40.74149,-73.99937,(212) 206-8930,4029.261412418335,SRLrnScmDyJpS28wvWeJNQ,https://s3-media3.fl.yelpcdn.com/bphoto/5d-ZxCUv7jzvGkWEGDs0UA/o.jpg,False,228 W 18th St,,,New York,US,"['228 W 18th St', 'New York, NY 10011']",NY,10011,El Cocotero,+12122068930,$$,4.0,471,"['delivery', 'pickup']",https://www.yelp.com/biz/el-cocotero-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,cachapas-y-mas-ridgewood,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.7029974,-73.9083213,(347) 721-3767,7252.132225629942,gVRmNlTp2n4qXgYDHx0NbQ,https://s3-media2.fl.yelpcdn.com/bphoto/GwIb39W1PqDtSOWqg27QDQ/o.jpg,False,678 Seneca Ave,,,Ridgewood,US,"['678 Seneca Ave', 'Ridgewood, NY 11385']",NY,11385,Cachapas y Mas,+13477213767,$,4.5,52,"['delivery', 'pickup']",https://www.yelp.com/biz/cachapas-y-mas-ridgewood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,el-cocotero-jersey-city-2,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}]",40.72522,-74.0687,(201) 721-5111,6640.33806765723,2okfa82l6bFxEQ3iZ4R7Pg,https://s3-media3.fl.yelpcdn.com/bphoto/6_9b7vqmbHIcOR_3RZFX0g/o.jpg,False,749 Bergen Ave,,,Jersey City,US,"['749 Bergen Ave', 'Jersey City, NJ 07306']",NJ,07306,El Cocotero,+12017215111,$$,4.0,64,['pickup'],https://www.yelp.com/biz/el-cocotero-jersey-city-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,arepera-guacuco-brooklyn-2,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'venezuelan', 'title': 'Venezuelan'}]",40.704667,-73.924583,(347) 305-3300,5876.802990602752,q6FcRtW3ZoQ-hynSCSa8Ig,https://s3-media1.fl.yelpcdn.com/bphoto/2ZOscP9uQmvDQilDcvoTXg/o.jpg,False,44 Irving Ave,,,Brooklyn,US,"['44 Irving Ave', 'Brooklyn, NY 11237']",NY,11237,Arepera Guacuco,+13473053300,$$,4.0,453,"['delivery', 'pickup']",https://www.yelp.com/biz/arepera-guacuco-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,cachapas-brooklyn-brooklyn,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}]",40.6732994500948,-73.8871204200473,(718) 484-4715,9717.445252677699,gWE6WkBoC46dIRSMygHoPg,https://s3-media3.fl.yelpcdn.com/bphoto/ync3mFD-7e9R1JPG1uZl5g/o.jpg,False,2311 Pitkin Ave,,,Brooklyn,US,"['2311 Pitkin Ave', 'Brooklyn, NY 11207']",NY,11207,Cachapas Brooklyn,+17184844715,$,5.0,29,"['delivery', 'pickup']",https://www.yelp.com/biz/cachapas-brooklyn-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,caracas-arepa-bar-brooklyn,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}]",40.713214,-73.957397,(718) 218-6050,3224.6481982429536,tW8a8-MX_lVoshmKRLUuHQ,https://s3-media3.fl.yelpcdn.com/bphoto/P_BwSg0N2S7Ou2POIsIw7Q/o.jpg,False,291 Grand St,,,Brooklyn,US,"['291 Grand St', 'Brooklyn, NY 11211']",NY,11211,Caracas Arepa Bar,+17182186050,$$,4.0,751,"['delivery', 'pickup']",https://www.yelp.com/biz/caracas-arepa-bar-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,arepas-cafe-astoria,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'spanish', 'title': 'Spanish'}]",40.7557551,-73.927737,(718) 937-3835,7921.289490024122,_uln4MCsceNH4dCQNoALNQ,https://s3-media4.fl.yelpcdn.com/bphoto/AmCpa2wvNlHIysCn-JW5eA/o.jpg,False,3307 36th Ave,,,Astoria,US,"['3307 36th Ave', 'Astoria, NY 11106']",NY,11106,Arepas Cafe,+17189373835,$$,4.0,764,"['delivery', 'pickup']",https://www.yelp.com/biz/arepas-cafe-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,santa-salsa-brooklyn-2,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",40.705553,-73.922343,(347) 683-2605,6067.105132964532,-g65PxVQmh3U8dKUbz1Upg,https://s3-media3.fl.yelpcdn.com/bphoto/ompPBsW37zM58Tu1Zh3Rrw/o.jpg,False,234 Starr St,,,Brooklyn,US,"['234 Starr St', 'Brooklyn, NY 11237']",NY,11237,Santa Salsa,+13476832605,$,4.5,51,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/santa-salsa-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
