,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
0,xN7JOFf3nBBDxvZ1M4Slbg,Barbès Restaurant,barbès-restaurant-hoboken,Moroccan,"[{'alias': 'french', 'title': 'French'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-74.02924 40.7529899),-74.02924,40.752989899999996,"['1300 Park Ave', 'Hoboken, NJ 07030']",Hoboken,NJ,7030.0,3.0,4.0,23,0,0,0,1,midmed
1,ROinSW0fMmphATjgkTXfeQ,Chouchou,chouchou-new-york-2,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-73.98350000000001 40.72379),-73.9835,40.72379,"['215 E 4th St', 'New York, NY 10009']",New York,NY,10009.0,3.0,4.5,64,0,1,1,1,midmed
2,ggcqa-tTLuvAuo0tGYccLA,Mekkinyc,mekkinyc-new-york,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-73.9970967190752 40.7326203350478),-73.9970967190752,40.7326203350478,"['15 W 8th St', 'New York, NY 10011']",New York,NY,10011.0,3.0,5.0,2,0,0,0,1,midmed
3,cZ4TwM7VnDhgNB6kapneSg,Casa La Femme,casa-la-femme-new-york-2,Moroccan,"[{'alias': 'egyptian', 'title': 'Egyptian'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",POINT (-74.00834990000001 40.73404),-74.00834990000001,40.73404,"['140 Charles St', 'New York, NY 10014']",New York,NY,10014.0,3.0,3.5,434,0,1,1,1,midmed
4,jAaVnUKLITkuhzwXIe0vLQ,Cafe Mogador,cafe-mogador-brooklyn,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",POINT (-73.95999300000003 40.719747),-73.95999300000003,40.719747,"['133 Wythe Ave', 'Brooklyn, NY 11211']",Brooklyn,NY,11211.0,2.0,4.5,915,0,0,1,0,midmed
5,rv1BzvAMwSQkHRh6YJj9oA,Bab Marrakech,bab-marrakech-brooklyn-2,Moroccan,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-74.02191690000002 40.6305002),-74.02191690000002,40.6305002,"['7317 5th Ave', 'Brooklyn, NY 11209']",Brooklyn,NY,11209.0,2.0,4.5,18,0,1,1,0,midmed
6,W4hobe10Fy54MKqmLaObEg,Cafe Mogador,cafe-mogador-new-york,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-73.9845085144043 40.727258767439),-73.9845085144043,40.727258767439,"['101 St Marks Pl', 'New York, NY 10009']",New York,NY,10009.0,2.0,4.0,1677,0,0,0,1,midmed
7,8mZ6fE9n_mK59mJ_MYtrSQ,Mimi's Hummus,mimis-hummus-brooklyn,Moroccan,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'vegan', 'title': 'Vegan'}]",POINT (-73.9667 40.64035),-73.9667,40.64035,"['1209 Cortelyou Rd', 'Brooklyn, NY 11218']",Brooklyn,NY,11218.0,2.0,4.0,317,0,1,1,0,midmed
8,g6R8iwi__IDy8plQy0v9WQ,Café Gitane,café-gitane-new-york-3,Moroccan,"[{'alias': 'french', 'title': 'French'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-73.99461756256559 40.7231802723335),-73.9946175625656,40.7231802723335,"['242 Mott St', 'New York, NY 10012']",New York,NY,10012.0,2.0,4.0,674,0,1,1,0,midmed
9,yWhXiBrycr5h4oVSMB_8zQ,Sultan Restaurant Cafe Lounge,sultan-restaurant-cafe-lounge-cobble-hill,Moroccan,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-73.99507 40.69019),-73.99507,40.69019,"['144 Atlantic Ave', 'Cobble Hill, NY 11201']",Cobble Hill,NY,11201.0,2.0,4.5,72,0,1,1,0,midmed
10,87WfLan3_7K_OYPYd5zUIA,La Shuk,la-shuk-new-york,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",POINT (-73.94875 40.78863),-73.94875,40.78863,"['1569 Lexington Ave', 'New York, NY 10029']",New York,NY,10029.0,2.0,4.5,258,0,1,1,0,midmed
11,Bt6RoIcazXayp1a8lMSvzA,Shalel Lounge,shalel-lounge-new-york,Moroccan,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",POINT (-73.9793291 40.7760977),-73.9793291,40.7760977,"['65 W 70th St', 'New York, NY 10023']",New York,NY,10023.0,2.0,4.0,548,0,0,0,0,midmed
12,d8zSYpArh4oXpxeJWNA4Pg,Nish Nush,nish-nush-new-york,Moroccan,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'greek', 'title': 'Greek'}]",POINT (-74.007695 40.715688),-74.007695,40.715688,"['88 Reade St', 'New York, NY 10013']",New York,NY,10013.0,2.0,4.5,590,0,1,1,0,midmed
13,iL88ZmIUC_9Obf-r6YN1Ew,Le Souk Restaurant,le-souk-restaurant-new-york-2,Moroccan,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",POINT (-73.99928 40.72793),-73.99928,40.72793,"['510 Laguardia Pl', 'New York, NY 10012']",New York,NY,10012.0,2.0,3.5,202,0,1,1,1,midmed
