,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,ez-grill-nyc-bronx,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'burgers', 'title': 'Burgers'}]",40.8543220213677,-73.8641628382638,(347) 281-8802,651.2016308114382,ju0UobdUZQWfyxWJEnoviQ,https://s3-media3.fl.yelpcdn.com/bphoto/y7mJUw93W9H21TESqkLH9w/o.jpg,False,790 Lydig Ave,,,Bronx,US,"['790 Lydig Ave', 'Bronx, NY 10462']",NY,10462,Ez Grill NYC,13472818802.0,$,4.0,105,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/ez-grill-nyc-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,gyro-king-bronx,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'greek', 'title': 'Greek'}]",40.86227,-73.90019000000001,(718) 933-6664,2668.285087025085,zXELxQsoffCoBiIZamoBsg,https://s3-media1.fl.yelpcdn.com/bphoto/MxlvWcHIxsXybidyk6ryIA/o.jpg,False,50 E Fordham Rd,,,Bronx,US,"['50 E Fordham Rd', 'Bronx, NY 10468']",NY,10468,Gyro King,17189336664.0,$,4.0,31,[],https://www.yelp.com/biz/gyro-king-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,cozy-cottage-restaurant-bronx,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'greek', 'title': 'Greek'}]",40.886382,-73.827697,(718) 882-3040,5286.2147283721915,bch7dg47hZarDo-ODp-cuw,https://s3-media1.fl.yelpcdn.com/bphoto/pBgw5iCwExhIv9ZwECptSw/o.jpg,False,4105 Boston Rd,,,Bronx,US,"['4105 Boston Rd', 'Bronx, NY 10466']",NY,10466,Cozy Cottage Restaurant,17188823040.0,$,4.0,55,"['delivery', 'pickup']",https://www.yelp.com/biz/cozy-cottage-restaurant-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,the-greek-place-new-hyde-park-4,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.737724,-73.669208,(516) 673-4545,21253.425108672138,aU5wBEpbuFYWp2G3jqHBOg,https://s3-media4.fl.yelpcdn.com/bphoto/GIsNof7pBLIyS8vMPzd_pQ/o.jpg,False,2144 Jericho Tpke,,,New Hyde Park,US,"['2144 Jericho Tpke', 'New Hyde Park, NY 11040']",NY,11040,The Greek Place,15166734545.0,$,4.5,294,"['delivery', 'pickup']",https://www.yelp.com/biz/the-greek-place-new-hyde-park-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,peghe-deli-bronx,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'greek', 'title': 'Greek'}]",40.85281,-73.82777,(718) 828-0415,3664.709367167804,kYV7zqV46GIm21YH7wVAQQ,https://s3-media2.fl.yelpcdn.com/bphoto/JWjrjR3tb2XNfgPh3BXZfA/o.jpg,False,3273 Westchester Ave,,,Bronx,US,"['3273 Westchester Ave', 'Bronx, NY 10461']",NY,10461,Peghe Deli,17188280415.0,$,3.0,5,[],https://www.yelp.com/biz/peghe-deli-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,jackson-gyro-jackson-heights,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",40.7501154616081,-73.8807807862759,(718) 433-9408,11379.741959982255,fV1BKHz49jEMPWh6r7pnlg,https://s3-media3.fl.yelpcdn.com/bphoto/yEv2qPpPAk7IzTitcVhtfw/o.jpg,False,85-30 37th Av,,,Jackson Heights,US,"['85-30 37th Av', 'Jackson Heights, NY 11372']",NY,11372,Jackson Gyro,17184339408.0,$,4.0,24,[],https://www.yelp.com/biz/jackson-gyro-jackson-heights?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,zorbas-souvlaki-plus-astoria,"[{'alias': 'greek', 'title': 'Greek'}]",40.77507,-73.91339,(718) 956-7266,9277.402624163971,TBX6fnKz0lSdMjR598r75w,https://s3-media4.fl.yelpcdn.com/bphoto/UvUDASXalnEKnJgTzQO7uQ/o.jpg,False,29-05 23rd Ave,,,Astoria,US,"['29-05 23rd Ave', 'Astoria, NY 11105']",NY,11105,Zorba's Souvlaki Plus,17189567266.0,$,4.0,220,"['delivery', 'pickup']",https://www.yelp.com/biz/zorbas-souvlaki-plus-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,3-greeks-grill-long-island-city-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]",40.762035,-73.942101,(718) 729-8900,11667.243614615783,1_vyc6Z4a78TFMbaCjWqDQ,https://s3-media3.fl.yelpcdn.com/bphoto/hNABKIjl8PJaochOksMGzQ/o.jpg,False,3561 Vernon Blvd,,,Long Island City,US,"['3561 Vernon Blvd', 'Long Island City, NY 11106']",NY,11106,3 Greeks Grill,17187298900.0,$,4.5,95,"['delivery', 'pickup']",https://www.yelp.com/biz/3-greeks-grill-long-island-city-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,svl-souvlaki-bar-astoria-2,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'burgers', 'title': 'Burgers'}]",40.769964200000004,-73.9184647,(718) 406-9141,9966.62968031685,ymYhC5m27bUDe16ynByq7g,https://s3-media3.fl.yelpcdn.com/bphoto/04OpCPlw6BImScBJIbArOA/o.jpg,False,30-18B Astoria Blvd N,,,Astoria,US,"['30-18B Astoria Blvd N', 'Astoria, NY 11102']",NY,11102,SVL Souvlaki Bar,17184069141.0,$,4.0,148,"['delivery', 'pickup']",https://www.yelp.com/biz/svl-souvlaki-bar-astoria-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,the-souvlaki-truck-yonkers,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.9820980933974,-73.8290828838944,(914) 500-7580,14873.962735572122,R-LU0Pdq4KRqGSZoqiZt7g,https://s3-media1.fl.yelpcdn.com/bphoto/DJ29PdVU9V1IB_pZj634Cg/o.jpg,False,2481 Central Park Ave,,,Yonkers,US,"['2481 Central Park Ave', 'Yonkers, NY 10710']",NY,10710,The Souvlaki Truck,19145007580.0,$,4.5,115,"['delivery', 'pickup']",https://www.yelp.com/biz/the-souvlaki-truck-yonkers?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
