,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,manousheh-new-york-2,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.7293499,-74.00134,(347) 971-5778,2725.8429506369503,VSPkVw9gSQx-5v4A6aC_YA,https://s3-media3.fl.yelpcdn.com/bphoto/NgLNqhiST1g_t3TCSGdqTA/o.jpg,False,193 Bleecker St,,,New York,US,"['193 Bleecker St', 'New York, NY 10012']",NY,10012,Manousheh,+13479715778,$,4.5,311,"['delivery', 'pickup']",https://www.yelp.com/biz/manousheh-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,ilili-new-york-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.74435,-73.98778,(212) 683-2929,4367.133655503976,B55Ocx5RBWxo6AGSucYSIA,https://s3-media3.fl.yelpcdn.com/bphoto/J1ckcEiV_S2BFgaM7TEg_g/o.jpg,False,236 5th Ave,,,New York,US,"['236 5th Ave', 'New York, NY 10001']",NY,10001,ilili,+12126832929,$$$,4.0,2057,"['delivery', 'pickup']",https://www.yelp.com/biz/ilili-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,wafas-brooklyn-6,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",40.7117118835449,-73.9409408569336,(718) 576-3547,4547.945184569147,41kYchR12Eclmp1w_EzpfA,https://s3-media1.fl.yelpcdn.com/bphoto/aY2p-Hb4a_qKPqQUMrMKag/o.jpg,False,812 Grand St,,,Brooklyn,US,"['812 Grand St', 'Brooklyn, NY 11211']",NY,11211,Wafa's,+17185763547,$$,5.0,91,"['delivery', 'pickup']",https://www.yelp.com/biz/wafas-brooklyn-6?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,balade-your-way-new-york-2,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7524299621582,-73.9887237548828,(212) 695-6969,5246.9625260541925,51YLgpfHKfXxOkDFe9sT-w,https://s3-media1.fl.yelpcdn.com/bphoto/x-wXH185MYWgH_m2OmmkOg/o.jpg,False,144 West 37th St,,,New York,US,"['144 West 37th St', 'New York, NY 10018']",NY,10018,Balade - Your Way,+12126956969,$$,4.5,243,"['delivery', 'pickup']",https://www.yelp.com/biz/balade-your-way-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,au-zaatar-new-york,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.728899,-73.981173,(212) 254-5660,2832.710159657831,0FaLilJs2VN83hOEBcBnPg,https://s3-media2.fl.yelpcdn.com/bphoto/HffmCDQqbWxaSO0n5pRUSA/o.jpg,False,188 Avenue A,,,New York,US,"['188 Avenue A', 'New York, NY 10009']",NY,10009,Au Za'atar,+12122545660,$$,4.0,296,"['pickup', 'delivery']",https://www.yelp.com/biz/au-zaatar-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,almayass-restaurant-nyc-new-york-3,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'armenian', 'title': 'Armenian'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",40.7394642504,-73.9887133176,(212) 473-3100,3811.8935692193318,mYxM36oYE0C-STDVV50SWg,https://s3-media4.fl.yelpcdn.com/bphoto/P5JBQR7Fxr2LSvfCN8KczQ/o.jpg,False,24 E 21st St,,,New York,US,"['24 E 21st St', 'New York, NY 10010']",NY,10010,Almayass Restaurant NYC,+12124733100,$$$,4.0,373,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/almayass-restaurant-nyc-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,lil-gem-new-york,"[{'alias': 'lebanese', 'title': 'Lebanese'}]",40.72045,-73.98448,(646) 368-1392,1853.6675055102005,FbrULzNaLncEFfMzHUALmQ,https://s3-media4.fl.yelpcdn.com/bphoto/-es563YJ7nZl9zQrrib6dw/o.jpg,False,29 A Clinton St,,,New York,US,"['29 A Clinton St', 'New York, NY 10002']",NY,10002,Lil' Gem,+16463681392,$$,4.5,51,[],https://www.yelp.com/biz/lil-gem-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,alis-restaurant-brooklyn-3,"[{'alias': 'lebanese', 'title': 'Lebanese'}]",40.701886,-73.924256,(718) 366-2002,5919.1255936068255,Gt0M7rIfnEUdEwsJxkUzIA,https://s3-media2.fl.yelpcdn.com/bphoto/a2gsBm7ocH-iE5z533Dg6g/o.jpg,False,280 Knickerbocker Ave,,,Brooklyn,US,"['280 Knickerbocker Ave', 'Brooklyn, NY 11237']",NY,11237,Ali's Restaurant,+17183662002,$$,4.5,119,['pickup'],https://www.yelp.com/biz/alis-restaurant-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,lebanon-astoria,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}]",40.7648696676942,-73.9145288809856,(929) 343-5040,9424.911008501453,WRl7xSQeylOaQmATsayg_Q,https://s3-media2.fl.yelpcdn.com/bphoto/5TNUAfuSiu6tOrzKeNsQAA/o.jpg,False,28-28 Steinway St,,,Astoria,US,"['28-28 Steinway St', 'Astoria, NY 11103']",NY,11103,Lebanon,+19293435040,$$,5.0,23,"['delivery', 'pickup']",https://www.yelp.com/biz/lebanon-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,souk-el-shater-sunnyside,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'falafel', 'title': 'Falafel'}]",40.74385,-73.92113,(718) 392-2702,7498.467219394722,eW7kDF_1PT0CBbKA0sjLfA,https://s3-media1.fl.yelpcdn.com/bphoto/m0NXA4Xscrsc3lHmGUgLRA/o.jpg,False,43-03 Queens Blvd,,,Sunnyside,US,"['43-03 Queens Blvd', 'Sunnyside, NY 11104']",NY,11104,Souk El Shater,+17183922702,$,4.5,161,[],https://www.yelp.com/biz/souk-el-shater-sunnyside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
