,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,barbès-restaurant-hoboken,"[{'alias': 'french', 'title': 'French'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.7529899,-74.02924,(201) 610-1000,11703.178549790071,xN7JOFf3nBBDxvZ1M4Slbg,https://s3-media3.fl.yelpcdn.com/bphoto/uem93Nnf3XLi8o4oPHwtaQ/o.jpg,False,1300 Park Ave,,,Hoboken,US,"['1300 Park Ave', 'Hoboken, NJ 07030']",NJ,7030.0,Barbès Restaurant,12016101000.0,$$$,4.0,23,['restaurant_reservation'],https://www.yelp.com/biz/barb%C3%A8s-restaurant-hoboken?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,chouchou-new-york-2,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.72379,-73.9835,(646) 869-1423,7368.375825237686,ROinSW0fMmphATjgkTXfeQ,https://s3-media2.fl.yelpcdn.com/bphoto/EHE6kTuEDforKxGX7wNLSQ/o.jpg,False,215 E 4th St,,,New York,US,"['215 E 4th St', 'New York, NY 10009']",NY,10009.0,Chouchou,16468691423.0,$$$,4.5,64,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/chouchou-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,mekkinyc-new-york,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",40.7326203350478,-73.9970967190752,(212) 432-1508,8608.605288780174,ggcqa-tTLuvAuo0tGYccLA,https://s3-media3.fl.yelpcdn.com/bphoto/aX4h1xtYenXixbPek8ZgYw/o.jpg,False,15 W 8th St,,,New York,US,"['15 W 8th St', 'New York, NY 10011']",NY,10011.0,Mekkinyc,12124321508.0,$$$,5.0,2,['restaurant_reservation'],https://www.yelp.com/biz/mekkinyc-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,casa-la-femme-new-york-2,"[{'alias': 'egyptian', 'title': 'Egyptian'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.73404,-74.00834990000001,(212) 505-0005,9037.895572469894,cZ4TwM7VnDhgNB6kapneSg,https://s3-media3.fl.yelpcdn.com/bphoto/h69LF2paaFbmVi_yRUdJRQ/o.jpg,False,140 Charles St,,,New York,US,"['140 Charles St', 'New York, NY 10014']",NY,10014.0,Casa La Femme,12125050005.0,$$$,3.5,434,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/casa-la-femme-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
0,cafe-mogador-brooklyn,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",40.719747,-73.95999300000003,(718) 486-9222,6815.626576465159,jAaVnUKLITkuhzwXIe0vLQ,https://s3-media2.fl.yelpcdn.com/bphoto/vKOnSpZPeLG2Nk7URi1CAw/o.jpg,False,133 Wythe Ave,,,Brooklyn,US,"['133 Wythe Ave', 'Brooklyn, NY 11211']",NY,11211.0,Cafe Mogador,17184869222.0,$$,4.5,915,['delivery'],https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,bab-marrakech-brooklyn-2,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.6305002,-74.02191690000002,(718) 491-6000,5559.983781820012,rv1BzvAMwSQkHRh6YJj9oA,https://s3-media3.fl.yelpcdn.com/bphoto/vRb-MGxNZ9MpBlYnNkUq8A/o.jpg,False,7317 5th Ave,,,Brooklyn,US,"['7317 5th Ave', 'Brooklyn, NY 11209']",NY,11209.0,Bab Marrakech,17184916000.0,$$,4.5,18,"['delivery', 'pickup']",https://www.yelp.com/biz/bab-marrakech-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,cafe-mogador-new-york,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",40.727258767439,-73.9845085144043,(212) 677-2226,7754.843849446311,W4hobe10Fy54MKqmLaObEg,https://s3-media3.fl.yelpcdn.com/bphoto/Mtf6qE5Q4ira-soC6mts8w/o.jpg,False,101 St Marks Pl,,,New York,US,"['101 St Marks Pl', 'New York, NY 10009']",NY,10009.0,Cafe Mogador,12126772226.0,$$,4.0,1677,['restaurant_reservation'],https://www.yelp.com/biz/cafe-mogador-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,mimis-hummus-brooklyn,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'vegan', 'title': 'Vegan'}]",40.64035,-73.9667,(718) 284-4444,2045.498210315165,8mZ6fE9n_mK59mJ_MYtrSQ,https://s3-media4.fl.yelpcdn.com/bphoto/8cEY3jbMBvbsE661NypZSQ/o.jpg,False,1209 Cortelyou Rd,,,Brooklyn,US,"['1209 Cortelyou Rd', 'Brooklyn, NY 11218']",NY,11218.0,Mimi's Hummus,17182844444.0,$$,4.0,317,"['delivery', 'pickup']",https://www.yelp.com/biz/mimis-hummus-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,café-gitane-new-york-3,"[{'alias': 'french', 'title': 'French'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.7231802723335,-73.9946175625656,(212) 334-9552,7523.272859705734,g6R8iwi__IDy8plQy0v9WQ,https://s3-media3.fl.yelpcdn.com/bphoto/OlzGsEwKEgPTMEVUoquBzA/o.jpg,False,242 Mott St,,,New York,US,"['242 Mott St', 'New York, NY 10012']",NY,10012.0,Café Gitane,12123349552.0,$$,4.0,674,"['delivery', 'pickup']",https://www.yelp.com/biz/caf%C3%A9-gitane-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,sultan-restaurant-cafe-lounge-cobble-hill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.69019,-73.99507,(718) 488-8886,4199.593714495043,yWhXiBrycr5h4oVSMB_8zQ,https://s3-media4.fl.yelpcdn.com/bphoto/WhlPE8UHYu-Vr6peW50ssw/o.jpg,False,144 Atlantic Ave,,,Cobble Hill,US,"['144 Atlantic Ave', 'Cobble Hill, NY 11201']",NY,11201.0,Sultan Restaurant Cafe Lounge,17184888886.0,$$,4.5,72,"['delivery', 'pickup']",https://www.yelp.com/biz/sultan-restaurant-cafe-lounge-cobble-hill?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,la-shuk-new-york,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",40.78863,-73.94875,(212) 289-0089,14525.287525303394,87WfLan3_7K_OYPYd5zUIA,https://s3-media2.fl.yelpcdn.com/bphoto/xDWtdblnaPCOngnaN52sag/o.jpg,False,1569 Lexington Ave,,,New York,US,"['1569 Lexington Ave', 'New York, NY 10029']",NY,10029.0,La Shuk,12122890089.0,$$,4.5,258,"['delivery', 'pickup']",https://www.yelp.com/biz/la-shuk-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,shalel-lounge-new-york,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.7760977,-73.9793291,(212) 873-2300,13089.896315520193,Bt6RoIcazXayp1a8lMSvzA,https://s3-media2.fl.yelpcdn.com/bphoto/WtJqx6aF7GmixsnXoIUaVA/o.jpg,False,65 W 70th St,,,New York,US,"['65 W 70th St', 'New York, NY 10023']",NY,10023.0,Shalel Lounge,12128732300.0,$$,4.0,548,[],https://www.yelp.com/biz/shalel-lounge-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
