,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,agora-turkish-restaurant-new-york-2,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.774955,-73.954193,(212) 717-1220,8435.402458137252,7gZGVdqMch7ls0IGO3DijQ,https://s3-media4.fl.yelpcdn.com/bphoto/bqoyD8kw4o6gTufBraYTNA/o.jpg,False,1565 2nd Ave,,,New York,US,"['1565 2nd Ave', 'New York, NY 10028']",NY,10028,Agora Turkish Restaurant,+12127171220,$$,4.5,396,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/agora-turkish-restaurant-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,turkish-kitchen-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.74189,-73.98136,(212) 679-6633,4195.244673874061,cuUmPDEY-1KXzShGdpsqag,https://s3-media1.fl.yelpcdn.com/bphoto/YNCfXQbIWKpBqofx8F1tZg/o.jpg,False,386 3rd Ave,,,New York,US,"['386 3rd Ave', 'New York, NY 10016']",NY,10016,Turkish Kitchen,+12126796633,$$,4.0,509,"['delivery', 'pickup']",https://www.yelp.com/biz/turkish-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,galata-mediterranean-cuisine-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.74522,-73.9776,(212) 683-9206,4641.607187369267,1u_vkRFPuT8Aeh7Zk3bKyw,https://s3-media3.fl.yelpcdn.com/bphoto/0AKKyZh7wKMRshTIx7bIvg/o.jpg,False,212 E 34th St,,,New York,US,"['212 E 34th St', 'New York, NY 10016']",NY,10016,Galata Mediterranean Cuisine,+12126839206,$$,4.5,224,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/galata-mediterranean-cuisine-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,tacis-beyti-brooklyn,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.609571,-73.96211,(718) 627-5750,11000.913739074997,BsdB6DhfvSq7ZZs-_u0RpA,https://s3-media2.fl.yelpcdn.com/bphoto/gfGIupvUrRzvjS9MDYvhBw/o.jpg,False,1953 Coney Island Ave,,,Brooklyn,US,"['1953 Coney Island Ave', 'Brooklyn, NY 11223']",NY,11223,Taci's Beyti,+17186275750,$$,4.5,554,['delivery'],https://www.yelp.com/biz/tacis-beyti-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,beyoglu-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7754199,-73.9562399,(212) 650-0850,8413.826616728262,N9OihQ22xLyfeDRSZoDCVQ,https://s3-media2.fl.yelpcdn.com/bphoto/_mOcel-f03R08e4BHBxRYg/o.jpg,False,1431 3rd Ave,,,New York,US,"['1431 3rd Ave', 'New York, NY 10028']",NY,10028,Beyoglu,+12126500850,$$,3.5,1017,[],https://www.yelp.com/biz/beyoglu-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,istanbul-kebab-house-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7625,-73.98927,(212) 582-8282,6358.432367972787,-QIPdiq5ILg_EJqdVoCqEA,https://s3-media1.fl.yelpcdn.com/bphoto/uuH2AkUEIIwvRy8uENPMZQ/o.jpg,False,712 9th Ave,,,New York,US,"['712 9th Ave', 'New York, NY 10019']",NY,10019,Istanbul Kebab House,+12125828282,$$,4.0,424,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/istanbul-kebab-house-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,truva-cafe-and-grill-astoria,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'greek', 'title': 'Greek'}]",40.7750966778383,-73.9116586888159,(718) 932-6400,10414.03772193291,h_X1VLP4eVHmaQW6yAAbBg,https://s3-media2.fl.yelpcdn.com/bphoto/w_Qk0scgLpa79EmGA5fo1Q/o.jpg,False,22-41 31st St,,,Astoria,US,"['22-41 31st St', 'Astoria, NY 11105']",NY,11105,Truva Cafe and Grill,+17189326400,$$,4.0,267,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/truva-cafe-and-grill-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,turkish-grill-sunnyside,"[{'alias': 'turkish', 'title': 'Turkish'}]",40.7437839950329,-73.9221807731946,(718) 392-3838,7431.080812501989,tg2I4TLCUNr_llG2xLE4sg,https://s3-media2.fl.yelpcdn.com/bphoto/PIXASL8PHAlVaQjYH0hHNw/o.jpg,False,42-03 Queens Blvd,,,Sunnyside,US,"['42-03 Queens Blvd', 'Sunnyside, NY 11104']",NY,11104,Turkish Grill,+17183923838,$$,4.0,332,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/turkish-grill-sunnyside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,aba-turkish-restaurant-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.7672794037324,-73.9838727571167,(212) 655-9368,6931.507804137825,vx2JV9juVzSBRGWHOZCTAQ,https://s3-media4.fl.yelpcdn.com/bphoto/_p8UFQAPJBJOO2HIaVLhLQ/o.jpg,False,325 W 57th St,,,New York,US,"['325 W 57th St', 'New York, NY 10019']",NY,10019,ABA Turkish Restaurant,+12126559368,$$,4.0,390,"['delivery', 'pickup']",https://www.yelp.com/biz/aba-turkish-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,seed-brooklyn-3,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.6754336,-73.9811254,(929) 295-9031,3516.928867086318,inLz0Yw-eI2iJRtwaCipJg,https://s3-media1.fl.yelpcdn.com/bphoto/SOJ1W_YpwW9y2EWUB8hdOA/o.jpg,False,242 5th Ave,,,Brooklyn,US,"['242 5th Ave', 'Brooklyn, NY 11215']",NY,11215,Seed,+19292959031,$$,4.5,150,"['delivery', 'pickup']",https://www.yelp.com/biz/seed-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,akdeniz-mediterranean-restaurant-new-york,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.756519714277,-73.9800018306885,(212) 575-2307,5805.522819445427,v0LGazMDlyPX5ceLYpZyTg,https://s3-media2.fl.yelpcdn.com/bphoto/ywmAW7912M_hQGWdX2MjGg/o.jpg,False,19 W 46th St,,,New York,US,"['19 W 46th St', 'New York, NY 10036']",NY,10036,Akdeniz Mediterranean Restaurant,+12125752307,$$,4.0,345,"['delivery', 'pickup']",https://www.yelp.com/biz/akdeniz-mediterranean-restaurant-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,uskudar-new-york-11,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7697751694651,-73.9580351114273,(212) 988-4046,7777.856938825628,1eGs8MFVKFmpre0cFPe52w,https://s3-media1.fl.yelpcdn.com/bphoto/HZPyGbH-dnVim8qjCk-1Zg/o.jpg,False,1405 2nd Ave,,,New York,US,"['1405 2nd Ave', 'New York, NY 10021']",NY,10021,Uskudar,+12129884046,$$,4.0,208,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/uskudar-new-york-11?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,rimtin-mediterranean-restaurant-forest-hills,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'bars', 'title': 'Bars'}]",40.709981,-73.848932,(718) 674-6503,12262.994473509421,gZhkoq9KMQ2Qe3sCq9BWbg,https://s3-media1.fl.yelpcdn.com/bphoto/e-7vpml7cPGMG0BxLlWX6w/o.jpg,False,104-02 Metropolitan Ave,,,Forest Hills,US,"['104-02 Metropolitan Ave', 'Forest Hills, NY 11375']",NY,11375,Rimtin Mediterranean Restaurant,+17186746503,$$,4.5,88,['pickup'],https://www.yelp.com/biz/rimtin-mediterranean-restaurant-forest-hills?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,turkuaz-restaurant-new-york-3,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.76539,-73.98327,(212) 315-2731,6729.004106110541,haK6aVs_oIUqwOn0LVZlRA,https://s3-media4.fl.yelpcdn.com/bphoto/iVG2NqWQC0tx90DwKWZ11g/o.jpg,False,255 W 55th St,,,New York,US,"['255 W 55th St', 'New York, NY 10019']",NY,10019,Turkuaz Restaurant,+12123152731,$$,4.5,29,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/turkuaz-restaurant-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
14,mangal-kabob-sunnyside,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",40.7428106,-73.918186,(718) 706-0605,7651.642768767341,BMDPPsHf1_z-meUX_IRCkQ,https://s3-media2.fl.yelpcdn.com/bphoto/LCZf0gUai2Lf3JAucDvPTg/o.jpg,False,4620 Queens Blvd,,,Sunnyside,US,"['4620 Queens Blvd', 'Sunnyside, NY 11104']",NY,11104,Mangal Kabob,+17187060605,$$,4.0,216,"['delivery', 'pickup']",https://www.yelp.com/biz/mangal-kabob-sunnyside?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
15,little-rascal-new-york,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7208633,-73.9950497,(212) 966-0446,1715.167877296377,IxFTW7805MrWpbV4RbSFhw,https://s3-media2.fl.yelpcdn.com/bphoto/xxsDbpMk_9tFQQal66MgFw/o.jpg,False,163 Elizabeth St,,,New York,US,"['163 Elizabeth St', 'New York, NY 10012']",NY,10012,Little Rascal,+12129660446,$$,4.0,169,"['restaurant_reservation', 'delivery', 'pickup']",https://www.yelp.com/biz/little-rascal-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
16,sumela-mediterranean-cafe-and-grill-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'halal', 'title': 'Halal'}]",40.7750785978051,-73.950450334847,(212) 879-3839,8578.834315809761,RJiU4vY5Rk6Dp4xew6FPFQ,https://s3-media3.fl.yelpcdn.com/bphoto/ScdMp525ZWFFMzemv9NQvw/o.jpg,False,1606 1st Ave,,,New York,US,"['1606 1st Ave', 'New York, NY 10028']",NY,10028,Sumela Mediterranean Cafe & Grill,+12128793839,$$$,4.5,54,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sumela-mediterranean-cafe-and-grill-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
17,istanbul-bay-brooklyn,"[{'alias': 'turkish', 'title': 'Turkish'}]",40.6257479292404,-74.024335230917,(929) 292-2353,9217.021656207457,RNOoa_KlIgbDt_7ahVhw1A,https://s3-media4.fl.yelpcdn.com/bphoto/Qyuph-6wKvINxr8GbOXNzQ/o.jpg,False,8002 5th Ave,,,Brooklyn,US,"['8002 5th Ave', 'Brooklyn, NY 11209']",NY,11209,Istanbul Bay,+19292922353,$$,4.5,92,"['delivery', 'pickup']",https://www.yelp.com/biz/istanbul-bay-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
