,id,name,alias,cat,categories,geometry,longitude,latitude,address,city,state,zipcode,price,rating,reviews,closed,tr_pickup,tr_delivery,tr_restaurant_reservation,region
0,LXOvAoDO9QomXlvYdc0rrQ,Big  Taste  Halal  Food,big-taste-halal-food-bronx,Halal,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",POINT (-73.845446217529 40.84897620408921),-73.845446217529,40.84897620408921,"['1825 Eastchester Rd', 'Bronx, NY 10461']",Bronx,NY,10461.0,1.0,5.0,32,0,0,0,0,halal
1,Qu3HTqNc9V2BEtHLSGbc7w,Packsun Halal Chicken,packsun-halal-chicken-bronx,Halal,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]",POINT (-73.8523728400469 40.8339280118632),-73.8523728400469,40.8339280118632,"['2160 Westchester Ave', 'Bronx, NY 10462']",Bronx,NY,10462.0,1.0,4.5,26,0,0,0,0,halal
2,AWEKi6V57SErHtAMWiN3Yg,Halal Kitchen Chinese Restaurant,halal-kitchen-chinese-restaurant-bronx,Halal,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'chinese', 'title': 'Chinese'}]",POINT (-73.85682798922059 40.833817917864),-73.85682798922059,40.833817917863996,"['2023 Westchester Ave', 'Bronx, NY 10462']",Bronx,NY,10462.0,1.0,4.5,6,0,0,0,0,halal
3,hXZR1z5ZFRjhXRPaZ1Oh_g,Tony's Halal Food,tonys-halal-food-bronx,Halal,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'halal', 'title': 'Halal'}]",POINT (-73.891453702655 40.8743215931494),-73.891453702655,40.874321593149396,"['156-198 Bedford Park Blvd W', 'Bronx, NY 10468']",Bronx,NY,10468.0,1.0,4.0,14,0,0,0,0,halal
4,SExVenfR3ScUzIJHdUpxuw,Aman,aman-bronx,Halal,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]",POINT (-73.8794078 40.885147),-73.8794078,40.885147,"['3594 Jerome Ave', 'Bronx, NY 10452']",Bronx,NY,10452.0,1.0,4.5,15,0,0,0,0,halal
5,xEnNFXtMLDF5kZDxfaCJgA,The Halal Guys,the-halal-guys-new-york-2,Halal,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",POINT (-73.979229927063 40.76175595827061),-73.979229927063,40.761755958270605,"['W 53rd St 6th Ave', 'New York, NY 10019']",New York,NY,10019.0,1.0,4.5,8762,0,0,0,1,halal
6,ahKL-52Ogn7iPFjhQbbb3w,Carifesta Restaurant,carifesta-restaurant-bronx,Halal,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'caribbean', 'title': 'Caribbean'}]",POINT (-73.85680000000001 40.89485),-73.8568,40.89485,"['4251 White Plains Rd', 'Bronx, NY 10466']",Bronx,NY,10466.0,1.0,4.0,11,0,0,0,0,halal
7,G35omn4UI9EHdjkh406b2g,Yonkers Halal Fried Chicken,yonkers-halal-fried-chicken-yonkers,Halal,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",POINT (-73.86287 40.92208),-73.86287,40.92208,"['801 Yonkers Ave', 'Yonkers, NY 10704']",Yonkers,NY,10704.0,1.0,3.5,56,0,0,0,0,halal
8,HGm3itKMaPIjUd-_qPICcQ,AKS Halal Deli & Grill,aks-halal-deli-and-grill-norwood,Halal,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'grocery', 'title': 'Grocery'}]",POINT (-73.87788399999999 40.872757),-73.877884,40.872757,"['319 E 204th St', 'Norwood, NY 10467']",Norwood,NY,10467.0,1.0,3.5,7,0,1,1,0,halal
9,TcX3VlbQMVw8zoZzEeNREQ,Fordham Fried Seafood And Chicken,fordham-fried-seafood-and-chicken-bronx,Halal,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'seafood', 'title': 'Seafood'}]",POINT (-73.89718499999999 40.86155120000001),-73.897185,40.86155120000001,"['2468 Grand Concourse', 'Bronx, NY 10458']",Bronx,NY,10458.0,1.0,4.5,20,0,0,0,0,halal
