,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,the-islands-brooklyn-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}]",40.6770523795,-73.9634169638,(718) 398-3575,4091.95022642,KBW0EP-prQBhkqqGJCxmXg,https://s3-media4.fl.yelpcdn.com/bphoto/UQIssehz5Wmk0lDLkIqmGA/o.jpg,False,671 Washington Ave,,,Brooklyn,US,"[671 Washington Ave, Brooklyn, NY 11238]",NY,11238,The Islands,+17183983575,$$,4.0,606,[],https://www.yelp.com/biz/the-islands-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,fredas-caribbean-and-soul-cuisine-new-york,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'soulfood', u'title': u'Soul Food'}]",40.80095,-73.96141,(646) 438-9832,10972.3888284,BQcgpQxUM39PMO_YDl_CqA,https://s3-media1.fl.yelpcdn.com/bphoto/4JLFuFJ2kpnpMHO7ZSqvyQ/o.jpg,False,993 Columbus Ave,,,New York,US,"[993 Columbus Ave, New York, NY 10025]",NY,10025,Freda's Caribbean & Soul Cuisine,+16464389832,$$,4.0,450,"[delivery, pickup]",https://www.yelp.com/biz/fredas-caribbean-and-soul-cuisine-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,pearls-brooklyn,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.7180814,-73.956634,(929) 276-3528,3471.2356846,lfu3eDxix7MHqxjh8gbJLA,https://s3-media1.fl.yelpcdn.com/bphoto/aUDapggaDWtzlmW2Aw9xFQ/o.jpg,False,178 N 8th St,,,Brooklyn,US,"[178 N 8th St, Brooklyn, NY 11211]",NY,11211,Pearl's,+19292763528,$$,4.0,308,"[delivery, pickup]",https://www.yelp.com/biz/pearls-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,negril-bk-brooklyn,"[{u'alias': u'caribbean', u'title': u'Caribbean'}]",40.67501,-73.98163,(347) 721-3801,3541.9500215,hO1T1fG5f5FbvOP2124rpw,https://s3-media1.fl.yelpcdn.com/bphoto/7lfDIvzd0p8oIF1Vcu_Bow/o.jpg,False,256 5th Ave,,,Brooklyn,US,"[256 5th Ave, Brooklyn, NY 11215]",NY,11215,Negril BK,+13477213801,$$,3.5,136,[],https://www.yelp.com/biz/negril-bk-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,gladys-brooklyn-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}]",40.671705,-73.957887,(718) 622-0249,4847.43519923,VPdOoSHjOB0kdlLH6iAFDA,https://s3-media2.fl.yelpcdn.com/bphoto/P-xt_JVLXyfC_AD0KRP5KA/o.jpg,False,788 Franklin Ave,,,Brooklyn,US,"[788 Franklin Ave, Brooklyn, NY 11238]",NY,11238,Glady's,+17186220249,$$,4.0,357,[],https://www.yelp.com/biz/gladys-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,miss-lilys-new-york,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.7279368007,-74.0015595608,(646) 588-5375,2574.87314543,TkBJW-GIJF_6wW1OG3i-8A,https://s3-media4.fl.yelpcdn.com/bphoto/NKDvvp4me0xVBC8jKJIfCA/o.jpg,False,132 W Houston St,,,New York,US,"[132 W Houston St, New York, NY 10012]",NY,10012,Miss Lily's,+16465885375,$$,3.5,889,"[delivery, pickup]",https://www.yelp.com/biz/miss-lilys-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,negril-village-new-york,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'lounges', u'title': u'Lounges'}]",40.729352,-73.9983558,(212) 477-2804,2680.30798985,FQgIJTmrP7a5JANyTUMFkw,https://s3-media4.fl.yelpcdn.com/bphoto/QZ35SlRFhg95fUvLH5V4Dg/o.jpg,False,70 W 3rd St,,,New York,US,"[70 W 3rd St, New York, NY 10012]",NY,10012,Negril Village,+12124772804,$$,3.5,1018,"[restaurant_reservation, delivery, pickup]",https://www.yelp.com/biz/negril-village-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,the-food-sermon-kitchen-brooklyn,"[{u'alias': u'caribbean', u'title': u'Caribbean'}]",40.66477,-73.95352,(718) 484-7555,5682.11885354,VDz9n7gwcq51wOAbTBdXxA,https://s3-media4.fl.yelpcdn.com/bphoto/YzkszTf7tT5Ep2yxlVOHAg/o.jpg,False,355 Rogers Ave,,,Brooklyn,US,"[355 Rogers Ave, Brooklyn, NY 11225]",NY,11225,The Food Sermon Kitchen,+17184847555,$$,4.5,202,"[delivery, pickup]",https://www.yelp.com/biz/the-food-sermon-kitchen-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,jamdung-restaurant-and-bar-staten-island-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'bars', u'title': u'Bars'}]",40.62614,-74.13363,(917) 397-8716,14698.033467,Cq-S7989V6gwNkuo_q1N7g,https://s3-media4.fl.yelpcdn.com/bphoto/gtX2pHDt-5-2r2Ick9xrNg/o.jpg,False,1310 Forest Ave,,,Staten Island,US,"[1310 Forest Ave, Staten Island, NY 10302]",NY,10302,Jamdung Restaurant and Bar,+19173978716,$$,3.5,29,"[delivery, pickup]",https://www.yelp.com/biz/jamdung-restaurant-and-bar-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,sugarcane-brooklyn,"[{u'alias': u'caribbean', u'title': u'Caribbean'}]",40.68028,-73.97508,(718) 230-3954,3233.85595832,8RdzB-X0ogBI0Cx5-YmGqA,https://s3-media1.fl.yelpcdn.com/bphoto/wpZLONHSQVcXF5FaCdKcOw/o.jpg,False,238 Flatbush Ave,,,Brooklyn,US,"[238 Flatbush Ave, Brooklyn, NY 11217]",NY,11217,Sugarcane,+17182303954,$$,3.5,454,[],https://www.yelp.com/biz/sugarcane-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,jerk-pan-new-york-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'foodtrucks', u'title': u'Food Trucks'}]",40.7558856008,-73.9747852556,(718) 679-1209,5850.75973093,fKyEX3Dr0K4geeNOpXMqkQ,https://s3-media3.fl.yelpcdn.com/bphoto/wJcBh6EVnuxgt9t2tkqXvQ/o.jpg,False,48th St & Park Ave,,,New York,US,"[48th St & Park Ave, New York, NY 10017]",NY,10017,Jerk Pan,+17186791209,$,4.0,97,[],https://www.yelp.com/biz/jerk-pan-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,mangoseed-restaurant-brooklyn-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.6541492291,-73.9593708515,(347) 529-1080,6419.16475265,DVSm03qNU7zE1mv1QSKnsA,https://s3-media4.fl.yelpcdn.com/bphoto/xIt8RTp59dqoQbs_tQc-Mw/o.jpg,False,757 Flatbush Ave,,,Brooklyn,US,"[757 Flatbush Ave, Brooklyn, NY 11226]",NY,11226,MangoSeed Restaurant,+13475291080,$$,4.0,670,"[pickup, restaurant_reservation]",https://www.yelp.com/biz/mangoseed-restaurant-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,miss-lilys-7a-new-york-2,"[{u'alias': u'caribbean', u'title': u'Caribbean'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.726019,-73.9837551,(212) 812-1482,2454.09197902,15pcxijuNY8BMNzBhABt7w,https://s3-media2.fl.yelpcdn.com/bphoto/KXWQLiUdPXKz2ZjxN46bKg/o.jpg,False,109 Avenue A,,,New York,US,"[109 Avenue A, New York, NY 10009]",NY,10009,Miss Lily's 7A,+12128121482,$$,4.0,445,"[delivery, pickup]",https://www.yelp.com/biz/miss-lilys-7a-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
