,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,big-taste-halal-food-bronx,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",40.848976204089205,-73.845446217529,(347) 210-7038,2211.000747064619,LXOvAoDO9QomXlvYdc0rrQ,https://s3-media2.fl.yelpcdn.com/bphoto/y7PbFECOaltys1gp-kyhKw/o.jpg,False,1825 Eastchester Rd,,,Bronx,US,"['1825 Eastchester Rd', 'Bronx, NY 10461']",NY,10461.0,Big  Taste  Halal  Food,13472107038.0,$,5.0,32,[],https://www.yelp.com/biz/big-taste-halal-food-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,packsun-halal-chicken-bronx,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]",40.8339280118632,-73.8523728400469,(718) 822-8777,2586.355144802094,Qu3HTqNc9V2BEtHLSGbc7w,https://s3-media4.fl.yelpcdn.com/bphoto/c-PMJmi1KjwhkKEi8Xdfkg/o.jpg,False,2160 Westchester Ave,,,Bronx,US,"['2160 Westchester Ave', 'Bronx, NY 10462']",NY,10462.0,Packsun Halal Chicken,17188228777.0,$,4.5,26,[],https://www.yelp.com/biz/packsun-halal-chicken-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,halal-kitchen-chinese-restaurant-bronx,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'chinese', 'title': 'Chinese'}]",40.833817917863996,-73.85682798922059,(718) 892-1567,2383.4793293088474,AWEKi6V57SErHtAMWiN3Yg,https://s3-media3.fl.yelpcdn.com/bphoto/Nw1SpcOSD27kTQcca1Locw/o.jpg,False,2023 Westchester Ave,,,Bronx,US,"['2023 Westchester Ave', 'Bronx, NY 10462']",NY,10462.0,Halal Kitchen Chinese Restaurant,17188921567.0,$,4.5,6,[],https://www.yelp.com/biz/halal-kitchen-chinese-restaurant-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,tonys-halal-food-bronx,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'halal', 'title': 'Halal'}]",40.874321593149396,-73.891453702655,,2982.368207054186,hXZR1z5ZFRjhXRPaZ1Oh_g,https://s3-media2.fl.yelpcdn.com/bphoto/sLAcgkd1Bw3EoPt_WxlpaA/o.jpg,False,156-198 Bedford Park Blvd W,,,Bronx,US,"['156-198 Bedford Park Blvd W', 'Bronx, NY 10468']",NY,10468.0,Tony's Halal Food,,$,4.0,14,[],https://www.yelp.com/biz/tonys-halal-food-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,aman-bronx,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]",40.885146999999996,-73.8794078,(718) 708-5853,3724.21655908137,SExVenfR3ScUzIJHdUpxuw,https://s3-media2.fl.yelpcdn.com/bphoto/nSsshRbJZPbiApv7vI1kiA/o.jpg,False,3594 Jerome Ave,,,Bronx,US,"['3594 Jerome Ave', 'Bronx, NY 10452']",NY,10452.0,Aman,17187085853.0,$,4.5,15,[],https://www.yelp.com/biz/aman-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,the-halal-guys-new-york-2,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",40.761755958270605,-73.979229927063,,13548.073308596076,xEnNFXtMLDF5kZDxfaCJgA,https://s3-media2.fl.yelpcdn.com/bphoto/i6QRVRliZ42stZUp7795jQ/o.jpg,False,W 53rd St 6th Ave,,,New York,US,"['W 53rd St 6th Ave', 'New York, NY 10019']",NY,10019.0,The Halal Guys,,$,4.5,8762,['restaurant_reservation'],https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,carifesta-restaurant-bronx,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'caribbean', 'title': 'Caribbean'}]",40.89485,-73.8568,(718) 325-2261,4890.513880417359,ahKL-52Ogn7iPFjhQbbb3w,https://s3-media4.fl.yelpcdn.com/bphoto/FMf1L5ltb6BzmwSdPLMfig/o.jpg,False,4251 White Plains Rd,,,Bronx,US,"['4251 White Plains Rd', 'Bronx, NY 10466']",NY,10466.0,Carifesta Restaurant,17183252261.0,$,4.0,11,[],https://www.yelp.com/biz/carifesta-restaurant-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,yonkers-halal-fried-chicken-yonkers,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",40.92208,-73.86287,(914) 377-4395,7800.6699597633815,G35omn4UI9EHdjkh406b2g,https://s3-media2.fl.yelpcdn.com/bphoto/JmUC7q5F3yczyNhdNBM2RQ/o.jpg,False,801 Yonkers Ave,,,Yonkers,US,"['801 Yonkers Ave', 'Yonkers, NY 10704']",NY,10704.0,Yonkers Halal Fried Chicken,19143774395.0,$,3.5,56,[],https://www.yelp.com/biz/yonkers-halal-fried-chicken-yonkers?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,aks-halal-deli-and-grill-norwood,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'grocery', 'title': 'Grocery'}]",40.872757,-73.877884,(347) 297-2032,2349.5011361641896,HGm3itKMaPIjUd-_qPICcQ,https://s3-media2.fl.yelpcdn.com/bphoto/rnFU3vm7ZUp5izjpyqtOPQ/o.jpg,False,319 E 204th St,,,Norwood,US,"['319 E 204th St', 'Norwood, NY 10467']",NY,10467.0,AKS Halal Deli & Grill,13472972032.0,$,3.5,7,"['delivery', 'pickup']",https://www.yelp.com/biz/aks-halal-deli-and-grill-norwood?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,fordham-fried-seafood-and-chicken-bronx,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.86155120000001,-73.897185,(718) 933-9854,2405.794779752377,TcX3VlbQMVw8zoZzEeNREQ,https://s3-media2.fl.yelpcdn.com/bphoto/MuyUWFuKh8bPIs4_guXGIA/o.jpg,False,2468 Grand Concourse,,,Bronx,US,"['2468 Grand Concourse', 'Bronx, NY 10458']",NY,10458.0,Fordham Fried Seafood And Chicken,17189339854.0,$,4.5,20,[],https://www.yelp.com/biz/fordham-fried-seafood-and-chicken-bronx?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
