,Unnamed: 0,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,0,coppelia-new-york,"[{u'alias': u'cuban', u'title': u'Cuban'}]",40.73897,-73.99995,(212) 858-5001,3758.61206417,vgg1dvDP-9tFWSacN4q0nA,https://s3-media1.fl.yelpcdn.com/bphoto/aUUREfl7TfEXqa4EnPiVSA/o.jpg,False,207 W 14th St,,,New York,US,"[207 W 14th St, New York, NY 10011]",NY,10011,Coppelia,12128585001.0,$$,4.0,1058,"[delivery, pickup]",https://www.yelp.com/biz/coppelia-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,1,yuca-bar-new-york,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'tapas', u'title': u'Tapas Bars'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",40.7262,-73.9836,(212) 982-9533,2477.55109415,AgAkUVLN_axMY-bzbNCfCw,https://s3-media2.fl.yelpcdn.com/bphoto/kSFAgHVtme87DJqYYV3Usw/o.jpg,False,111 Avenue A,,,New York,US,"[111 Avenue A, New York, NY 10009]",NY,10009,Yuca Bar,12129829533.0,$$,4.0,1579,[],https://www.yelp.com/biz/yuca-bar-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,2,calle-ocho-new-york,"[{u'alias': u'cuban', u'title': u'Cuban'}, {u'alias': u'latin', u'title': u'Latin American'}]",40.7831208394,-73.9737190394,(212) 873-5025,8809.35918736,H9GD7km7riFooM0FkdwOPg,https://s3-media2.fl.yelpcdn.com/bphoto/kj59JQsA5PDgx_CeDBHCWA/o.jpg,False,45 W 81st St,,,New York,US,"[45 W 81st St, New York, NY 10024]",NY,10024,Calle Ocho,12128735025.0,$$,4.0,2274,"[delivery, pickup]",https://www.yelp.com/biz/calle-ocho-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,3,bogota-latin-bistro-brooklyn,"[{u'alias': u'gluten_free', u'title': u'Gluten-Free'}, {u'alias': u'colombian', u'title': u'Colombian'}]",40.678165,-73.978976,(718) 230-3805,3296.83581397,96svxj2NIOrba2fBMZAqOQ,https://s3-media3.fl.yelpcdn.com/bphoto/FgXUCxKbJiHYEWvNvhhZsA/o.jpg,False,141 5th Ave,,,Brooklyn,US,"[141 5th Ave, Brooklyn, NY 11217]",NY,11217,Bogota Latin Bistro,17182303805.0,$$,4.0,1884,"[delivery, pickup]",https://www.yelp.com/biz/bogota-latin-bistro-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,4,matiz-latin-cuisine-forest-hills,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'desserts', u'title': u'Desserts'}]",40.7189054,-73.8390773,(718) 880-1213,13167.7425005,3km5RrRp0sr0axrcL_lb-w,https://s3-media3.fl.yelpcdn.com/bphoto/F-FECyJlTwyaO_AbyuxL4A/o.jpg,False,11072 Queens Blvd,,,Forest Hills,US,"[11072 Queens Blvd, Forest Hills, NY 11375]",NY,11375,Matiz  Latin Cuisine,17188801213.0,$$,4.0,217,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/matiz-latin-cuisine-forest-hills?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
5,5,cafe-habana-new-york-4,"[{u'alias': u'cuban', u'title': u'Cuban'}, {u'alias': u'mexican', u'title': u'Mexican'}]",40.722998,-73.994171,(212) 625-2001,1951.84463479,NOh24SMS6k4pzNv8Ds7KDg,https://s3-media4.fl.yelpcdn.com/bphoto/q3UijyLKWvRCr3OuZHvb8Q/o.jpg,False,17 Prince St,,,New York,US,"[17 Prince St, New York, NY 10012]",NY,10012,Cafe Habana,12126252001.0,$$,4.0,2995,"[delivery, pickup]",https://www.yelp.com/biz/cafe-habana-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,6,sophies-cuban-cuisine-new-york-9,"[{u'alias': u'cuban', u'title': u'Cuban'}]",40.75605,-73.98041,(212) 302-1211,5748.3723805,dDmK_8LTgjcje8iuP6AMGA,https://s3-media1.fl.yelpcdn.com/bphoto/ikTSCwNr9nGdqA8g34DsdQ/o.jpg,False,21 W 45th St,,,New York,US,"[21 W 45th St, New York, NY 10036]",NY,10036,Sophie's Cuban Cuisine,12123021211.0,$$,4.0,363,"[delivery, pickup]",https://www.yelp.com/biz/sophies-cuban-cuisine-new-york-9?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
7,7,cabana-forest-hills,"[{u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'cuban', u'title': u'Cuban'}]",40.7208678329,-73.8456881046,(718) 263-3600,12641.8858179,gEEqoeSekTOjRVmyY4fplA,https://s3-media3.fl.yelpcdn.com/bphoto/IbZU99Uo-p6J-Vv045x7Hw/o.jpg,False,107-10 70th Rd,,,Forest Hills,US,"[107-10 70th Rd, Forest Hills, NY 11375]",NY,11375,Cabana,17182633600.0,$$,4.0,751,[],https://www.yelp.com/biz/cabana-forest-hills?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,8,havana-social-hells-kitchen-new-york,"[{u'alias': u'cuban', u'title': u'Cuban'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}, {u'alias': u'tapas', u'title': u'Tapas Bars'}]",40.7635084288,-73.9924817304,(212) 956-2155,6458.17047013,KfZI6oovMvG5tLd0NFBeKQ,https://s3-media3.fl.yelpcdn.com/bphoto/r1XO2tIG1DNr9QKPvtnrBg/o.jpg,False,688 10th Ave,,,New York,US,"[688 10th Ave, New York, NY 10019]",NY,10019,Havana Social - Hell's Kitchen,12129562155.0,$$,4.5,676,"[delivery, pickup, restaurant_reservation]",https://www.yelp.com/biz/havana-social-hells-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,9,el-cocotero-new-york,"[{u'alias': u'venezuelan', u'title': u'Venezuelan'}]",40.74149,-73.99937,(212) 206-8930,4029.26141242,SRLrnScmDyJpS28wvWeJNQ,https://s3-media3.fl.yelpcdn.com/bphoto/5d-ZxCUv7jzvGkWEGDs0UA/o.jpg,False,228 W 18th St,,,New York,US,"[228 W 18th St, New York, NY 10011]",NY,10011,El Cocotero,12122068930.0,$$,4.0,471,"[delivery, pickup]",https://www.yelp.com/biz/el-cocotero-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
