,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
1,taboonette-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'newamerican', 'title': 'American (New)'}]",40.7347009,-73.9927323,(212) 510-7881,3255.777697242734,owYYuyLvlsdjLz68c3SSfg,https://s3-media2.fl.yelpcdn.com/bphoto/Mdq9nmucHlyRUYoTDCP6Bw/o.jpg,False,30 E 13th St,,,New York,US,"['30 E 13th St', 'New York, NY 10003']",NY,10003,Taboonette,+12125107881,$$,4.0,526,"['delivery', 'pickup']",https://www.yelp.com/biz/taboonette-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
3,mémé-mediterranean-new-york-4,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.736412,-74.00616,(646) 692-8450,3585.669092216312,enT7NJ7tLMvUMCWQcsUonw,https://s3-media1.fl.yelpcdn.com/bphoto/0RD-ncq2QsH97RfpXUPmTA/o.jpg,False,581 Hudson St,,,New York,US,"['581 Hudson St', 'New York, NY 10014']",NY,10014,Mémé Mediterranean,+16466928450,$$,4.0,508,[],https://www.yelp.com/biz/m%C3%A9m%C3%A9-mediterranean-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,seed-brooklyn-3,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.6754336,-73.9811254,(929) 295-9031,3516.928867086318,inLz0Yw-eI2iJRtwaCipJg,https://s3-media1.fl.yelpcdn.com/bphoto/SOJ1W_YpwW9y2EWUB8hdOA/o.jpg,False,242 5th Ave,,,Brooklyn,US,"['242 5th Ave', 'Brooklyn, NY 11215']",NY,11215,Seed,+19292959031,$$,4.5,150,"['delivery', 'pickup']",https://www.yelp.com/biz/seed-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,grill-hut-brooklyn,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.6838,-73.9676999,(347) 599-0413,3288.8458022014756,fuwt6xVOAIVZGPI5Ye3XCQ,https://s3-media4.fl.yelpcdn.com/bphoto/fxWiL9Ppjfb4NVi-xWboug/o.jpg,False,887 Fulton St,,,Brooklyn,US,"['887 Fulton St', 'Brooklyn, NY 11238']",NY,11238,Grill Hut,+13475990413,,5.0,8,"['delivery', 'pickup']",https://www.yelp.com/biz/grill-hut-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,shuka-new-york-3,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",40.72707,-74.00283,(212) 475-7500,2506.529641705224,Rj2ACaJcbroJLPDhRhzvBw,https://s3-media4.fl.yelpcdn.com/bphoto/C1MLfeei472lhsPnN864Yw/o.jpg,False,38 Macdougal St,,,New York,US,"['38 Macdougal St', 'New York, NY 10012']",NY,10012,Shuka,+12124757500,$$,4.5,122,[],https://www.yelp.com/biz/shuka-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,rimtin-mediterranean-restaurant-forest-hills,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'bars', 'title': 'Bars'}]",40.709981,-73.848932,(718) 674-6503,12262.994473509421,gZhkoq9KMQ2Qe3sCq9BWbg,https://s3-media1.fl.yelpcdn.com/bphoto/e-7vpml7cPGMG0BxLlWX6w/o.jpg,False,104-02 Metropolitan Ave,,,Forest Hills,US,"['104-02 Metropolitan Ave', 'Forest Hills, NY 11375']",NY,11375,Rimtin Mediterranean Restaurant,+17186746503,$$,4.5,88,['pickup'],https://www.yelp.com/biz/rimtin-mediterranean-restaurant-forest-hills?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
12,ilili-new-york-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.74435,-73.98778,(212) 683-2929,4367.133655503976,B55Ocx5RBWxo6AGSucYSIA,https://s3-media3.fl.yelpcdn.com/bphoto/J1ckcEiV_S2BFgaM7TEg_g/o.jpg,False,236 5th Ave,,,New York,US,"['236 5th Ave', 'New York, NY 10001']",NY,10001,ilili,+12126832929,$$$,4.0,2057,"['delivery', 'pickup']",https://www.yelp.com/biz/ilili-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,agora-turkish-restaurant-new-york-2,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'halal', 'title': 'Halal'}]",40.774955,-73.954193,(212) 717-1220,8435.402458137252,7gZGVdqMch7ls0IGO3DijQ,https://s3-media4.fl.yelpcdn.com/bphoto/bqoyD8kw4o6gTufBraYTNA/o.jpg,False,1565 2nd Ave,,,New York,US,"['1565 2nd Ave', 'New York, NY 10028']",NY,10028,Agora Turkish Restaurant,+12127171220,$$,4.5,396,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/agora-turkish-restaurant-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
16,mezetto-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7228863781236,-73.9889362576721,(212) 933-4587,1991.2672540519109,B8uEWQoTILlTNajCmJVOcQ,https://s3-media4.fl.yelpcdn.com/bphoto/8umJoH1eA--OANB9kb3J0A/o.jpg,False,161 E Houston St,,,New York,US,"['161 E Houston St', 'New York, NY 10002']",NY,10002,Mezetto,+12129334587,$$,4.0,479,"['delivery', 'pickup']",https://www.yelp.com/biz/mezetto-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
18,kikis-new-york,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.7144971858255,-73.9918553931336,(646) 882-7052,1027.330009136556,_4Grm99JEHnDWskCHAJfUg,https://s3-media2.fl.yelpcdn.com/bphoto/EEdG9No3eY6WJePxCe9ezA/o.jpg,False,130 Division St,,,New York,US,"['130 Division St', 'New York, NY 10002']",NY,10002,Kiki's,+16468827052,$$,4.5,415,"['delivery', 'pickup']",https://www.yelp.com/biz/kikis-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
