,alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
0,tanoreen-brooklyn-2,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",40.6307983398438,-74.0277481079102,(718) 748-5600,8768.453079975498,_-EQR2vNYg-b1eZwAgp6JQ,https://s3-media4.fl.yelpcdn.com/bphoto/_VUXeozk0FAznwZKHgXrIQ/o.jpg,False,7523 3rd Ave,,,Brooklyn,US,"['7523 3rd Ave', 'Brooklyn, NY 11209']",NY,11209,Tanoreen,+17187485600,$$,4.0,720,"['delivery', 'pickup']",https://www.yelp.com/biz/tanoreen-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
1,bedouin-tent-brooklyn,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",40.6869769801458,-73.984394049936,(718) 852-5555,2216.6360117254826,nGpC40fxoDQ-Ft0h-_gkVg,https://s3-media2.fl.yelpcdn.com/bphoto/GiidLIBztAyDsXN-Ng6cmQ/o.jpg,False,405 Atlantic Ave,,,Brooklyn,US,"['405 Atlantic Ave', 'Brooklyn, NY 11217']",NY,11217,Bedouin Tent,+17188525555,$,4.0,537,[],https://www.yelp.com/biz/bedouin-tent-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
2,yemen-cafe-brooklyn-3,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'soup', 'title': 'Soup'}]",40.690116,-73.993726,(718) 834-9533,1705.1606810570931,wctR1TrheHAwpHZ2sJknEw,https://s3-media4.fl.yelpcdn.com/bphoto/R_X9rsmlSLJjsz0OUB7bgA/o.jpg,False,176 Atlantic Ave,,,Brooklyn,US,"['176 Atlantic Ave', 'Brooklyn, NY 11201']",NY,11201,Yemen Cafe,+17188349533,$$,4.5,387,[],https://www.yelp.com/biz/yemen-cafe-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
4,sultan-restaurant-cafe-lounge-cobble-hill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",40.69019,-73.99507,(718) 488-8886,1699.757397406579,yWhXiBrycr5h4oVSMB_8zQ,https://s3-media4.fl.yelpcdn.com/bphoto/WhlPE8UHYu-Vr6peW50ssw/o.jpg,False,144 Atlantic Ave,,,Cobble Hill,US,"['144 Atlantic Ave', 'Cobble Hill, NY 11201']",NY,11201,Sultan Restaurant Cafe Lounge,+17184888886,$$,4.5,72,"['delivery', 'pickup']",https://www.yelp.com/biz/sultan-restaurant-cafe-lounge-cobble-hill?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
6,cafe-mogador-brooklyn,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",40.719747,-73.959993,(718) 486-9222,3299.5306167935732,jAaVnUKLITkuhzwXIe0vLQ,https://s3-media2.fl.yelpcdn.com/bphoto/vKOnSpZPeLG2Nk7URi1CAw/o.jpg,False,133 Wythe Ave,,,Brooklyn,US,"['133 Wythe Ave', 'Brooklyn, NY 11211']",NY,11211,Cafe Mogador,+17184869222,$$,4.5,915,['delivery'],https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
8,zaytoons-brooklyn-3,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",40.67871,-73.96869,(718) 230-3200,3671.438630475193,szrkleW0KeKcoKqnGa2Tew,https://s3-media3.fl.yelpcdn.com/bphoto/VrgHpkOFwtv65lV5Iwnm9Q/o.jpg,False,594 Vanderbilt Ave,,,Brooklyn,US,"['594 Vanderbilt Ave', 'Brooklyn, NY 11238']",NY,11238,Zaytoons,+17182303200,$$,4.0,239,"['delivery', 'pickup']",https://www.yelp.com/biz/zaytoons-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
9,ali-baba-hoboken-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",40.74775,-74.02808,(201) 653-5319,5496.082169847458,uwx3yy7Wu5u55EiXRv03aQ,https://s3-media4.fl.yelpcdn.com/bphoto/OcYVkbF6Q-EsOfxb4V7gTQ/o.jpg,False,912 Washington St,,,Hoboken,US,"['912 Washington St', 'Hoboken, NJ 07030']",NJ,07030,Ali Baba,+12016535319,$$,4.0,164,"['delivery', 'pickup']",https://www.yelp.com/biz/ali-baba-hoboken-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
10,taboonette-new-york,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'newamerican', 'title': 'American (New)'}]",40.7347009,-73.9927323,(212) 510-7881,3255.777697242734,owYYuyLvlsdjLz68c3SSfg,https://s3-media2.fl.yelpcdn.com/bphoto/Mdq9nmucHlyRUYoTDCP6Bw/o.jpg,False,30 E 13th St,,,New York,US,"['30 E 13th St', 'New York, NY 10003']",NY,10003,Taboonette,+12125107881,$$,4.0,526,"['delivery', 'pickup']",https://www.yelp.com/biz/taboonette-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
11,gypsy-grill-jersey-city,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'kebab', 'title': 'Kebab'}]",40.721423,-74.045756,(201) 839-5115,4687.242866051872,lMyJ9lrwRddpsOR_WeMSww,https://s3-media2.fl.yelpcdn.com/bphoto/JcVqUeK1OuX0yQ4V_5R8Dw/o.jpg,False,187 Newark Ave,,,Jersey City,US,"['187 Newark Ave', 'Jersey City, NJ 07302']",NJ,07302,Gypsy Grill,+12018395115,$,4.0,407,"['delivery', 'pickup']",https://www.yelp.com/biz/gypsy-grill-jersey-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
13,duzan-mediterranean-grill-astoria,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",40.7684923638382,-73.9111769199371,(718) 204-7488,9908.983015743115,ZfVHyRKrP7OQnaUmItRK1A,https://s3-media1.fl.yelpcdn.com/bphoto/pbOMndMflCIhv65lVt2b_w/o.jpg,False,2411 Steinway St,,,Astoria,US,"['2411 Steinway St', 'Astoria, NY 11103']",NY,11103,Duzan Mediterranean Grill,+17182047488,$,4.0,410,['delivery'],https://www.yelp.com/biz/duzan-mediterranean-grill-astoria?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
