,FIPS,Census Tract,Pop Density,Income,Age,Household Size,Total Pop,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,label
1,36005000200,200.0,28365.12,70893.0,38.6,3.94,5251.0,12.7,33.8,29.9,6.0
2,36005000400,400.0,20096.47,76667.0,39.4,3.1,5980.0,11.2,31.4,29.4,3.0
3,36005001600,1600.0,32334.87,31540.0,36.9,2.94,6056.0,17.0,37.8,34.5,6.0
4,36005001900,1900.0,4164.445,39130.0,32.5,2.27,2682.0,11.4,30.8,33.0,6.0
5,36005002000,2000.0,59785.98,17083.0,32.5,3.04,9131.0,18.1,38.1,37.5,3.0
6,36005002300,2300.0,119395.1,16503.0,27.8,2.46,4824.0,21.0,41.2,39.4,1.0
8,36005002500,2500.0,114799.5,21060.0,30.4,3.11,5651.0,15.4,36.1,35.1,1.0
9,36005002701,2701.0,95086.26,18409.0,25.2,2.82,3034.0,16.4,36.4,36.9,1.0
10,36005002702,2702.0,78014.09,16000.0,27.3,3.07,4684.0,15.9,36.2,37.2,1.0
11,36005002800,2800.0,33422.18,49180.0,42.7,2.23,5350.0,14.1,33.8,31.9,3.0
12,36005003100,3100.0,29197.49,45101.0,33.8,3.12,1744.0,12.3,31.9,33.0,6.0
13,36005003300,3300.0,65520.91,20268.0,26.6,3.26,3855.0,16.8,37.0,37.3,1.0
14,36005003500,3500.0,71769.32,26066.0,30.3,2.9,3935.0,15.4,35.9,35.5,3.0
16,36005003800,3800.0,50903.43,30694.0,31.5,3.24,1246.0,13.6,34.0,32.2,6.0
17,36005003900,3900.0,77708.02,28537.0,29.5,3.37,6487.0,14.6,35.5,33.7,3.0
18,36005004001,4001.0,31316.68,49709.0,40.2,2.94,1489.0,13.9,37.0,26.2,3.0
19,36005004100,4100.0,87037.21,18394.0,24.2,3.0,6208.0,18.3,38.8,38.0,1.0
20,36005004200,4200.0,42052.29,23250.0,34.8,2.86,7848.0,18.2,38.2,36.7,6.0
21,36005004300,4300.0,69187.23,21551.0,30.3,2.93,6021.0,17.0,37.4,36.9,3.0
22,36005004400,4400.0,47074.2,20725.0,32.1,2.83,4827.0,18.5,39.2,35.8,3.0
23,36005004600,4600.0,37814.52,40625.0,33.6,2.83,1976.0,16.1,36.5,33.9,3.0
24,36005004800,4800.0,77339.73,30179.0,30.1,3.38,4504.0,14.4,35.0,34.1,3.0
25,36005005001,5001.0,137081.1,27283.0,30.8,3.01,5181.0,14.2,34.2,34.4,3.0
26,36005005002,5002.0,129315.2,28010.0,30.0,3.02,5687.0,14.6,34.8,35.6,3.0
27,36005005100,5100.0,28799.74,19657.0,26.4,2.84,5676.0,18.2,38.2,37.8,1.0
28,36005005200,5200.0,33571.21,18917.0,31.1,2.85,2368.0,17.2,37.5,37.0,3.0
29,36005005300,5300.0,145654.8,15141.0,27.5,2.6,3866.0,15.8,34.4,38.3,3.0
30,36005005400,5400.0,82925.59,29857.0,32.0,3.6,6292.0,14.0,34.1,34.1,3.0
31,36005005600,5600.0,49712.37,18918.0,39.3,2.88,2614.0,17.6,38.7,35.2,3.0
32,36005005902,5902.0,102131.1,29908.0,38.3,2.55,2746.0,18.0,38.6,36.1,3.0
33,36005006000,6000.0,10409.23,39783.0,31.0,3.73,1269.0,14.0,34.8,32.6,3.0
34,36005006100,6100.0,41442.03,42713.0,50.9,1.78,3878.0,16.6,37.1,30.4,3.0
35,36005006200,6200.0,99147.16,24835.0,29.3,3.07,7386.0,17.1,37.7,35.4,3.0
36,36005006300,6300.0,10622.49,31926.0,35.7,2.3,4291.0,13.2,33.9,30.8,3.0
37,36005006400,6400.0,50276.08,27917.0,38.0,2.54,3266.0,16.3,36.6,34.3,6.0
38,36005006500,6500.0,55488.15,22365.0,30.0,2.86,5609.0,14.8,34.8,35.7,3.0
39,36005006700,6700.0,92624.11,20945.0,27.2,3.27,7597.0,17.8,38.2,38.0,3.0
40,36005006800,6800.0,56338.37,47863.0,31.8,3.39,3358.0,13.8,34.1,31.8,6.0
